date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-09-11,09:00 AM,Bracket,Arlington Soccer ECNL GU13,3,1,Charlotte SA ECNL GU13,Long Bridge Park,Boeing #3,On Time,278174
2021-09-11,09:00 AM,Bracket,Richmond United ECNL GU13,3,1,South Carolina United ECNL GU13,West Creek,Field 6,On Time,278176
2021-09-11,09:00 AM,Bracket,Wilmington Hammerheads ECNL GU13 ,0,2,Loudoun Soccer ECNL GU13,Cape Fear Regional Soccer Park,Field 2,On Time,278178
2021-09-11,10:00 AM,Bracket,VDA ECNL GU13,2,2,CESA ECNL GU13,Ali Krieger Sports Complex (AKSC),Field 8,On Time,278177
2021-09-11,10:00 AM,Bracket,NC Courage ECNL GU13,6,0,VA Union ECNL GU13,WRAL Soccer Park,Field 5 (First Watch),On Time,278179
2021-09-11,10:00 AM,Bracket,NC Fusion ECNL GU13,3,4,NCFC Youth ECNL GU13,Truist Sports Park,Field 2,On Time,278255
2021-09-11,12:00 PM,Bracket,BRYC Elite Academy ECNL GU13,0,5,Charlotte Independence ECNL GU13,Robinson High School,Stadium Turf,On Time,278175
2021-09-12,08:00 AM,Bracket,VDA ECNL GU13,2,0,South Carolina United ECNL GU13,Ali Krieger Sports Complex (AKSC),Field 8,On Time,278182
2021-09-12,09:00 AM,Bracket,BRYC Elite Academy ECNL GU13,0,4,Charlotte SA ECNL GU13,Robinson High School,Stadium Turf,On Time,278180
2021-09-12,09:00 AM,Bracket,Arlington Soccer ECNL GU13,0,1,Charlotte Independence ECNL GU13,Long Bridge Park,Boeing #3,On Time,278181
2021-09-12,09:00 AM,Bracket,Richmond United ECNL GU13,1,0,CESA ECNL GU13,West Creek,Field 6,On Time,278183
2021-09-12,09:00 AM,Bracket,Wilmington Hammerheads ECNL GU13 ,3,4,VA Union ECNL GU13,Cape Fear Regional Soccer Park,Field 2,On Time,278184
2021-09-12,09:00 AM,Bracket,NC Courage ECNL GU13,0,2,Loudoun Soccer ECNL GU13,WRAL Soccer Park,Field 1 (Dicks Sporting Goods),On Time,278185
2021-09-18,09:00 AM,Bracket,South Carolina United ECNL GU13,9,0,BRYC Elite Academy ECNL GU13,Southeastern Freight Lines Complex,Stadium B,On Time,278187
2021-09-18,09:00 AM,Bracket,Loudoun Soccer ECNL GU13,3,0,NC Fusion ECNL GU13,Segra Field,Stadium,On Time,278192
2021-09-18,10:00 AM,Bracket,Charlotte SA ECNL GU13,5,0,Charlotte Independence ECNL GU13,OrthoCarolina Sportsplex,Field 5,On Time,278186
