rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,VDA ECNL GU16,Virginia Development Academy,19656,13,11,1,1,34,2.62,34,5,29
2,Charlotte SA ECNL GU16,Charlotte Soccer Academy,44723,13,10,1,2,32,2.46,30,12,18
3,NC Courage ECNL GU16,NC Courage Academy,44730,13,9,2,2,29,2.23,31,15,16
4,NC Fusion ECNL GU16,NC Fusion,20316,13,7,0,6,27,2.08,31,9,22
5,VA Union ECNL GU16,Fairfax Virginia Union,20314,13,7,3,3,24,1.85,32,23,9
6,NCFC Youth ECNL GU16,NCFC Youth,20315,13,5,4,4,19,1.46,18,22,-4
7,CESA ECNL GU16,Carolina Elite Soccer Academy,11339,13,3,4,6,15,1.15,12,11,1
8,Richmond United ECNL GU16,Richmond United,20317,13,4,6,3,15,1.15,17,16,1
9,Arlington Soccer ECNL GU16,Arlington Soccer Association,59919,13,3,5,5,14,1.08,16,26,-10
10,South Carolina United ECNL GU16,South Carolina United FC,20318,13,3,7,3,12,0.92,20,25,-5
11,BRYC Elite Academy ECNL GU16,Fairfax Virginia Union,13009,13,3,8,2,11,0.85,15,25,-10
12,Loudoun Soccer ECNL GU16,Northern Virginia Alliance,19775,13,2,6,5,11,0.85,19,29,-10
13,Charlotte Independence ECNL GU16,Charlotte Independence SC,20312,13,1,10,2,5,0.38,10,31,-21
14,Wilmington Hammerheads ECNL GU16,No Club Selection,19665,13,1,12,0,3,0.23,10,46,-36
