date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-09-11,09:00 AM,Bracket,Richmond United ECNL GU18/U19,2,1,South Carolina United ECNL GU18/U19,West Creek,Field 7,On Time,279089
2021-09-11,10:00 AM,Bracket,VDA ECNL GU18/U19,0,3,CESA ECNL GU18/U19,Ali Krieger Sports Complex (AKSC),Field 7,On Time,279090
2021-09-11,10:00 AM,Bracket,NC Courage ECNL GU18/U19,1,1,VA Union ECNL GU18/U19,WRAL Soccer Park,Field 6 Stadium (McDonald's Gunter Family),On Time,279092
2021-09-11,11:00 AM,Bracket,Wilmington Hammerheads ECNL GU18/U19,2,2,Loudoun Soccer ECNL GU18/U19,Cape Fear Regional Soccer Park,Field 4,On Time,279091
2021-09-11,12:00 PM,Bracket,NC Fusion ECNL GU18/U19,0,2,NCFC Youth ECNL GU18/U19,Truist Sports Park,Field 1,On Time,279167
2021-09-11,01:00 PM,Bracket,Arlington Soccer ECNL GU18/U19,0,2,Charlotte SA ECNL GU18/U19,Long Bridge Park,Boeing #3,On Time,279087
2021-09-11,02:00 PM,Bracket,BRYC Elite Academy ECNL GU18/U19,2,3,Charlotte Independence ECNL GU18/U19,Robinson High School,Upper Turf,On Time,279088
2021-09-12,08:00 AM,Bracket,VDA ECNL GU18/U19,4,2,South Carolina United ECNL GU18/U19,Ali Krieger Sports Complex (AKSC),Field 7,On Time,279095
2021-09-12,09:00 AM,Bracket,Richmond United ECNL GU18/U19,3,1,CESA ECNL GU18/U19,West Creek,Field 7,On Time,279096
2021-09-12,09:00 AM,Bracket,Wilmington Hammerheads ECNL GU18/U19,2,1,VA Union ECNL GU18/U19,Cape Fear Regional Soccer Park,Field 4,On Time,279097
2021-09-12,09:00 AM,Bracket,NC Courage ECNL GU18/U19,1,1,Loudoun Soccer ECNL GU18/U19,WRAL Soccer Park,Field 4 (Accentuate Staffing),On Time,279098
2021-09-12,01:00 PM,Bracket,BRYC Elite Academy ECNL GU18/U19,0,4,Charlotte SA ECNL GU18/U19,Robinson High School,Upper Turf,On Time,279093
2021-09-12,01:00 PM,Bracket,Arlington Soccer ECNL GU18/U19,1,2,Charlotte Independence ECNL GU18/U19,Long Bridge Park,Boeing #3,On Time,279094
2021-09-18,12:00 PM,Bracket,NC Courage ECNL GU18/U19,3,3,VDA ECNL GU18/U19,WRAL Soccer Park,Field 4 (Accentuate Staffing),On Time,279103
2021-09-18,01:00 PM,Bracket,South Carolina United ECNL GU18/U19,1,4,BRYC Elite Academy ECNL GU18/U19,Southeastern Freight Lines Complex,Stadium B,On Time,279100
2021-09-18,01:00 PM,Bracket,VA Union ECNL GU18/U19,5,0,NCFC Youth ECNL GU18/U19,Lewinsville Park,Field 2,On Time,279104
2021-09-18,01:00 PM,Bracket,Loudoun Soccer ECNL GU18/U19,1,1,NC Fusion ECNL GU18/U19,Loudoun Soccer Park,Field 1,On Time,279105
2021-09-18,02:00 PM,Bracket,Charlotte SA ECNL GU18/U19,2,0,Charlotte Independence ECNL GU18/U19,OrthoCarolina Sportsplex,Field 6,On Time,279099
2021-09-18,02:00 PM,Bracket,CESA ECNL GU18/U19,3,1,Arlington Soccer ECNL GU18/U19,Mesa Soccer Complex,Field 14,On Time,279101
2021-09-19,09:00 AM,Bracket,Wilmington Hammerheads ECNL GU18/U19,1,1,VDA ECNL GU18/U19,Cape Fear Regional Soccer Park,Field 3,On Time,279108
2021-09-19,11:00 AM,Bracket,South Carolina United ECNL GU18/U19,2,2,Arlington Soccer ECNL GU18/U19,Southeastern Freight Lines Complex,Stadium B,On Time,279106
2021-09-19,01:00 PM,Bracket,CESA ECNL GU18/U19,2,0,BRYC Elite Academy ECNL GU18/U19,Mesa Soccer Complex,Field 14,On Time,279107
2021-09-19,01:00 PM,Bracket,VA Union ECNL GU18/U19,1,1,NC Fusion ECNL GU18/U19,Lewinsville Park,Field 2,On Time,279111
2021-09-19,02:00 PM,Bracket,Loudoun Soccer ECNL GU18/U19,2,1,NCFC Youth ECNL GU18/U19,Loudoun Soccer Park,Field 1,On Time,279110
2021-09-25,10:00 AM,Bracket,Charlotte SA ECNL GU18/U19,3,0,NC Fusion ECNL GU18/U19,OrthoCarolina Sportsplex,Field 6,On Time,279112
2021-09-25,11:00 AM,Bracket,Charlotte Independence ECNL GU18/U19,3,1,NCFC Youth ECNL GU18/U19,Richard Barry Park,Field 4,On Time,279113
2021-09-25,11:00 AM,Bracket,Arlington Soccer ECNL GU18/U19,0,2,Richmond United ECNL GU18/U19,Long Bridge Park,Boeing #3,On Time,279114
2021-09-25,03:00 PM,Bracket,BRYC Elite Academy ECNL GU18/U19,1,3,Loudoun Soccer ECNL GU18/U19,Robinson High School,Upper Turf,On Time,279116
2021-09-26,09:00 AM,Bracket,Charlotte SA ECNL GU18/U19,3,1,NCFC Youth ECNL GU18/U19,OrthoCarolina Sportsplex,Field 6,On Time,279117
2021-09-26,11:00 AM,Bracket,Charlotte Independence ECNL GU18/U19,2,1,NC Fusion ECNL GU18/U19,Richard Barry Park,Field 4,On Time,279118
2021-10-02,TBD,Bracket,NCFC Youth ECNL GU18/U19,1,0,South Carolina United ECNL GU18/U19,,,On Time,279121
2021-10-02,09:00 AM,Bracket,Richmond United ECNL GU18/U19,2,0,VA Union ECNL GU18/U19,West Creek,Field 7,On Time,279125
2021-10-02,09:00 AM,Bracket,VDA ECNL GU18/U19,2,1,Loudoun Soccer ECNL GU18/U19,Long Park,Field 7,On Time,279126
2021-10-02,01:00 PM,Bracket,Arlington Soccer ECNL GU18/U19,2,0,Wilmington Hammerheads ECNL GU18/U19,Long Bridge Park,Boeing #3,On Time,279123
2021-10-02,02:00 PM,Bracket,NC Fusion ECNL GU18/U19,0,0,CESA ECNL GU18/U19,Bryan Park,Field #01,On Time,279122
2021-10-02,02:00 PM,Bracket,BRYC Elite Academy ECNL GU18/U19,0,4,NC Courage ECNL GU18/U19,Robinson High School,Upper Turf,On Time,279124
2021-10-03,11:00 AM,Bracket,NC Fusion ECNL GU18/U19,6,0,South Carolina United ECNL GU18/U19,Bryan Park,Field #01,On Time,279127
2021-10-03,11:00 AM,Bracket,BRYC Elite Academy ECNL GU18/U19,2,1,Wilmington Hammerheads ECNL GU18/U19,Robinson High School,Upper Turf,On Time,279129
2021-10-03,01:00 PM,Bracket,NCFC Youth ECNL GU18/U19,0,2,CESA ECNL GU18/U19,WRAL Soccer Center,Stadium #6,On Time,279128
2021-10-03,01:00 PM,Bracket,Arlington Soccer ECNL GU18/U19,0,3,NC Courage ECNL GU18/U19,Long Bridge Park,Boeing #4,On Time,279130
2021-10-16,10:00 AM,Bracket,Charlotte SA ECNL GU18/U19,7,0,VA Union ECNL GU18/U19,OrthoCarolina Sportsplex,Field 3,On Time,279131
2021-10-16,10:00 AM,Bracket,Charlotte Independence ECNL GU18/U19,3,0,Loudoun Soccer ECNL GU18/U19,Richard Barry Park,Field 4,On Time,279132
2021-10-16,10:00 AM,Bracket,NC Fusion ECNL GU18/U19,2,2,Richmond United ECNL GU18/U19,Truist Soccer Complex at Bryan Park,BP 08 Secret,On Time,279136
2021-10-16,11:00 AM,Bracket,South Carolina United ECNL GU18/U19,0,3,Wilmington Hammerheads ECNL GU18/U19,Southeastern Freight Lines Complex,Stadium B,On Time,279133
2021-10-16,02:00 PM,Bracket,CESA ECNL GU18/U19,0,3,NC Courage ECNL GU18/U19,Mesa Soccer Complex,Field 5,On Time,279134
2021-10-16,02:00 PM,Bracket,NCFC Youth ECNL GU18/U19,4,2,VDA ECNL GU18/U19,WRAL Soccer Center,Stadium #6,On Time,279135
2021-10-17,09:00 AM,Bracket,Charlotte SA ECNL GU18/U19,5,0,Loudoun Soccer ECNL GU18/U19,OrthoCarolina Sportsplex,Field 3,On Time,279137
2021-10-17,09:00 AM,Bracket,Charlotte Independence ECNL GU18/U19,3,1,VA Union ECNL GU18/U19,Richard Barry Park,Field 4,On Time,279138
2021-10-17,09:00 AM,Bracket,NCFC Youth ECNL GU18/U19,0,3,Richmond United ECNL GU18/U19,WRAL Soccer Center,Stadium #6,On Time,279141
2021-10-17,11:00 AM,Bracket,NC Fusion ECNL GU18/U19,5,1,VDA ECNL GU18/U19,Truist Soccer Complex at Bryan Park,BP 08 Secret,On Time,279142
2021-10-17,01:00 PM,Bracket,South Carolina United ECNL GU18/U19,1,2,NC Courage ECNL GU18/U19,Southeastern Freight Lines Complex,Stadium B,On Time,279139
2021-10-17,01:00 PM,Bracket,CESA ECNL GU18/U19,2,0,Wilmington Hammerheads ECNL GU18/U19,Mesa Soccer Complex,Field 5,On Time,279140
2021-10-23,10:00 AM,Bracket,NCFC Youth ECNL GU18/U19,1,1,Arlington Soccer ECNL GU18/U19,WRAL Soccer Center,Ricky Horwitz #3,On Time,279148
2021-10-23,11:00 AM,Bracket,Richmond United ECNL GU18/U19,4,2,Charlotte Independence ECNL GU18/U19,West Creek,Field 6,On Time,279144
2021-10-23,11:00 AM,Bracket,Loudoun Soccer ECNL GU18/U19,0,2,CESA ECNL GU18/U19,Riverside High School,Grass Field,On Time,279146
2021-10-23,11:00 AM,Bracket,NC Fusion ECNL GU18/U19,0,0,BRYC Elite Academy ECNL GU18/U19,Truist Soccer Complex at Bryan Park,BP 07,On Time,279149
