rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Charlotte SA ECNL GU18/U19,Charlotte Soccer Academy,44725,13,12,1,0,36,2.77,38,4,34
2,Richmond United ECNL GU18/U19,Richmond United,6919,13,10,2,1,31,2.38,34,10,24
3,NC Courage ECNL GU18/U19,NC Courage Academy,44732,13,8,1,4,28,2.15,25,7,18
4,Charlotte Independence ECNL GU18/U19,Charlotte Independence SC,10705,13,9,3,1,28,2.15,30,16,14
5,CESA ECNL GU18/U19,Carolina Elite Soccer Academy,6918,13,8,4,1,25,1.92,18,11,7
6,Loudoun Soccer ECNL GU18/U19,Loudoun Soccer,19777,13,5,4,4,19,1.46,20,22,-2
7,VA Union ECNL GU18/U19,McLean Youth Soccer,11504,13,5,6,2,17,1.31,19,26,-7
8,NC Fusion ECNL GU18/U19,NC Fusion,11509,13,3,4,6,15,1.15,18,14,4
9,VDA ECNL GU18/U19,Virginia Development Academy,14649,13,4,6,3,15,1.15,33,31,2
10,BRYC Elite Academy ECNL GU18/U19,McLean Youth Soccer,10699,13,3,8,2,11,0.85,14,39,-25
11,NCFC Youth ECNL GU18/U19,NCFC Youth,7645,13,3,8,2,11,0.85,13,29,-16
12,Wilmington Hammerheads ECNL GU18/U19,Wilmington Hammerheads,19667,13,2,7,4,10,0.77,11,25,-14
13,Arlington Soccer ECNL GU18/U19,Arlington Soccer Association,59921,13,1,8,4,7,0.54,10,24,-14
14,South Carolina United ECNL GU18/U19,South Carolina United FC,10988,13,0,11,2,2,0.15,10,35,-25
