date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-09-11,TBD,Bracket,Eclipse Select SC ECNL GU13,4,0,Sporting Iowa ECNL GU13,,,On Time,270594
2021-09-11,TBD,Bracket,Michigan Hawks ECNL GU13,4,0,Michigan Hawks Magic ECNL GU13,,,On Time,270653
2021-09-11,08:00 AM,Bracket,FC Wisconsin ECNL GU13,0,3,Gretna Elite Academy ECNL GU13,FC Wisconsin Soccer Park,Field 1 - Val Olla Field,On Time,270615
2021-09-12,TBD,Bracket,Eclipse Select SC ECNL GU13,5,0,Gretna Elite Academy ECNL GU13,,,On Time,270595
2021-09-12,11:00 AM,Bracket,FC Wisconsin ECNL GU13,0,0,Sporting Iowa ECNL GU13,FC Wisconsin Soccer Park,Field 1 - Val Olla Field,On Time,270616
2021-09-18,09:45 AM,Bracket,Michigan Hawks Magic ECNL GU13,1,4,Midwest United FC ECNL GU13,Schoolcraft turf,Field 1,On Time,270661
2021-09-19,04:30 PM,Bracket,Liverpool FC IA Michigan ECNL GU13,0,1,Michigan Hawks ECNL GU13,UWM Sports Complex,Outdoor,On Time,270645
2021-09-25,TBD,Bracket,Michigan Hawks Magic ECNL GU13,2,1,Eclipse Select SC North ECNL GU13,,,On Time,270662
2021-09-25,09:00 AM,Bracket,FC Wisconsin ECNL GU13,1,3,Michigan Hawks ECNL GU13,FC Wisconsin Soccer Park,Field 1 - Val Olla Field,On Time,270617
2021-09-25,11:00 AM,Bracket,Midwest United FC ECNL GU13,1,0,Sporting Blue Valley ECNL GU13,Oakland University Dome,Field 1,On Time,270670
2021-09-25,02:30 PM,Bracket,Liverpool FC IA Michigan ECNL GU13,0,4,Kansas City Athletics ECNL GU13,Clawson Park,Field 1,On Time,270646
2021-09-26,09:00 AM,Bracket,Eclipse Select SC North ECNL GU13,0,2,Michigan Hawks ECNL GU13,Techny Park,Field 2,On Time,270606
2021-09-26,09:00 AM,Bracket,FC Wisconsin ECNL GU13,2,1,Michigan Hawks Magic ECNL GU13,FC Wisconsin Soccer Park,Field 1 - Val Olla Field,On Time,270618
2021-09-26,10:30 AM,Bracket,Liverpool FC IA Michigan ECNL GU13,0,1,Sporting Blue Valley ECNL GU13,UWM Sports Complex,Outdoor,On Time,270647
2021-09-28,05:30 PM,Bracket,Eclipse Select SC North ECNL GU13,1,2,Eclipse Select SC ECNL GU13,Techny Park,Field 1,On Time,270605
2021-10-02,09:00 AM,Bracket,Eclipse Select SC North ECNL GU13,3,0,FC Wisconsin ECNL GU13,Techny Park,Field 1,On Time,270607
2021-10-02,10:00 AM,Bracket,Michigan Hawks ECNL GU13,1,0,Minnesota Thunder ECNL GU13,Schoolcraft Turf,SC Turf,On Time,270654
2021-10-02,04:30 PM,Bracket,Liverpool FC IA Michigan ECNL GU13,2,1,Michigan Hawks Magic ECNL GU13,UWM Sports Complex,Outdoor,On Time,270648
2021-10-03,10:00 AM,Bracket,Michigan Hawks Magic ECNL GU13,0,2,Minnesota Thunder ECNL GU13,Jaycee Park,JC Turf,On Time,270663
2021-10-09,11:00 AM,Bracket,FC Wisconsin ECNL GU13,0,2,SLSG Green ECNL GU13,FC Wisconsin Soccer Park,Field 2 - Hegarty Field,On Time,270619
2021-10-09,01:00 PM,Bracket,Eclipse Select SC ECNL GU13,2,1,SLSG Navy ECNL GU13,Techny Park,Field 1,On Time,270596
2021-10-10,08:00 AM,Bracket,FC Wisconsin ECNL GU13,0,3,SLSG Navy ECNL GU13,FC Wisconsin Soccer Park,Field 2 - Hegarty Field,On Time,270620
2021-10-10,12:00 PM,Bracket,Midwest United FC ECNL GU13,1,2,Liverpool FC IA Michigan ECNL GU13,Midwest United FC Complex,South,On Time,270671
2021-10-10,01:00 PM,Bracket,Eclipse Select SC ECNL GU13,2,0,SLSG Green ECNL GU13,Techny Park,Field 1,On Time,270597
2021-10-16,TBD,Bracket,Midwest United FC ECNL GU13,2,0,Gretna Elite Academy ECNL GU13,,,On Time,270672
2021-10-16,09:00 AM,Bracket,Eclipse Select SC ECNL GU13,0,2,Kansas City Athletics ECNL GU13,Techny Park,Field 2,On Time,270598
2021-10-16,09:00 AM,Bracket,Eclipse Select SC North ECNL GU13,0,2,Sporting Blue Valley ECNL GU13,Techny Park,Field 1,On Time,270608
2021-10-16,09:00 AM,Bracket,FC Wisconsin ECNL GU13,0,4,Minnesota Thunder ECNL GU13,FC Wisconsin Soccer Park,Field 1 - Val Olla Field,On Time,270621
2021-10-16,05:15 PM,Bracket,Michigan Hawks ECNL GU13,1,2,SLSG Navy ECNL GU13,Schoolcraft Turf,SC Turf,On Time,270655
2021-10-16,05:15 PM,Bracket,Michigan Hawks Magic ECNL GU13,0,0,SLSG Green ECNL GU13,St. Joe's Sports Complex,Dome,On Time,270664
2021-10-17,09:00 AM,Bracket,Eclipse Select SC ECNL GU13,3,1,Sporting Blue Valley ECNL GU13,Techny Park,Field 1,On Time,270599
2021-10-17,10:00 AM,Bracket,Eclipse Select SC North ECNL GU13,0,0,Kansas City Athletics ECNL GU13,,,On Time,270609
2021-10-17,11:30 AM,Bracket,Michigan Hawks ECNL GU13,4,0,SLSG Green ECNL GU13,Schoolcraft Turf,SC Turf,On Time,270656
2021-10-17,01:15 PM,Bracket,Michigan Hawks Magic ECNL GU13,1,8,SLSG Navy ECNL GU13,Schoolcraft turf,Field 1,On Time,270665
2021-10-23,TBD,Bracket,Eclipse Select SC ECNL GU13,3,2,Liverpool FC IA Michigan ECNL GU13,,,On Time,270600
2021-10-23,02:00 PM,Bracket,Midwest United FC ECNL GU13,0,1,Eclipse Select SC North ECNL GU13,Midwest United FC Complex,South,On Time,270673
2021-10-24,09:00 AM,Bracket,Midwest United FC ECNL GU13,1,3,Eclipse Select SC ECNL GU13,Midwest United FC Complex,South,On Time,270674
2021-10-24,11:00 AM,Bracket,Eclipse Select SC North ECNL GU13,1,2,Liverpool FC IA Michigan ECNL GU13,Grandville High School,Field 1,On Time,270610
2021-10-30,09:00 AM,Bracket,Eclipse Select SC ECNL GU13,3,0,FC Wisconsin ECNL GU13,Techny Park,Field 2,On Time,270601
2021-11-06,11:00 AM,Bracket,Midwest United FC ECNL GU13,3,0,Michigan Hawks Magic ECNL GU13,Midwest United FC Complex,South,On Time,270675
2021-11-07,12:45 PM,Bracket,Michigan Hawks ECNL GU13,1,0,Liverpool FC IA Michigan ECNL GU13,St. Joe's Sports Dome,St. Joe's Dome,On Time,270657
2022-03-06,11:30 AM,Bracket,Michigan Hawks ECNL GU13,3,1,Midwest United FC ECNL GU13,St. Joe's Sports Dome,St. Joe's Dome,On Time,270658
2022-03-17,07:00 PM,Group Play,Michigan Hawks Magic ECNL GU13,7,1,Liverpool FC IA Michigan ECNL GU13,Schoolcraft turf,Field 1,On Time,322511
2022-04-05,06:30 PM,Bracket,Eclipse Select SC ECNL GU13,2,0,Eclipse Select SC North ECNL GU13,Techny Park,Field 1,On Time,270602
2022-04-09,11:40 AM,Bracket,Michigan Hawks ECNL GU13,0,2,Eclipse Select SC ECNL GU13,Jaycee Park,Jaycee Turf,On Time,270659
2022-04-09,02:40 PM,Bracket,Michigan Hawks Magic ECNL GU13,2,2,FC Wisconsin ECNL GU13,Jaycee Park,JC Turf,On Time,270667
2022-04-10,11:40 AM,Bracket,Michigan Hawks Magic ECNL GU13,1,4,Eclipse Select SC ECNL GU13,Jaycee Park,JC Turf,On Time,270668
2022-04-10,02:40 PM,Bracket,Michigan Hawks ECNL GU13,3,0,FC Wisconsin ECNL GU13,Jaycee Park,Jaycee Turf,On Time,270660
2022-04-16,09:00 AM,Bracket,Liverpool FC IA Michigan ECNL GU13,0,2,Midwest United FC ECNL GU13,Brother Rice High School,Field 1,On Time,270649
2022-04-16,11:00 AM,Bracket,Michigan Hawks Magic ECNL GU13,1,5,Michigan Hawks ECNL GU13,Schoolcraft turf,Field 1,On Time,270669
2022-04-23,09:00 AM,Bracket,Midwest United FC ECNL GU13,3,3,Eclipse Select SC ECNL GU13,Aquinas College,Outdoor Turf,On Time,270677
2022-04-23,05:30 PM,Bracket,Liverpool FC IA Michigan ECNL GU13,1,1,Eclipse Select SC North ECNL GU13,Aquinas College,Outdoor Turf,On Time,270611
2022-04-24,10:30 AM,Bracket,Liverpool FC IA Michigan ECNL GU13,0,7,Eclipse Select SC ECNL GU13,Aquinas College,Field 1,On Time,270650
2022-04-24,12:00 PM,Bracket,Midwest United FC ECNL GU13,0,4,Eclipse Select SC North ECNL GU13,Aquinas College,Outdoor Turf,On Time,270676
2022-04-30,01:00 PM,Bracket,Eclipse Select SC ECNL GU13,2,0,Michigan Hawks ECNL GU13,Knoch Park,Field A,On Time,270603
2022-04-30,02:00 PM,Bracket,Liverpool FC IA Michigan ECNL GU13,0,1,FC Wisconsin ECNL GU13,Academy of Holy Angels,Field 1,On Time,270651
2022-05-01,08:00 AM,Bracket,FC Wisconsin ECNL GU13,1,3,Midwest United FC ECNL GU13,Academy of Holy Angels  ,AHA South Turf,On Time,270622
2022-05-01,09:00 AM,Bracket,Eclipse Select SC ECNL GU13,4,0,Michigan Hawks Magic ECNL GU13,Commissioners Park,Turf,On Time,270604
2022-05-01,12:00 PM,Bracket,Eclipse Select SC North ECNL GU13,0,0,Michigan Hawks ECNL GU13,Commissioners Park,Turf,On Time,270613
2022-05-14,09:00 AM,Bracket,Midwest United FC ECNL GU13,0,2,Michigan Hawks ECNL GU13,Midwest United FC Complex,South,On Time,270678
2022-05-14,11:00 AM,Bracket,Liverpool FC IA Michigan ECNL GU13,2,0,FC Wisconsin ECNL GU13,Avondale High School,Stadium,On Time,270652
2022-05-15,12:00 PM,Bracket,Midwest United FC ECNL GU13,5,0,FC Wisconsin ECNL GU13,Aquinas College,Outdoor Turf,On Time,270679
2022-06-04,10:00 AM,Bracket,Eclipse Select SC North ECNL GU13,0,0,FC Wisconsin ECNL GU13,Techny Park,Field 1,On Time,270614
2022-06-04,10:00 AM,Bracket,FC Wisconsin ECNL GU13,0,0,Eclipse Select SC ECNL GU13,Techny Park,Field 1,On Time,270623
2022-06-04,12:00 PM,Bracket,Eclipse Select SC North ECNL GU13,1,0,Michigan Hawks Magic ECNL GU13,Kalamazoo Christian High School,Field 1,On Time,270612
