date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-09-11,TBD,Bracket,Eclipse Select SC ECNL GU16,4,1,Sporting Iowa ECNL GU16,,,On Time,270324
2021-09-11,11:00 AM,Bracket,Sporting Blue Valley ECNL GU16,6,0,Michigan Hawks Magic ECNL GU16,Scheels Overland Park Soccer Complex,Field 11,On Time,270321
2021-09-11,11:00 AM,Bracket,Kansas City Athletics ECNL GU16,3,0,Michigan Hawks ECNL GU16,College Boulevard Activity Complex,Football Field,On Time,270322
2021-09-11,01:00 PM,Bracket,FC Wisconsin ECNL GU16,2,3,Gretna Elite Academy ECNL GU16,FC Wisconsin Soccer Park,Field 1 - Val Olla Field,On Time,270323
2021-09-11,01:30 PM,Bracket,SLSG Navy ECNL GU16,6,0,Midwest United FC ECNL GU16,O'Fallon Sports Park,Field 5,On Time,270325
2021-09-11,01:30 PM,Bracket,SLSG Green ECNL GU16,1,1,Liverpool FC IA Michigan ECNL GU16,O'Fallon Family Sportspark,Field 6,On Time,270326
2021-09-12,TBD,Bracket,Eclipse Select SC ECNL GU16,2,1,Gretna Elite Academy ECNL GU16,,,On Time,270329
2021-09-12,09:00 AM,Bracket,Kansas City Athletics ECNL GU16,1,0,Michigan Hawks Magic ECNL GU16,Olathe District Activity Complex,Football Field,On Time,270328
2021-09-12,09:00 AM,Bracket,FC Wisconsin ECNL GU16,0,1,Sporting Iowa ECNL GU16,FC Wisconsin Soccer Park,Field 2 - Hegarty Field,On Time,270330
2021-09-12,09:45 AM,Bracket,SLSG Navy ECNL GU16,5,0,Liverpool FC IA Michigan ECNL GU16,O'Fallon Sports Park,Field 5,On Time,270331
2021-09-12,09:45 AM,Bracket,SLSG Green ECNL GU16,1,0,Midwest United FC ECNL GU16,O'Fallon Family Sportspark,Field 6,On Time,270332
2021-09-12,11:00 AM,Bracket,Sporting Blue Valley ECNL GU16,2,1,Michigan Hawks ECNL GU16,Scheels Overland Park Soccer Complex,Field 1,On Time,270327
2021-09-18,01:00 PM,Bracket,Kansas City Athletics ECNL GU16,4,1,Sporting Blue Valley ECNL GU16,Pinnacle National Development Center,Field 1,On Time,270333
2021-09-18,05:00 PM,Bracket,Sporting Iowa ECNL GU16,3,0,Gretna Elite Academy ECNL GU16,MidAmerican Energy Company RecPlex,Field 2,On Time,270334
2021-09-19,TBD,Bracket,Michigan Hawks ECNL GU16,2,1,Michigan Hawks Magic ECNL GU16,,,On Time,270337
2021-09-19,01:45 PM,Bracket,SLSG Green ECNL GU16,0,6,SLSG Navy ECNL GU16,"Soccer Park (Fenton, MO)",Field 1,On Time,270336
