rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,SLSG Navy ECNL GU16,St. Louis Scott Gallagher,20075,13,12,0,1,37,2.85,57,2,55
2,Eclipse Select SC ECNL GU16,Eclipse Select Soccer Club,20375,13,11,1,1,34,2.62,41,14,27
3,Sporting Blue Valley ECNL GU16,Sporting Blue Valley,46619,13,9,3,1,28,2.15,46,18,28
4,Minnesota Thunder ECNL GU16,No Club Selection,20378,13,8,3,2,26,2.0,38,22,16
5,Kansas City Athletics ECNL GU16,KC Athletics,19372,13,8,3,2,26,2.0,33,20,13
6,Michigan Hawks ECNL GU16,Michigan Hawks,19884,13,7,4,2,23,1.77,21,14,7
7,SLSG Green ECNL GU16,St. Louis Scott Gallagher,20379,13,6,6,1,19,1.46,15,18,-3
8,Gretna Elite Academy ECNL GU16,Gretna Elite Academy,11467,13,4,7,2,14,1.08,12,28,-16
9,Sporting Iowa ECNL GU16,Sporting Iowa Central,59754,13,4,8,1,13,1.0,17,30,-13
10,Liverpool FC IA Michigan ECNL GU16,Liverpool FC-IA Michigan,58650,13,3,7,3,12,0.92,13,29,-16
11,FC Wisconsin ECNL GU16,FC Wisconsin Girls,20376,13,3,7,3,12,0.92,13,36,-23
12,Midwest United FC ECNL GU16,Midwest United FC,59332,13,2,9,2,8,0.62,4,27,-23
13,Michigan Hawks Magic ECNL GU16,Michigan Hawks,20377,13,2,9,2,8,0.62,10,31,-21
14,Eclipse Select SC North ECNL GU16,Eclipse Select Soccer Club,20099,13,0,12,1,1,0.08,6,37,-31
