date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-09-11,08:00 AM,Bracket,FC Wisconsin ECNL GU18/U19,1,2,Gretna Elite Academy ECNL GU18/U19,FC Wisconsin Soccer Park,Field 2 - Hegarty Field,On Time,270505
2021-09-11,10:00 AM,Bracket,Eclipse Select SC ECNL GU18/U19,2,0,Sporting Iowa ECNL GU18/U19,Techny Park,Field 1,On Time,270506
2021-09-11,01:15 PM,Bracket,Kansas City Athletics ECNL GU18/U19,0,4,Michigan Hawks ECNL GU18/U19,College Boulevard Activity Complex,Football Field,On Time,270504
2021-09-11,03:00 PM,Bracket,Sporting Blue Valley ECNL GU18/U19,5,0,Michigan Hawks Magic ECNL GU18/U19,Scheels Overland Park Soccer Complex,Field 11,On Time,270503
2021-09-11,05:30 PM,Bracket,SLSG Navy ECNL GU18/U19,4,0,Midwest United FC ECNL GU18/U19,O'Fallon Sports Park,Field 5,On Time,270507
2021-09-11,05:30 PM,Bracket,SLSG Green ECNL GU18/U19,0,0,Liverpool FC IA Michigan ECNL GU18/U19,O'Fallon Family Sportspark,Field 6,On Time,270508
2021-09-12,TBD,Bracket,Eclipse Select SC ECNL GU18/U19,4,1,Gretna Elite Academy ECNL GU18/U19,,,On Time,270511
2021-09-12,09:00 AM,Bracket,Kansas City Athletics ECNL GU18/U19,2,2,Michigan Hawks Magic ECNL GU18/U19,Olathe District Activity Complex,Soccer Field,On Time,270510
2021-09-12,09:00 AM,Bracket,FC Wisconsin ECNL GU18/U19,3,1,Sporting Iowa ECNL GU18/U19,FC Wisconsin Soccer Park,Field 1 - Val Olla Field,On Time,270512
2021-09-12,01:00 PM,Bracket,Sporting Blue Valley ECNL GU18/U19,2,1,Michigan Hawks ECNL GU18/U19,Scheels Overland Park Soccer Complex,Field 4,On Time,270509
