rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Michigan Hawks ECNL GU18/U19,Michigan Hawks,19898,13,12,1,0,36,2.77,43,7,36
2,Eclipse Select SC ECNL GU18/U19,Eclipse Select Soccer Club,11557,13,9,1,3,30,2.31,30,13,17
3,SLSG Navy ECNL GU18/U19,St. Louis Scott Gallagher,11284,13,10,3,0,30,2.31,44,12,32
4,Sporting Blue Valley ECNL GU18/U19,Sporting Blue Valley,46622,13,9,3,1,28,2.15,37,14,23
5,Minnesota Thunder ECNL GU18/U19,No Club Selection,11564,13,8,4,1,25,1.92,36,24,12
6,Liverpool FC IA Michigan ECNL GU18/U19,Liverpool FC-IA Michigan,58652,13,5,5,3,18,1.38,17,16,1
7,FC Wisconsin ECNL GU18/U19,FC Wisconsin Girls,11558,13,5,7,1,16,1.23,19,20,-1
8,Kansas City Athletics ECNL GU18/U19,KC Athletics,19379,13,4,6,3,15,1.15,16,27,-11
9,Gretna Elite Academy ECNL GU18/U19,No Club Selection,10865,13,4,7,2,14,1.08,19,29,-10
10,Midwest United FC ECNL GU18/U19,Midwest United FC,59312,13,3,6,4,13,1.0,16,32,-16
11,SLSG Green ECNL GU18/U19,St. Louis Scott Gallagher,11563,13,3,9,1,10,0.77,18,32,-14
12,Michigan Hawks Magic ECNL GU18/U19,Michigan Hawks,11315,13,2,8,3,9,0.69,8,29,-21
13,Eclipse Select SC North ECNL GU18/U19,Eclipse Select Soccer Club,20190,13,3,10,0,9,0.69,12,37,-25
14,Sporting Iowa ECNL GU18/U19,Sporting Iowa Central,59756,13,2,9,2,8,0.62,14,37,-23
