date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-12-05,08:00 AM,Bracket,Connecticut FC ECNL GU16,2,0,PDA White ECNL GU16,CFC Park,Field 1,On Time,295162
2021-12-11,09:00 AM,Bracket,World Class FC ECNL GU16,4,0,PDA White ECNL GU16,Orangetown Soccer Complex,Field 5,On Time,295289
2021-12-11,10:45 AM,Bracket,FC Stars Blue ECNL GU16,0,0,Scorpions Soccer ECNL GU16,FC Stars Complex,Field 1,On Time,295193
2021-12-11,10:45 AM,Bracket,FC Stars White ECNL GU16,0,3,FSA FC ECNL GU16,FC Stars Soccer Complex,Field 2,On Time,295209
2021-12-11,01:30 PM,Bracket,SUSA FC ECNL GU16,0,0,East Meadow SC ECNL GU16,SUSA - Orlin & Cohen Sports Complex,Field 2,On Time,295273
2021-12-12,10:30 AM,Bracket,SUSA FC ECNL GU16,4,0,PDA White ECNL GU16,SUSA - Orlin & Cohen Sports Complex,Field 2,On Time,295274
2021-12-12,10:45 AM,Bracket,FC Stars Blue ECNL GU16,1,0,FSA FC ECNL GU16,FC Stars Complex,Field 1,On Time,295194
2021-12-12,10:45 AM,Bracket,FC Stars White ECNL GU16,4,0,Scorpions Soccer ECNL GU16,FC Stars Soccer Complex,Field 2,On Time,295210
2021-12-12,03:00 PM,Bracket,World Class FC ECNL GU16,1,0,East Meadow SC ECNL GU16,Orangetown Soccer Complex,Field 5,On Time,295290
2021-12-18,09:00 AM,Bracket,PDA White ECNL GU16,0,0,East Meadow SC ECNL GU16,PDA ,Field 1,On Time,295241
2021-12-18,12:30 PM,Bracket,World Class FC ECNL GU16,0,0,SUSA FC ECNL GU16,Orangetown Soccer Complex,Field 5,On Time,295291
2021-12-19,10:30 AM,Bracket,FSA FC ECNL GU16,1,2,PDA White ECNL GU16,FSA-Farmington Sports Arena,Field 7,On Time,295225
2022-03-05,09:00 AM,Bracket,PDA White ECNL GU16,1,1,SUSA FC ECNL GU16,PDA ,Field 1,On Time,295242
2022-03-05,02:30 PM,Bracket,East Meadow SC ECNL GU16,0,1,World Class FC ECNL GU16,East Meadow Field of Dreams,North Turf,On Time,295177
2022-03-06,12:00 PM,Bracket,Connecticut FC ECNL GU16,3,1,Scorpions Soccer ECNL GU16,CFC Park,Field 1,On Time,295163
2022-03-06,12:00 PM,Bracket,PDA White ECNL GU16,0,3,World Class FC ECNL GU16,PDA ,Field 5,On Time,295243
2022-03-06,02:30 PM,Bracket,East Meadow SC ECNL GU16,1,2,SUSA FC ECNL GU16,East Meadow Field of Dreams,North Turf,On Time,295178
2022-03-19,10:45 AM,Bracket,World Class FC ECNL GU16,3,0,FC Stars Blue ECNL GU16,Orangetown Soccer Complex,Field 5,On Time,295292
2022-03-19,01:00 PM,Bracket,East Meadow SC ECNL GU16,3,1,FSA FC ECNL GU16,East Meadow Field of Dreams,North Turf,On Time,295179
2022-03-20,12:00 PM,Bracket,Connecticut FC ECNL GU16,0,0,East Meadow SC ECNL GU16,CFC Park,Field 1,On Time,295166
2022-03-20,02:30 PM,Bracket,FSA FC ECNL GU16,0,1,Scorpions Soccer ECNL GU16,FSA-Farmington Sports Arena,Field 7,On Time,295230
2022-03-26,03:00 PM,Bracket,FC Stars Blue ECNL GU16,2,1,FC Stars White ECNL GU16,FC Stars Complex,Field 1,On Time,295195
2022-03-27,09:00 AM,Bracket,PDA White ECNL GU16,4,2,FSA FC ECNL GU16,PDA ,Field 5,On Time,295245
2022-04-02,11:00 AM,Bracket,FC Stars White ECNL GU16,3,2,FC Stars Blue ECNL GU16,FC Stars Soccer Complex,Field 1 ,On Time,295211
2022-04-03,02:15 PM,Bracket,World Class FC ECNL GU16,3,0,FSA FC ECNL GU16,Orangetown Soccer Complex,Field 5,On Time,295293
2022-04-09,12:30 PM,Bracket,FSA FC ECNL GU16,0,2,World Class FC ECNL GU16,FSA-Farmington Sports Arena,Field 7,On Time,295231
2022-04-09,01:30 PM,Bracket,Scorpions Soccer ECNL GU16,1,0,East Meadow SC ECNL GU16,Taunton Forekicks,Field 14,On Time,295259
2022-04-09,02:15 PM,Bracket,FC Stars Blue ECNL GU16,2,0,PDA White ECNL GU16,FC Stars Complex,Field 1,On Time,295196
2022-04-09,02:15 PM,Bracket,FC Stars White ECNL GU16,2,3,Connecticut FC ECNL GU16,FC Stars Soccer Complex,Field 2,On Time,295212
2022-04-10,TBD,Bracket,FC Stars White ECNL GU16,1,1,PDA White ECNL GU16,,,On Time,295213
2022-04-10,12:30 PM,Bracket,FSA FC ECNL GU16,2,2,East Meadow SC ECNL GU16,FSA-Farmington Sports Arena,Field 7,On Time,295232
