date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-12-05,12:30 PM,Bracket,FSA FC ECNL GU18/U19,0,3,SUSA FC ECNL GU18/19,FSA-Farmington Sports Arena,Field 8,On Time,295114
2021-12-11,09:00 AM,Bracket,FC Stars White ECNL GU18/U19,1,1,FSA FC ECNL GU18/U19,FC Stars Soccer Complex,Field 2,On Time,295105
2021-12-11,10:50 AM,Bracket,World Class FC ECNL GU18/19,2,0,PDA White ECNL GU18/U19,Orangetown Soccer Complex,Field 5,On Time,295145
2021-12-11,04:30 PM,Bracket,SUSA FC ECNL GU18/19,4,0,East Meadow SC ECNL GU18/U19,SUSA - Orlin & Cohen Sports Complex,Field 2,On Time,295137
2021-12-12,09:00 AM,Bracket,World Class FC ECNL GU18/19,1,3,East Meadow SC ECNL GU18/U19,Orangetown Soccer Complex,Field 5,On Time,295146
2021-12-12,01:30 PM,Bracket,SUSA FC ECNL GU18/19,4,1,PDA White ECNL GU18/U19,SUSA - Orlin & Cohen Sports Complex,Field 2,On Time,295138
2021-12-12,02:15 PM,Bracket,FC Stars Blue ECNL GU18/U19,4,0,FSA FC ECNL GU18/U19,FC Stars Complex,Field 1,On Time,295098
2021-12-18,09:00 AM,Bracket,World Class FC ECNL GU18/19,0,3,SUSA FC ECNL GU18/19,Orangetown Soccer Complex,Field 5,On Time,295147
2021-12-18,11:00 AM,Bracket,PDA White ECNL GU18/U19,1,2,East Meadow SC ECNL GU18/U19,PDA ,Field 1,On Time,295121
2021-12-19,10:30 AM,Bracket,FSA FC ECNL GU18/U19,4,2,PDA White ECNL GU18/U19,FSA-Farmington Sports Arena,Field 6,On Time,295113
2022-03-05,10:30 AM,Bracket,PDA White ECNL GU18/U19,1,4,SUSA FC ECNL GU18/19,PDA ,Field 1,On Time,295122
2022-03-05,03:00 PM,Bracket,East Meadow SC ECNL GU18/U19,1,0,World Class FC ECNL GU18/19,East Meadow Field of Dreams,South Turf,On Time,295089
2022-03-06,10:00 AM,Bracket,PDA White ECNL GU18/U19,1,1,World Class FC ECNL GU18/19,PDA ,Field 5,On Time,295123
2022-03-06,02:00 PM,Bracket,Connecticut FC ECNL GU18/U19,3,0,Scorpions Soccer ECNL GU18/U19,CFC Park,Field 2,On Time,295083
2022-03-06,03:00 PM,Bracket,East Meadow SC ECNL GU18/U19,1,5,SUSA FC ECNL GU18/19,East Meadow Field of Dreams,South Turf,On Time,295090
2022-03-19,10:45 AM,Bracket,World Class FC ECNL GU18/19,0,1,FC Stars Blue ECNL GU18/U19,Orangetown Soccer Complex,Field 1,On Time,295148
2022-03-19,11:00 AM,Bracket,East Meadow SC ECNL GU18/U19,0,0,FSA FC ECNL GU18/U19,East Meadow Field of Dreams,North Turf,On Time,295091
2022-03-20,03:30 PM,Bracket,Connecticut FC ECNL GU18/U19,2,2,East Meadow SC ECNL GU18/U19,CFC Park,Field 1,On Time,295086
2022-03-20,04:30 PM,Bracket,FSA FC ECNL GU18/U19,0,3,Scorpions Soccer ECNL GU18/U19,FSA-Farmington Sports Arena,Field 8,On Time,295118
2022-03-26,09:00 AM,Bracket,FC Stars Blue ECNL GU18/U19,5,1,FC Stars White ECNL GU18/U19,FC Stars Complex,Field 1,On Time,295099
2022-03-26,02:15 PM,Bracket,World Class FC ECNL GU18/19,3,0,FSA FC ECNL GU18/U19,Orangetown Soccer Complex,Field 5,On Time,295149
2022-03-27,10:45 AM,Bracket,World Class FC ECNL GU18/19,1,4,Connecticut FC ECNL GU18/U19,Orangetown Soccer Complex,Field 5,On Time,295150
2022-03-27,11:00 AM,Bracket,PDA White ECNL GU18/U19,3,1,FSA FC ECNL GU18/U19,PDA ,Field 5,On Time,295125
2022-04-02,02:00 PM,Bracket,Connecticut FC ECNL GU18/U19,1,0,PDA White ECNL GU18/U19,CFC Park,Field 1,On Time,295082
2022-04-02,03:00 PM,Bracket,FC Stars White ECNL GU18/U19,0,4,FC Stars Blue ECNL GU18/U19,FC Stars Soccer Complex,Field 1 ,On Time,295107
2022-04-04,07:45 PM,Bracket,FC Stars White ECNL GU18/U19,1,2,Scorpions Soccer ECNL GU18/U19,FC Stars Soccer Complex,Field 3,On Time,295106
2022-04-09,11:30 AM,Bracket,Scorpions Soccer ECNL GU18/U19,0,3,East Meadow SC ECNL GU18/U19,Taunton Forekicks,Field 12,On Time,295131
2022-04-09,12:30 PM,Bracket,FSA FC ECNL GU18/U19,0,3,World Class FC ECNL GU18/19,FSA-Farmington Sports Arena,Field 8,On Time,295119
2022-04-09,05:45 PM,Bracket,FC Stars Blue ECNL GU18/U19,1,0,PDA White ECNL GU18/U19,FC Stars Complex,Field 1,On Time,295100
2022-04-09,05:45 PM,Bracket,FC Stars White ECNL GU18/U19,0,3,Connecticut FC ECNL GU18/U19,FC Stars Soccer Complex,Field 2,On Time,295108
2022-04-10,TBD,Bracket,FC Stars White ECNL GU18/U19,0,0,PDA White ECNL GU18/U19,,,On Time,295109
2022-04-10,03:30 PM,Bracket,Scorpions Soccer ECNL GU18/U19,1,3,World Class FC ECNL GU18/19,Taunton Forekicks,Field 15,On Time,295132
2022-04-10,04:30 PM,Bracket,FSA FC ECNL GU18/U19,1,2,East Meadow SC ECNL GU18/U19,FSA-Farmington Sports Arena,Field 8,On Time,295120
2022-04-10,04:45 PM,Bracket,FC Stars Blue ECNL GU18/U19,1,1,Connecticut FC ECNL GU18/U19,FC Stars Complex,Field 1,On Time,295101
2022-04-23,11:30 AM,Bracket,SUSA FC ECNL GU18/19,1,2,FC Stars Blue ECNL GU18/U19,SUSA - Orlin & Cohen Sports Complex,Field 2,On Time,295142
2022-04-23,12:00 PM,Bracket,PDA White ECNL GU18/U19,2,1,FC Stars White ECNL GU18/U19,PDA ,Field 3,On Time,295126
2022-04-23,02:15 PM,Bracket,World Class FC ECNL GU18/19,1,2,Scorpions Soccer ECNL GU18/U19,Orangetown Soccer Complex,Field 5,On Time,295151
2022-04-23,03:00 PM,Bracket,East Meadow SC ECNL GU18/U19,4,2,Connecticut FC ECNL GU18/U19,East Meadow Field of Dreams,South Turf,On Time,295094
2022-04-24,10:00 AM,Bracket,East Meadow SC ECNL GU18/U19,1,0,FC Stars Blue ECNL GU18/U19,East Meadow Field of Dreams,South Turf,On Time,295095
2022-04-24,10:45 AM,Bracket,World Class FC ECNL GU18/19,0,2,FC Stars White ECNL GU18/U19,Orangetown Soccer Complex,Field 5,On Time,295152
2022-04-24,11:30 AM,Bracket,SUSA FC ECNL GU18/19,4,1,Connecticut FC ECNL GU18/U19,SUSA - Orlin & Cohen Sports Complex,Field 2,On Time,295143
