date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-12-11,11:00 AM,Bracket,Pipeline SC ECNL GU16,1,3,Bethesda SC ECNL GU16,Mercy High School,Field 1,On Time,274067
2021-12-12,11:00 AM,Bracket,Pipeline SC ECNL GU16,0,1,Maryland United FC ECNL GU16,Mercy High School,Field 1,On Time,274071
2021-12-12,01:30 PM,Bracket,Penn Fusion SA ECNL GU16,1,0,FC DELCO ECNL GU16,USTC,Zach Steffen Field,On Time,274069
2021-12-12,02:15 PM,Bracket,FC Bucks ECNL GU16,3,2,PDA South ECNL GU16,Academy of the New Church (ANC),Turf ,On Time,274070
2021-12-18,10:30 AM,Bracket,PDA South ECNL GU16,0,3,Penn Fusion SA ECNL GU16,Westampton Sports Complex,Field 2,On Time,274074
2021-12-18,11:00 AM,Bracket,Pipeline SC ECNL GU16,0,2,Match Fit Academy ECNL GU16,Mercy High School,Field 1,On Time,274073
2021-12-18,12:30 PM,Bracket,FC Bucks ECNL GU16,2,0,FC DELCO ECNL GU16,Bryn Athyn College,Turf,On Time,274075
2021-12-19,10:30 AM,Bracket,PDA South ECNL GU16,1,2,FC DELCO ECNL GU16,Westampton Sports Complex,Field 2,On Time,274079
2021-12-19,12:30 PM,Bracket,FC Bucks ECNL GU16,1,1,Penn Fusion SA ECNL GU16,Bryn Athyn College,Turf,On Time,274078
2022-02-26,09:40 AM,Bracket,Maryland United FC ECNL GU16,0,4,PDA Blue ECNL GU16,Troy Park,Field 1,On Time,274072
2022-02-27,11:00 AM,Bracket,Pipeline SC ECNL GU16,0,3,PDA Blue ECNL GU16,Mercy High School,Field 1,On Time,274076
2022-02-27,11:45 AM,Bracket,Match Fit Academy ECNL GU16,1,1,Bethesda SC ECNL GU16,Morris Catholic High School,Field 2 Lower,On Time,274127
2022-03-02,06:00 PM,Bracket,Maryland United FC ECNL GU16,0,1,Bethesda SC ECNL GU16,Indian Creek,Field 2,On Time,274099
2022-03-05,02:00 PM,Bracket,Bethesda SC ECNL GU16,2,0,Pipeline SC ECNL GU16,Walter Johnson High School ,Stadium,On Time,274080
2022-03-06,01:45 PM,Bracket,FC DELCO ECNL GU16,0,0,Maryland United FC ECNL GU16,Proving Grounds,1,On Time,274093
2022-03-19,11:00 AM,Bracket,Pipeline SC ECNL GU16,1,2,PDA South ECNL GU16,Mercy High School,Field 1,On Time,274091
2022-03-19,02:00 PM,Bracket,Penn Fusion SA ECNL GU16,1,0,Maryland United FC ECNL GU16,USTC,Zach Steffen Field,On Time,274090
2022-03-19,04:00 PM,Bracket,Bethesda SC ECNL GU16,5,0,Match Fit Academy ECNL GU16,Walter Johnson High School ,Stadium,On Time,274089
2022-03-20,01:00 PM,Bracket,Pipeline SC ECNL GU16,1,0,FC Bucks ECNL GU16,Mercy High School,Field 1,On Time,274094
2022-03-20,02:00 PM,Bracket,Bethesda SC ECNL GU16,3,3,PDA Blue ECNL GU16,Wootton High School,Stadium,On Time,274092
2022-03-26,11:45 AM,Bracket,FC DELCO ECNL GU16,1,0,Penn Fusion SA ECNL GU16,Proving Grounds,1,On Time,274096
2022-04-09,09:30 AM,Bracket,Penn Fusion SA ECNL GU16,1,2,PDA Blue ECNL GU16,USTC,Field 3,On Time,274100
2022-04-09,10:30 AM,Bracket,PDA South ECNL GU16,1,2,Maryland United FC ECNL GU16,Westampton Sports Complex,Field 2,On Time,274103
2022-04-09,11:00 AM,Bracket,FC Bucks ECNL GU16,2,2,Bethesda SC ECNL GU16,Academy of the New Church (ANC),Turf ,On Time,274102
2022-04-09,01:30 PM,Bracket,FC DELCO ECNL GU16,1,0,Match Fit Academy ECNL GU16,Proving Grounds,1,On Time,274101
2022-04-10,10:00 AM,Bracket,FC DELCO ECNL GU16,0,0,PDA Blue ECNL GU16,Proving Grounds,1,On Time,274104
