date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-12-11,03:00 PM,Bracket,Pipeline SC ECNL GU18/U19,2,4,Bethesda SC ECNL GU18/U19,Mercy High School,Field 1,On Time,274211
2021-12-12,09:30 AM,Bracket,Penn Fusion SA ECNL GU18/19,3,0,FC DELCO ECNL GU18/19,USTC,Zach Steffen Field,On Time,274213
2021-12-18,02:00 PM,Bracket,PDA South ECNL GU18/19,1,5,Penn Fusion SA ECNL GU18/19,Westampton Sports Complex,Field 2,On Time,274218
2021-12-19,02:00 PM,Bracket,PDA South ECNL GU18/19,3,3,FC DELCO ECNL GU18/19,Westampton Sports Complex,Field 2,On Time,274223
2022-02-26,11:20 AM,Bracket,Maryland United FC ECNL GU18/19,0,3,PDA Blue ECNL GU18/U19,Troy Park,Field 1,On Time,274216
2022-02-27,03:00 PM,Bracket,Pipeline SC ECNL GU18/U19,2,6,PDA Blue ECNL GU18/U19,Mercy High School,Field 1,On Time,274220
2022-02-27,03:30 PM,Bracket,Match Fit Academy ECNL GU18/19,1,0,Bethesda SC ECNL GU18/U19,Morris Catholic High School,Field 2 Lower,On Time,274271
2022-03-02,07:45 PM,Bracket,Maryland United FC ECNL GU18/19,1,1,Bethesda SC ECNL GU18/U19,Indian Creek,Field 1,On Time,274243
2022-03-05,03:45 PM,Bracket,Bethesda SC ECNL GU18/U19,1,1,Pipeline SC ECNL GU18/U19,Walter Johnson High School ,Stadium,On Time,274224
2022-03-06,11:45 AM,Bracket,FC DELCO ECNL GU18/19,0,1,Maryland United FC ECNL GU18/19,Proving Grounds,1,On Time,274237
2022-03-06,01:45 PM,Bracket,FC Bucks ECNL GU18/U19,3,3,Penn Fusion SA ECNL GU18/19,Council Rock North High School,Turf Field,On Time,274222
2022-03-19,10:00 AM,Bracket,Penn Fusion SA ECNL GU18/19,2,2,Maryland United FC ECNL GU18/19,USTC,Zach Steffen Field,On Time,274234
2022-03-19,02:00 PM,Bracket,Bethesda SC ECNL GU18/U19,0,1,Match Fit Academy ECNL GU18/19,Walter Johnson High School ,Stadium,On Time,274233
2022-03-19,03:00 PM,Bracket,Pipeline SC ECNL GU18/U19,0,1,PDA South ECNL GU18/19,Mercy High School,Field 1,On Time,274235
2022-03-20,12:15 PM,Bracket,Bethesda SC ECNL GU18/U19,1,4,PDA Blue ECNL GU18/U19,Wootton High School,Stadium,On Time,274236
2022-03-20,03:00 PM,Bracket,Pipeline SC ECNL GU18/U19,1,1,FC Bucks ECNL GU18/U19,Mercy High School,Field 1,On Time,274238
2022-03-26,01:30 PM,Bracket,FC DELCO ECNL GU18/19,1,1,Penn Fusion SA ECNL GU18/19,Proving Grounds,1,On Time,274240
2022-04-06,06:45 PM,Bracket,Penn Fusion SA ECNL GU18/19,2,1,Pipeline SC ECNL GU18/U19,USTC,Zach Steffen Field,On Time,274227
2022-04-09,10:00 AM,Bracket,FC DELCO ECNL GU18/19,0,4,Match Fit Academy ECNL GU18/19,Proving Grounds,1,On Time,274245
2022-04-09,02:00 PM,Bracket,FC Bucks ECNL GU18/U19,0,2,Bethesda SC ECNL GU18/U19,Council Rock South High School,Turf,On Time,274246
2022-04-09,02:00 PM,Bracket,PDA South ECNL GU18/19,2,2,Maryland United FC ECNL GU18/19,Westampton Sports Complex,Field 2,On Time,274247
2022-04-09,03:15 PM,Bracket,Penn Fusion SA ECNL GU18/19,0,2,PDA Blue ECNL GU18/U19,USTC,Zach Steffen Field,On Time,274244
2022-04-10,11:00 AM,Bracket,Penn Fusion SA ECNL GU18/19,1,4,Match Fit Academy ECNL GU18/19,USTC,Zach Steffen Field,On Time,274249
