date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2022-01-15,09:00 AM,Bracket,FC Portland ECNL GU13,0,8,Portland Thorns ECNL GU13,Liberty High School,Stadium Field,On Time,276643
2022-01-15,11:00 AM,Bracket,Boise Thorns FC ECNL GU13,1,1,Eastside FC ECNL GU13,Preston Park,Field 2,On Time,276253
2022-01-15,12:00 PM,Bracket,PacNW SC ECNL GU13,1,0,Northwest Elite FC ECNL GU13,Valley Ridge,Field 4,On Time,276901
2022-01-16,08:15 AM,Bracket,PacNW SC ECNL GU13,2,1,Boise Thorns FC ECNL GU13,Valley Ridge,Field 4,On Time,276902
2022-01-16,01:00 PM,Bracket,Eastside FC ECNL GU13,0,1,Northwest Elite FC ECNL GU13,PRESTON PARK ATHLETIC FIELDS,Field 2,On Time,276589
2022-01-22,09:00 AM,Bracket,Northwest Elite FC ECNL GU13,0,5,Crossfire Premier ECNL GU13,Mountain View Champions Park,Field 3,On Time,276427
2022-01-22,09:00 AM,Bracket,FC Portland ECNL GU13,0,12,Seattle United ECNL GU13,Liberty High School,Stadium Field,On Time,276644
2022-01-22,09:00 AM,Bracket,PacNW SC ECNL GU13,2,0,La Roca FC ECNL GU13,Starfire Sports,Field 3,On Time,276903
2022-01-22,11:00 AM,Bracket,Eastside FC ECNL GU13,0,3,Portland Thorns ECNL GU13,PRESTON PARK ATHLETIC FIELDS,Field 1,On Time,276590
2022-01-22,01:00 PM,Bracket,Washington Premier ECNL GU13,3,1,,WPFC Field Complex,Field 3,On Time,277418
2022-01-23,09:00 AM,Bracket,Northwest Elite FC ECNL GU13,0,2,Seattle United ECNL GU13,Mountain View Champions Park,Field 3,On Time,276428
2022-01-23,09:00 AM,Bracket,FC Portland ECNL GU13,0,7,Crossfire Premier ECNL GU13,Liberty High School,Stadium Field,On Time,276645
2022-01-23,09:00 AM,Bracket,PacNW SC ECNL GU13,1,0,,Starfire Sports,Field 4,On Time,276904
2022-01-23,11:00 AM,Bracket,Washington Premier ECNL GU13,2,0,La Roca FC ECNL GU13,WPFC Field Complex,Field 4,On Time,277419
2022-01-29,09:00 AM,Bracket,Portland Thorns ECNL GU13,1,3,Crossfire Premier ECNL GU13,53rd Street Fields,West,On Time,277009
2022-01-29,11:00 AM,Bracket,Boise Thorns FC ECNL GU13,1,6,Seattle United ECNL GU13,Delta Park,Field 7,On Time,276254
2022-01-30,09:00 AM,Bracket,Boise Thorns FC ECNL GU13,0,1,Crossfire Premier ECNL GU13,Delta Park,Field 7,On Time,276255
2022-01-30,09:00 AM,Bracket,FC Portland ECNL GU13,0,5,Northwest Elite FC ECNL GU13,Liberty High School,Stadium Field,On Time,276646
2022-01-30,09:00 AM,Bracket,Washington Premier ECNL GU13,2,0,Eastside FC ECNL GU13,WPFC Field Complex,Field 4,On Time,277421
2022-01-30,11:00 AM,Bracket,Portland Thorns ECNL GU13,1,2,Seattle United ECNL GU13,Mt View Champions Park,Field 3,On Time,277010
2022-02-06,09:00 AM,Bracket,Northwest Elite FC ECNL GU13,0,2,Portland Thorns ECNL GU13,Mountain View Champions Park,Field 2,On Time,276429
2022-02-06,05:00 PM,Bracket,Eastside FC ECNL GU13,3,1,PacNW SC ECNL GU13,PRESTON PARK ATHLETIC FIELDS,Field 1,On Time,276592
2022-02-12,09:00 AM,Bracket,PacNW SC ECNL GU13,1,3,Eastside FC ECNL GU13,Valley Ridge,Field 2,On Time,276905
2022-02-12,09:00 AM,Bracket,Seattle United ECNL GU13,3,1,Boise Thorns FC ECNL GU13,Shoreline A/B fields,Field B,On Time,277304
2022-02-12,11:00 AM,Bracket,Crossfire Premier ECNL GU13,2,1,Portland Thorns ECNL GU13,Marymoor Park,#2 (Turf),On Time,276367
2022-02-12,11:00 AM,Bracket,Washington Premier ECNL GU13,5,2,Northwest Elite FC ECNL GU13,WPFC Field Complex,Field 4,On Time,277420
2022-02-13,09:00 AM,Bracket,Crossfire Premier ECNL GU13,2,0,Boise Thorns FC ECNL GU13,Marymoor Park,#2 (Turf),On Time,276368
2022-02-13,10:30 AM,Bracket,Seattle United ECNL GU13,0,1,Portland Thorns ECNL GU13,Shoreline Public Schools Stadium,Stadium,On Time,277305
2022-02-13,11:00 AM,Bracket,Eastside FC ECNL GU13,2,2,Washington Premier ECNL GU13,PRESTON PARK ATHLETIC FIELDS,Field 1,On Time,276591
2022-02-19,09:00 AM,Bracket,PacNW SC ECNL GU13,2,4,Portland Thorns ECNL GU13,North SeaTac,Field 1,On Time,276906
2022-02-19,09:00 AM,Bracket,Washington Premier ECNL GU13,12,0,FC Portland ECNL GU13,WPFC Field Complex,Field 4,On Time,277422
2022-02-20,09:00 AM,Bracket,Washington Premier ECNL GU13,0,2,Portland Thorns ECNL GU13,WPFC Field Complex,Field 4,On Time,277423
2022-02-20,03:00 PM,Bracket,PacNW SC ECNL GU13,4,0,FC Portland ECNL GU13,North SeaTac,Field 1,On Time,276907
2022-03-05,09:00 AM,Bracket,Portland Thorns ECNL GU13,0,1,Eastside FC ECNL GU13,53rd Street Fields,West,On Time,277011
2022-03-05,09:00 AM,Bracket,Washington Premier ECNL GU13,4,1,PacNW SC ECNL GU13,WPFC Field Complex,Field 4,On Time,277424
2022-03-05,10:00 AM,Bracket,Crossfire Premier ECNL GU13,3,0,Northwest Elite FC ECNL GU13,Marymoor Park,#3 (Turf),On Time,276369
2022-03-05,02:00 PM,Bracket,Seattle United ECNL GU13,5,0,FC Portland ECNL GU13,Shoreline A/B fields,Field B,On Time,277306
2022-03-06,09:00 AM,Bracket,Crossfire Premier ECNL GU13,5,0,FC Portland ECNL GU13,Marymoor Park,#2 (Turf),On Time,276370
2022-03-06,01:00 PM,Bracket,Seattle United ECNL GU13,3,1,Northwest Elite FC ECNL GU13,Shoreline A/B fields,Field B,On Time,277307
2022-03-12,09:00 AM,Bracket,Boise Thorns FC ECNL GU13,2,2,Real Colorado Athletico ECNL GU13,Boise Timbers|Thorns - Soccer Complex,Field 1,On Time,276256
2022-03-12,09:00 AM,Bracket,Portland Thorns ECNL GU13,1,2,Real Colorado National ECNL GU13,Boise Timbers/Thorns Complex,Field 3,On Time,277012
2022-03-12,12:30 PM,Bracket,Seattle United ECNL GU13,1,2,Crossfire Premier ECNL GU13,Ingraham High School,North,On Time,277303
2022-03-13,08:00 AM,Bracket,Boise Thorns FC ECNL GU13,1,4,Real Colorado National ECNL GU13,Boise Timbers|Thorns - Soccer Complex,Field 1,On Time,276257
2022-03-13,01:00 PM,Bracket,Crossfire Premier ECNL GU13,3,0,Washington Premier ECNL GU13,Marymoor Park,#2 (Turf),On Time,276371
2022-03-13,01:00 PM,Bracket,Seattle United ECNL GU13,2,0,PacNW SC ECNL GU13,Shoreline A/B fields,Field B,On Time,277309
2022-03-19,09:00 AM,Bracket,Washington Premier ECNL GU13,1,0,Seattle United ECNL GU13,WPFC Field Complex,Field 4,On Time,277417
2022-03-19,11:00 AM,Bracket,Crossfire Premier ECNL GU13,2,0,PacNW SC ECNL GU13,Marymoor Park,#3 (Turf),On Time,276372
2022-03-19,11:00 AM,Bracket,Eastside FC ECNL GU13,0,0,Boise Thorns FC ECNL GU13,PRESTON PARK ATHLETIC FIELDS,Field 1,On Time,276593
2022-03-20,09:00 AM,Bracket,Crossfire Premier ECNL GU13,6,0,Eastside FC ECNL GU13,Marymoor Park,#3 (Turf),On Time,276373
2022-03-20,09:00 AM,Bracket,PacNW SC ECNL GU13,1,6,Seattle United ECNL GU13,Starfire Sports,Field 4,On Time,276910
2022-03-20,09:00 AM,Bracket,Washington Premier ECNL GU13,3,0,Boise Thorns FC ECNL GU13,WPFC Field Complex,Field 4,On Time,277425
2022-03-27,09:00 AM,Bracket,Seattle United ECNL GU13,0,0,Washington Premier ECNL GU13,Jane Addams ,East/West,On Time,277308
2022-04-09,09:00 AM,Bracket,Boise Thorns FC ECNL GU13,9,1,FC Portland ECNL GU13,Mountain View Champions Park,Field 2,On Time,276258
