date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-09-11,09:00 AM,Bracket,San Juan SC ECNL GU18/U19,3,4,MVLA ECNL GU18/U19,San Juan Soccer Complex,Tiemann Law Firm Black Field,On Time,277240
2021-09-11,04:00 PM,Group Play,Santa Rosa United ECNL GU18/U19,0,2,Pleasanton RAGE ECNL GU18/U19,Trione Fields,Trione East,On Time,297657
2021-09-11,06:00 PM,Bracket,Mustang SC ECNL GU18/U19,3,1,Davis Legacy ECNL GU18/U19,Provident Field @ MSC, Upper,On Time,276844
2021-09-12,10:00 AM,Bracket,DeAnza Force ECNL GU18/U19,1,0,Marin FC ECNL GU18/U19,De Anza College,Soccer Field,On Time,276580
2021-09-18,TBD,Group Play,Marin FC ECNL GU18/U19,1,0,Mustang SC ECNL GU18/U19,,,On Time,298916
2021-09-18,09:00 AM,Group Play,MVLA ECNL GU18/U19,3,0,Santa Rosa United ECNL GU18/U19,Crittenden,Field 1,On Time,298909
2021-09-18,11:00 AM,Group Play,Pleasanton RAGE ECNL GU18/U19,3,3,San Juan SC ECNL GU18/U19,Val Vista,Field 3,On Time,298476
2021-09-18,02:00 PM,Group Play,Davis Legacy ECNL GU18/U19,2,4,DeAnza Force ECNL GU18/U19,Davis Legacy Soccer Complex,Field 9,On Time,298883
2021-09-25,10:00 AM,Bracket,Santa Rosa United ECNL GU18/U19,1,4,Davis Legacy ECNL GU18/U19,Trione Fields,Trione West,On Time,277295
2021-09-25,10:00 AM,Group Play,DeAnza Force ECNL GU18/U19,1,0,Pleasanton RAGE ECNL GU18/U19,De Anza College,Soccer Field,On Time,297658
2021-09-25,11:00 AM,Bracket,MVLA ECNL GU18/U19,2,3,Mustang SC ECNL GU18/U19,Crittenden,Field 1,On Time,276893
2021-09-25,11:00 AM,Group Play,Marin FC ECNL GU18/U19,1,0,San Juan SC ECNL GU18/U19,College of Marin,Stadium,On Time,329271
2021-10-01,05:00 PM,Group Play,Pleasanton RAGE ECNL GU18/U19,1,4,Mustang SC ECNL GU18/U19,Bernal Sports Complex,East Field,On Time,297659
2021-10-02,02:00 PM,Bracket,Davis Legacy ECNL GU18/U19,1,1,San Juan SC ECNL GU18/U19,Davis Legacy Soccer Complex,Field 9,On Time,276527
2021-10-02,05:00 PM,Bracket,Marin FC ECNL GU18/U19,1,0,Santa Rosa United ECNL GU18/U19,College of Marin,Stadium,On Time,276791
2021-10-02,07:00 PM,Bracket,MVLA ECNL GU18/U19,3,0,DeAnza Force ECNL GU18/U19,Crittenden,Field 1,On Time,276894
2021-10-16,11:00 AM,Bracket,Mustang SC ECNL GU18/U19,1,0,DeAnza Force ECNL GU18/U19,Provident Field @ MSC, Upper,On Time,276845
2021-10-16,11:00 AM,Bracket,San Juan SC ECNL GU18/U19,0,4,Real Colorado National ECNL GU18/U19,San Juan Soccer Complex,Tiemann Law Firm White Field,On Time,277242
2021-10-16,12:00 PM,Bracket,Santa Rosa United ECNL GU18/U19,2,1,Colorado Rapids ECNL GU18/U19,Trione Fields,Trione West,On Time,277296
2021-10-16,02:00 PM,Bracket,Davis Legacy ECNL GU18/U19,4,2,Real Colorado Athletico ECNL GU18/U19,Davis Legacy Soccer Complex,Field 10,On Time,276528
2021-10-16,06:00 PM,Bracket,Marin FC ECNL GU18/U19,1,0,Pride SC ECNL GU18/U19,San Rafael High School,Stadium,On Time,276792
2021-10-17,08:00 AM,Bracket,Santa Rosa United ECNL GU18/U19,1,2,Pride SC ECNL GU18/U19,Trione Fields,Trione West,On Time,277297
2021-10-17,11:00 AM,Bracket,San Juan SC ECNL GU18/U19,1,1,Real Colorado Athletico ECNL GU18/U19,San Juan Soccer Complex,Tiemann Law Firm White Field,On Time,277243
2021-10-17,12:30 PM,Bracket,Marin FC ECNL GU18/U19,0,0,Colorado Rapids ECNL GU18/U19,College of Marin,Stadium,On Time,276793
2021-10-17,01:00 PM,Bracket,Davis Legacy ECNL GU18/U19,0,0,Real Colorado National ECNL GU18/U19,Davis Legacy Soccer Complex,Field 9,On Time,276529
2021-10-23,01:00 PM,Group Play,MVLA ECNL GU18/U19,8,2,Pleasanton RAGE ECNL GU18/U19,Foothill College,Top Hill Soccer Field,On Time,277594
2021-10-23,02:00 PM,Bracket,Santa Rosa United ECNL GU18/U19,0,3,Mustang SC ECNL GU18/U19,Trione Fields,Trione West,On Time,277298
2021-10-23,05:45 PM,Bracket,Marin FC ECNL GU18/U19,0,0,Davis Legacy ECNL GU18/U19,San Rafael High School,Stadium,On Time,276794
2021-10-30,10:00 AM,Bracket,Santa Rosa United ECNL GU18/U19,0,3,San Juan SC ECNL GU18/U19,Trione Fields,Trione West,On Time,277302
2021-10-30,01:00 PM,Group Play,Pleasanton RAGE ECNL GU18/U19,0,0,Marin FC ECNL GU18/U19,Bernal Sports Complex,West Field,On Time,297989
2021-11-06,01:00 PM,Bracket,San Juan SC ECNL GU18/U19,3,0,Mustang SC ECNL GU18/U19,San Juan Soccer Complex,Tiemann Law Firm White Field,On Time,277245
2021-11-06,04:00 PM,Bracket,Santa Rosa United ECNL GU18/U19,1,2,DeAnza Force ECNL GU18/U19,Davis Legacy Soccer Complex,Field 10,On Time,277299
2021-11-06,06:00 PM,Bracket,Marin FC ECNL GU18/U19,0,1,MVLA ECNL GU18/U19,San Rafael High School,Stadium,On Time,276795
2021-11-06,07:00 PM,Group Play,Davis Legacy ECNL GU18/U19,2,2,Pleasanton RAGE ECNL GU18/U19,Davis Legacy Soccer Complex,Field 6,On Time,297990
2022-03-12,02:45 PM,Bracket,Marin FC ECNL GU18/U19,0,0,DeAnza Force ECNL GU18/U19,College of Marin,Stadium,On Time,276796
2022-03-12,03:30 PM,Bracket,Davis Legacy ECNL GU18/U19,3,1,Mustang SC ECNL GU18/U19,Davis Legacy Soccer Complex,Field 10,On Time,276532
2022-03-12,07:00 PM,Group Play,Pleasanton RAGE ECNL GU18/U19,3,0,Santa Rosa United ECNL GU18/U19,Bernal Sports Complex,Stanford Childrens Health Stadium,On Time,297991
2022-03-13,02:00 PM,Bracket,MVLA ECNL GU18/U19,2,0,San Juan SC ECNL GU18/U19,Foothill College,Top Hill Soccer Field,On Time,276896
2022-03-19,11:00 AM,Bracket,Mustang SC ECNL GU18/U19,3,1,Marin FC ECNL GU18/U19,Provident Field @ MSC, Upper,On Time,276846
2022-03-19,11:00 AM,Bracket,San Juan SC ECNL GU18/U19,2,0,Pleasanton RAGE ECNL GU18/U19,San Juan Soccer Complex,Tiemann Law Firm White Field,On Time,277246
2022-03-19,02:30 PM,Bracket,DeAnza Force ECNL GU18/U19,3,0,Pride SC ECNL GU18/U19,Prospect High School,Stadium Field,On Time,276583
2022-03-19,04:15 PM,Bracket,MVLA ECNL GU18/U19,4,1,Colorado Rapids ECNL GU18/U19,Crittenden,Field 1,On Time,276897
2022-03-20,11:00 AM,Bracket,DeAnza Force ECNL GU18/U19,3,1,Colorado Rapids ECNL GU18/U19,De Anza College,Soccer Field,On Time,276584
2022-03-20,01:15 PM,Bracket,MVLA ECNL GU18/U19,3,0,Pride SC ECNL GU18/U19,Foothill College,Top Hill Soccer Field,On Time,276898
2022-03-26,10:00 AM,Bracket,Santa Rosa United ECNL GU18/U19,0,7,MVLA ECNL GU18/U19,Trione Fields,Trione West,On Time,277300
2022-03-26,03:00 PM,Bracket,DeAnza Force ECNL GU18/U19,2,1,Davis Legacy ECNL GU18/U19,De Anza College,Soccer Field,On Time,276585
2022-03-26,05:00 PM,Bracket,Mustang SC ECNL GU18/U19,2,2,Pleasanton RAGE ECNL GU18/U19,Provident Field @ MSC, Upper,On Time,276847
2022-03-27,02:00 PM,Bracket,Davis Legacy ECNL GU18/U19,0,0,MVLA ECNL GU18/U19,Davis Legacy Soccer Complex,Field 3,On Time,276530
2022-04-09,09:00 AM,Bracket,DeAnza Force ECNL GU18/U19,1,3,MVLA ECNL GU18/U19,Valley Christian High School,Soccer Field,On Time,276586
2022-04-09,11:00 AM,Bracket,Santa Rosa United ECNL GU18/U19,5,2,Marin FC ECNL GU18/U19,Trione Fields,Trione West,On Time,277301
2022-04-09,01:00 PM,Bracket,San Juan SC ECNL GU18/U19,3,1,Davis Legacy ECNL GU18/U19,San Juan Soccer Complex,Tiemann Law Firm White Field,On Time,277247
2022-04-23,10:00 AM,Bracket,Davis Legacy ECNL GU18/U19,3,1,Marin FC ECNL GU18/U19,Davis Legacy Soccer Complex,Field 10,On Time,276534
2022-04-23,11:00 AM,Bracket,Mustang SC ECNL GU18/U19,0,3,Washington Premier ECNL GU18/U19,Provident Field @ MSC, Upper,On Time,276848
2022-04-23,01:00 PM,Bracket,Pleasanton RAGE ECNL GU18/U19,0,2,PacNW SC ECNL GU18/U19,Val Vista,Field 3,On Time,277004
2022-04-24,11:00 AM,Bracket,Mustang SC ECNL GU18/U19,1,3,PacNW SC ECNL GU18/U19,Provident Field @ MSC, Upper,On Time,276849
2022-04-24,01:00 PM,Bracket,Pleasanton RAGE ECNL GU18/U19,0,3,Washington Premier ECNL GU18/U19,Val Vista,Field 3,On Time,277005
2022-04-30,09:00 AM,Bracket,Davis Legacy ECNL GU18/U19,3,4,Santa Rosa United ECNL GU18/U19,Davis Legacy Soccer Complex,Field 10,On Time,276533
2022-04-30,11:00 AM,Bracket,San Juan SC ECNL GU18/U19,3,0,Marin FC ECNL GU18/U19,San Juan Soccer Complex,Tiemann Law Firm White Field,On Time,277241
2022-05-01,01:00 PM,Bracket,DeAnza Force ECNL GU18/U19,1,1,San Juan SC ECNL GU18/U19,De Anza College,Stadium Field,On Time,276582
2022-05-07,09:00 AM,Bracket,Pleasanton RAGE ECNL GU18/U19,0,5,DeAnza Force ECNL GU18/U19,Val Vista,Field 3,On Time,277006
2022-05-07,01:00 PM,Bracket,Mustang SC ECNL GU18/U19,0,4,MVLA ECNL GU18/U19,Provident Field @ MSC, Upper,On Time,276850
2022-05-14,09:00 AM,Bracket,Mustang SC ECNL GU18/U19,1,3,Santa Rosa United ECNL GU18/U19,Provident Field @ MSC, Upper,On Time,276851
2022-05-14,11:00 AM,Bracket,Pleasanton RAGE ECNL GU18/U19,1,4,MVLA ECNL GU18/U19,Val Vista,Field 3,On Time,277007
2022-05-14,01:00 PM,Bracket,San Juan SC ECNL GU18/U19,1,0,DeAnza Force ECNL GU18/U19,San Juan Soccer Complex,Tiemann Law Firm White Field,On Time,277248
2022-05-15,09:00 AM,Bracket,Mustang SC ECNL GU18/U19,1,1,San Juan SC ECNL GU18/U19,Provident Field @ MSC, Upper,On Time,276852
2022-05-15,09:30 AM,Bracket,Pleasanton RAGE ECNL GU18/U19,2,2,Davis Legacy ECNL GU18/U19,Val Vista,Field 1,On Time,277008
2022-05-15,10:00 AM,Bracket,DeAnza Force ECNL GU18/U19,3,0,Santa Rosa United ECNL GU18/U19,De Anza College,Soccer Field,On Time,276587
2022-05-15,05:15 PM,Bracket,MVLA ECNL GU18/U19,3,0,Marin FC ECNL GU18/U19,Foothill College,Top Hill Soccer Field,On Time,276899
2022-05-21,09:00 AM,Bracket,San Juan SC ECNL GU18/U19,3,2,Santa Rosa United ECNL GU18/U19,San Juan Soccer Complex,Tiemann Law Firm Black Field,On Time,277244
2022-05-21,12:30 PM,Bracket,MVLA ECNL GU18/U19,5,1,Davis Legacy ECNL GU18/U19,Foothill College,Top Hill Soccer Field,On Time,276900
2022-05-21,05:00 PM,Bracket,DeAnza Force ECNL GU18/U19,3,1,Mustang SC ECNL GU18/U19,De Anza College,Soccer Field,On Time,276588
2022-05-21,05:00 PM,Bracket,Marin FC ECNL GU18/U19,2,4,Pleasanton RAGE ECNL GU18/U19,College of Marin,Stadium,On Time,276798
