date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-09-12,09:00 AM,Bracket,Real Colorado National ECNL GU18/U19,4,1,Pride SC ECNL GU18/U19,Real Colorado Soccer Complex,RCSC Grass,On Time,277189
2021-09-12,01:30 PM,Bracket,Colorado Rapids ECNL GU18/U19,2,1,Real Colorado Athletico ECNL GU18/U19,Gates South Soccer Complex,6,On Time,276360
2021-09-18,10:00 AM,Group Play,Pride SC ECNL GU18/U19,0,3,Colorado Rapids ECNL GU18/U19,Pride Soccer Complex,Field 1,On Time,295305
2021-09-19,01:30 PM,Group Play,Real Colorado National ECNL GU18/U19,3,1,Real Colorado Athletico ECNL GU18/U19,Real Colorado Soccer Complex,RCSC Grass,On Time,295311
2021-09-25,09:00 AM,Bracket,Colorado Rapids ECNL GU18/U19,0,1,Real Colorado National ECNL GU18/U19,Gates South Soccer Complex,6,On Time,276361
2021-09-26,09:00 AM,Bracket,Real Colorado Athletico ECNL GU18/U19,2,1,Pride SC ECNL GU18/U19,Real Colorado Soccer Complex,RCSC Grass,On Time,277151
2021-10-02,10:00 AM,Bracket,Pride SC ECNL GU18/U19,0,5,Real Colorado National ECNL GU18/U19,Pride Soccer Complex,Field 1,On Time,277105
2021-10-03,01:30 PM,Bracket,Real Colorado Athletico ECNL GU18/U19,1,1,Colorado Rapids ECNL GU18/U19,Real Colorado Soccer Complex,RCSC Grass,On Time,277152
2021-10-23,11:15 AM,Bracket,Colorado Rapids ECNL GU18/U19,5,1,Pride SC ECNL GU18/U19,Gates South Soccer Complex,6,On Time,276362
2021-10-23,01:30 PM,Bracket,Real Colorado Athletico ECNL GU18/U19,0,1,Real Colorado National ECNL GU18/U19,Real Colorado Soccer Complex,RCSC Grass,On Time,277153
2021-10-24,09:00 AM,Bracket,Pride SC ECNL GU18/U19,2,4,Real Colorado Athletico ECNL GU18/U19,Pride Soccer Complex,Field 1,On Time,277106
2021-10-24,01:30 PM,Bracket,Real Colorado National ECNL GU18/U19,4,1,Colorado Rapids ECNL GU18/U19,Real Colorado Soccer Complex,RCSC Grass,On Time,277190
2021-11-06,09:00 AM,Bracket,La Roca FC ECNL GU18/U19,5,0,Pride SC ECNL GU18/U19,Spence Eccles Ogden Community Sports Complex,Field 1,On Time,276742
2021-11-06,02:00 PM,Bracket,Utah Avalanche ECNL GU18/U19,1,4,Colorado Rapids ECNL GU18/U19,St. Joseph Catholic High School,Grass Field,On Time,277408
2021-11-07,11:00 AM,Bracket,La Roca FC ECNL GU18/U19,4,5,Colorado Rapids ECNL GU18/U19,Legacy Events Center,Field 1 #2021,On Time,276743
2021-11-07,02:00 PM,Bracket,Utah Avalanche ECNL GU18/U19,2,2,Pride SC ECNL GU18/U19,St. Joseph Catholic High School,Turf Field,On Time,277409
