date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-09-11,10:00 AM,Bracket,Ohio Elite Soccer Academy ECNL GU13,1,0,Racing Louisville Academy ECNL GU13,Ohio Elite Training Center,Field 9,On Time,277875
2021-09-11,11:00 AM,Bracket,Indiana Fire ECNL GU13,0,2,FC Pride Elite ECNL GU13,Grand Park,Field 1,On Time,277745
2021-09-19,09:00 AM,Bracket,Tennessee Soccer Club ECNL GU13,1,1,FC Alliance ECNL GU13,Williamson County Sports Complex,Field 26,On Time,278073
2021-09-25,12:00 PM,Bracket,FC Pride Elite ECNL GU13,1,1,Kings Hammer SC ECNL GU13,Pride Performance Center (Turf),Field 1,On Time,277703
2021-09-25,01:00 PM,Bracket,Indiana Fire ECNL GU13,1,0,Ohio Premier ECNL GU13,Grand Park,Field 13,On Time,277746
2021-09-26,09:00 AM,Bracket,FC Pride Elite ECNL GU13,1,1,Ohio Premier ECNL GU13,Pride Performance Center (Turf),Field 1,On Time,277704
2021-09-26,10:00 AM,Bracket,Indiana Fire ECNL GU13,2,2,Kings Hammer SC ECNL GU13,Grand Park,Field 13,On Time,277747
2021-10-09,09:00 AM,Bracket,FC Alliance ECNL GU13,0,0,FC Pride Elite ECNL GU13,Mayor Bob Leonard Park,Field 1,On Time,277645
2021-10-09,09:00 AM,Bracket,Tennessee Soccer Club ECNL GU13,6,0,Indiana Fire ECNL GU13,Richard Siegel Soccer Complex,Field 3,On Time,278074
2021-10-09,03:00 PM,Bracket,Ohio Premier ECNL GU13,2,1,Racing Louisville Academy ECNL GU13,OP Training Facility,Field 1,On Time,278021
2021-10-10,09:00 AM,Bracket,FC Alliance ECNL GU13,1,0,Indiana Fire ECNL GU13,Mayor Bob Leonard Park,Field 1,On Time,277646
2021-10-10,10:45 AM,Bracket,Tennessee Soccer Club ECNL GU13,2,0,FC Pride Elite ECNL GU13,Richard Siegel Soccer Complex,Field 3,On Time,278075
2021-10-23,09:00 AM,Bracket,FC Alliance ECNL GU13,3,0,Kings Hammer SC ECNL GU13,Mayor Bob Leonard Park,Field 1,On Time,277647
2021-10-23,09:00 AM,Bracket,Tennessee Soccer Club ECNL GU13,3,1,Ohio Premier ECNL GU13,Oakland High School ,Field 1,On Time,278076
2021-10-23,10:00 AM,Bracket,Ohio Elite Soccer Academy ECNL GU13,8,0,Pittsburgh Riverhounds  ECNL GU13,Ohio Elite Training Center,Field 9,On Time,277876
2021-10-23,11:00 AM,Bracket,Racing Louisville Academy ECNL GU13,3,2,WNY Flash Academy ECNL GU13,Lynn Family Sports Vision & Training Facility,Field 4,On Time,278022
2021-10-24,09:00 AM,Bracket,FC Alliance ECNL GU13,1,1,Ohio Premier ECNL GU13,Mayor Bob Leonard Park,Field 1,On Time,277648
