date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-11-20,02:30 PM,Bracket,FC Alliance ECNL GU18/U19,0,3,Kings Hammer SC ECNL GU18/U19,Mayor Bob Leonard Park,Field 1,On Time,277693
2021-11-20,02:30 PM,Bracket,Tennessee Soccer Club ECNL GU18/U19,0,1,Ohio Premier ECNL GU18/U19,Oakland High School ,Field 1,On Time,278118
2021-11-20,05:00 PM,Bracket,Racing Louisville Academy ECNL GU18/U19,1,2,FC Pride Elite ECNL GU18/U19,Lynn Family Sports Vision & Training Facility,Field 3,On Time,278066
2021-11-21,02:30 PM,Bracket,FC Alliance ECNL GU18/U19,1,0,Ohio Premier ECNL GU18/U19,Mayor Bob Leonard Park,Field 1,On Time,277694
2021-11-21,02:30 PM,Bracket,Indiana Fire ECNL GU18/U19,2,2,Ohio Elite Soccer Academy ECNL GU18/U19,Heritage Christian School,Field 1,On Time,277783
2021-11-21,02:30 PM,Bracket,Tennessee Soccer Club ECNL GU18/U19,1,2,Kings Hammer SC ECNL GU18/U19,Oakland High School ,Field 1,On Time,278119
2021-12-11,12:00 PM,Bracket,Ohio Elite Soccer Academy ECNL GU18/U19,3,1,FC Pride Elite ECNL GU18/U19,Seven Hills School,Lower Field,On Time,277916
2021-12-11,02:00 PM,Bracket,Racing Louisville Academy ECNL GU18/U19,1,3,Indiana Fire ECNL GU18/U19,Lynn Family Sports Vision & Training Facility,Field 3,On Time,278064
2021-12-18,03:00 PM,Bracket,FC Pride Elite ECNL GU18/U19,4,2,FC Alliance ECNL GU18/U19,Pride Performance Center (Turf),Field 1,On Time,277739
2021-12-18,03:00 PM,Bracket,Indiana Fire ECNL GU18/U19,1,1,Tennessee Soccer Club ECNL GU18/U19,Grand Park,Field 3,On Time,277784
2021-12-18,05:00 PM,Bracket,Racing Louisville Academy ECNL GU18/U19,0,1,Ohio Elite Soccer Academy ECNL GU18/U19,Lynn Family Sports Vision & Training Facility,Field 1,On Time,278065
2021-12-19,02:30 PM,Bracket,Indiana Fire ECNL GU18/U19,5,1,FC Alliance ECNL GU18/U19,Grand Park,Field 3,On Time,277785
2022-02-13,04:00 PM,Bracket,FC Alliance ECNL GU18/U19,1,2,Tennessee Soccer Club ECNL GU18/U19,Mayor Bob Leonard Park,Field 1,On Time,277695
2022-03-05,02:30 PM,Bracket,FC Alliance ECNL GU18/U19,4,0,Cleveland Force SC ECNL GU18/U19,Mayor Bob Leonard Park,Field 1,On Time,277696
2022-03-05,03:15 PM,Bracket,FC Pride Elite ECNL GU18/U19,2,0,Ohio Elite Soccer Academy ECNL GU18/U19,Pride Performance Center (Turf),Field 1,On Time,277741
2022-03-05,03:30 PM,Bracket,Tennessee Soccer Club ECNL GU18/U19,1,1,Internationals SC ECNL GU18/U19,Richard Siegel Soccer Complex,Field 1,On Time,278120
