rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Concorde Fire Platinum ECNL GU14,Concorde Fire ,46806,22,19,1,2,59,2.68,88,15,73
2,GSA ECNL GU14,Gwinnett Soccer Academy,46812,22,16,4,2,50,2.27,51,27,24
3,Alabama FC ECNL GU14,Alabama FC,46807,22,14,4,4,46,2.09,53,28,25
4,Concorde Fire Premier ECNL GU14,Concorde Fire ,46809,22,14,5,3,45,2.05,48,16,32
5,Jacksonville FC ECNL GU14,Jacksonville FC,46814,22,6,8,8,26,1.18,25,40,-15
6,Orlando City ECNL GU14,Seminole United,28033,22,7,11,4,25,1.14,24,41,-17
7,United Futbol Academy ECNL GU14,United Futbol Academy,45834,22,5,8,9,24,1.09,24,44,-20
8,Florida Elite ECNL GU14,Sporting SA,46901,22,6,11,5,23,1.05,17,27,-10
9,Tampa Bay United ECNL GU14,Tampa Bay United,36328,22,6,11,5,23,1.05,26,47,-21
10,FC Prime ECNL GU14,Athletic Club Florida,38492,22,5,13,4,19,0.86,23,40,-17
11,Atlanta Fire United ECNL GU14,Atlanta Fire United,43088,22,3,10,9,18,0.82,26,37,-11
12,Florida Krush ECNL GU14,Florida Kraze Krush,34961,22,1,16,5,8,0.36,25,68,-43
