date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-08-28,TBD,Bracket,Orlando City ECNL GU16,2,2,Alabama FC ECNL GU16,,,On Time,258483
2021-08-28,08:00 AM,Bracket,Florida Elite ECNL GU16,0,3,Concorde Fire Platinum ECNL GU16,Veterans Park,Field 1,On Time,258480
2021-08-28,08:30 AM,Bracket,Jacksonville FC ECNL GU16,0,2,GSA ECNL GU16,Patton Park,Field 1,On Time,258481
2021-08-28,12:00 PM,Bracket,Florida Krush ECNL GU16,4,1,Concorde Fire Premier ECNL GU16,Central Winds,Field A,On Time,258482
2021-08-28,02:00 PM,Bracket,Tampa Bay United ECNL GU16,2,3,United Futbol Academy ECNL GU16,Waters Sportsplex,Field 2,On Time,258484
2021-08-29,TBD,Bracket,Orlando City ECNL GU16,2,1,Concorde Fire Premier ECNL GU16,,,On Time,258489
2021-08-29,11:00 AM,Bracket,Florida Krush ECNL GU16,1,1,Alabama FC ECNL GU16,Central Winds,Field B,On Time,258488
2021-08-29,11:00 AM,Bracket,FC Prime ECNL GU16,0,1,United Futbol Academy ECNL GU16,Chapel Trail Park,CTSP 3,On Time,258491
2021-08-29,01:00 PM,Bracket,Florida Elite ECNL GU16,1,4,GSA ECNL GU16,Veterans Park,Field 1,On Time,258486
2021-08-29,01:00 PM,Bracket,Jacksonville FC ECNL GU16,0,2,Concorde Fire Platinum ECNL GU16,Patton Park,Field 6,On Time,258487
2021-09-04,09:00 AM,Bracket,United Futbol Academy ECNL GU16,2,1,Florida Elite ECNL GU16,Fowler Park,Field 7,On Time,258492
2021-09-04,11:00 AM,Bracket,Concorde Fire Platinum ECNL GU16,6,0,Florida Krush ECNL GU16,Georgia Soccer Park,Field 4,On Time,258494
2021-09-04,11:00 AM,Bracket,Alabama FC ECNL GU16,3,2,FC Prime ECNL GU16,Dunnavant Valley Fields (DVF),Field #1,On Time,258497
2021-09-04,01:00 PM,Bracket,Atlanta Fire United ECNL GU16,3,0,Jacksonville FC ECNL GU16,Pinecrest Academy,Grass,On Time,258493
2021-09-04,01:00 PM,Bracket,GSA ECNL GU16,0,1,Orlando City ECNL GU16,GSA South,Schrader,On Time,258495
2021-09-04,01:00 PM,Bracket,Concorde Fire Premier ECNL GU16,0,3,Tampa Bay United ECNL GU16,Georgia Soccer Park,Field 6,On Time,258496
2021-09-05,09:00 AM,Bracket,United Futbol Academy ECNL GU16,3,0,Jacksonville FC ECNL GU16,Fowler Park,Field 7,On Time,258499
2021-09-05,09:00 AM,Bracket,GSA ECNL GU16,3,0,Florida Krush ECNL GU16,GSA South,Schrader,On Time,258500
2021-09-05,10:30 AM,Bracket,Concorde Fire Platinum ECNL GU16,4,0,Orlando City ECNL GU16,Georgia Soccer Park,Field 4,On Time,258501
2021-09-05,11:00 AM,Bracket,Atlanta Fire United ECNL GU16,0,3,Florida Elite ECNL GU16,Pinecrest Academy,Grass,On Time,258498
2021-09-05,11:00 AM,Bracket,Alabama FC ECNL GU16,1,0,Tampa Bay United ECNL GU16,Dunnavant Valley Fields (DVF),Field # 5,On Time,258502
2021-09-05,01:00 PM,Bracket,Concorde Fire Premier ECNL GU16,0,4,FC Prime ECNL GU16,Georgia Soccer Park,Field 6,On Time,258503
2021-09-11,09:00 AM,Bracket,Florida Elite ECNL GU16,1,0,Concorde Fire Premier ECNL GU16,Veterans Park,Field 1,On Time,258504
2021-09-11,09:00 AM,Bracket,Florida Krush ECNL GU16,1,3,United Futbol Academy ECNL GU16,Central Winds,Field A,On Time,258506
2021-09-11,09:00 AM,Bracket,Orlando City ECNL GU16,2,1,Atlanta Fire United ECNL GU16,Seminole,Field 2,On Time,258507
2021-09-11,12:00 PM,Bracket,Tampa Bay United ECNL GU16,0,5,Concorde Fire Platinum ECNL GU16,Waters Sportsplex,Field 2,On Time,258508
2021-09-11,01:00 PM,Bracket,FC Prime ECNL GU16,2,2,GSA ECNL GU16,Chapel Trail Park,CTSP 3,On Time,258509
2021-09-11,02:30 PM,Bracket,Jacksonville FC ECNL GU16,1,0,Alabama FC ECNL GU16,Patton Park,Field 1,On Time,258505
2021-09-12,08:00 AM,Bracket,Florida Elite ECNL GU16,0,1,Alabama FC ECNL GU16,Veterans Park,Field 3,On Time,258510
2021-09-12,09:00 AM,Bracket,Florida Krush ECNL GU16,1,2,Atlanta Fire United ECNL GU16,Central Winds,Field B,On Time,258512
2021-09-12,11:00 AM,Bracket,Jacksonville FC ECNL GU16,0,1,Concorde Fire Premier ECNL GU16,Patton Park,Field 1,On Time,258511
2021-09-12,11:00 AM,Bracket,Orlando City ECNL GU16,2,0,United Futbol Academy ECNL GU16,Seminole,Field 1,On Time,258513
2021-09-12,11:00 AM,Bracket,Tampa Bay United ECNL GU16,3,2,GSA ECNL GU16,Waters Sportsplex,Field 1,On Time,258514
2021-09-12,01:00 PM,Bracket,FC Prime ECNL GU16,0,5,Concorde Fire Platinum ECNL GU16,Chapel Trail Park,CTSP 3,On Time,258515
2021-09-18,09:00 AM,Bracket,Alabama FC ECNL GU16,2,2,Florida Krush ECNL GU16,Dunnavant Valley Fields (DVF),Field # 2,On Time,258518
2021-09-18,09:00 AM,Bracket,Atlanta Fire United ECNL GU16,0,5,Tampa Bay United ECNL GU16,Pinecrest Academy,Grass,On Time,258520
2021-09-18,09:00 AM,Bracket,United Futbol Academy ECNL GU16,5,0,FC Prime ECNL GU16,Fowler Park,Field 7,On Time,258521
2021-09-18,11:00 AM,Bracket,Concorde Fire Premier ECNL GU16,0,0,Orlando City ECNL GU16,Georgia Soccer Park,Field 2,On Time,258519
2021-09-19,09:00 AM,Bracket,Concorde Fire Premier ECNL GU16,2,1,Florida Krush ECNL GU16,Georgia Soccer Park,Field 5,On Time,258524
2021-09-19,09:00 AM,Bracket,Alabama FC ECNL GU16,1,3,Orlando City ECNL GU16,Dunnavant Valley Fields (DVF),Field # 2,On Time,258525
2021-09-19,09:00 AM,Bracket,United Futbol Academy ECNL GU16,0,1,Tampa Bay United ECNL GU16,Fowler Park,Field 7,On Time,258526
2021-09-19,11:00 AM,Bracket,Atlanta Fire United ECNL GU16,0,3,FC Prime ECNL GU16,Pinecrest Academy,Grass,On Time,258527
2021-09-25,09:00 AM,Bracket,Florida Krush ECNL GU16,1,6,GSA ECNL GU16,Central Winds,Field C,On Time,258530
2021-09-25,10:30 AM,Bracket,Jacksonville FC ECNL GU16,0,3,United Futbol Academy ECNL GU16,Patton Park,Field 1,On Time,258529
2021-09-25,01:00 PM,Bracket,Tampa Bay United ECNL GU16,1,2,Alabama FC ECNL GU16,Waters Sportsplex,Field 3,On Time,258532
2021-09-25,01:00 PM,Bracket,FC Prime ECNL GU16,1,0,Concorde Fire Premier ECNL GU16,Chapel Trail Park,CTSP 3,On Time,258533
2021-09-25,02:00 PM,Bracket,Orlando City ECNL GU16,1,2,Concorde Fire Platinum ECNL GU16,Seminole,Field 1,On Time,258531
2021-09-26,09:00 AM,Bracket,Florida Elite ECNL GU16,1,3,United Futbol Academy ECNL GU16,Veterans Park,Field 1,On Time,258534
2021-09-26,09:00 AM,Bracket,Orlando City ECNL GU16,0,3,GSA ECNL GU16,Seminole,Field 2,On Time,258537
2021-09-26,11:00 AM,Bracket,Florida Krush ECNL GU16,0,2,Concorde Fire Platinum ECNL GU16,Central Winds,Field B,On Time,258536
2021-09-26,01:00 PM,Bracket,Tampa Bay United ECNL GU16,4,0,Concorde Fire Premier ECNL GU16,Waters Sportsplex,Field 3,On Time,258538
2021-09-26,01:00 PM,Bracket,FC Prime ECNL GU16,1,0,Alabama FC ECNL GU16,Chapel Trail Park,CTSP 3,On Time,258539
2021-10-02,10:00 AM,Bracket,Alabama FC ECNL GU16,1,0,Florida Elite ECNL GU16,Dunnavant Valley Fields (DVF),Field # 4,On Time,258540
2021-10-02,10:00 AM,Bracket,Concorde Fire Premier ECNL GU16,2,1,Jacksonville FC ECNL GU16,Georgia Soccer Park,Field 4,On Time,258541
2021-10-02,11:00 AM,Bracket,United Futbol Academy ECNL GU16,2,1,Orlando City ECNL GU16,Fowler Park,Field 7,On Time,258543
2021-10-02,11:00 AM,Bracket,GSA ECNL GU16,3,0,Tampa Bay United ECNL GU16,GSA South,Spencer,On Time,258544
2021-10-02,01:00 PM,Bracket,Atlanta Fire United ECNL GU16,0,2,Florida Krush ECNL GU16,Pinecrest Academy,Grass,On Time,258542
2021-10-02,01:00 PM,Bracket,Concorde Fire Platinum ECNL GU16,3,0,FC Prime ECNL GU16,Georgia Soccer Park,Field 2,On Time,258545
2021-10-03,09:00 AM,Bracket,Concorde Fire Premier ECNL GU16,3,2,Florida Elite ECNL GU16,Georgia Soccer Park,Field 1,On Time,258546
2021-10-03,09:00 AM,Bracket,United Futbol Academy ECNL GU16,0,1,Florida Krush ECNL GU16,Fowler Park,Field 7,On Time,258548
2021-10-03,11:00 AM,Bracket,Alabama FC ECNL GU16,2,1,Jacksonville FC ECNL GU16,Dunnavant Valley Fields (DVF),Field #1,On Time,258547
2021-10-03,11:00 AM,Bracket,Concorde Fire Platinum ECNL GU16,4,2,Tampa Bay United ECNL GU16,Georgia Soccer Park,Field 5,On Time,258550
