date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-08-28,TBD,Bracket,Orlando City ECNL GU18/U19,0,1,Alabama FC ECNL GU18/19,,,On Time,259449
2021-08-28,12:00 PM,Bracket,Tampa Bay United ECNL GU18/U19,0,6,United Futbol Academy ECNL GU18/U19,Waters Sportsplex,Field 2,On Time,259450
2021-08-28,01:00 PM,Bracket,FC Prime ECNL GU18/19,2,2,Atlanta Fire United ECNL GU18/U19,Chapel Trail Park,CTSP 4,On Time,259451
2021-08-28,02:00 PM,Bracket,Florida Elite ECNL GU18/19,1,3,Concorde Fire Platinum ECNL GU18/U19,Veterans Park,Field 2,On Time,259446
2021-08-28,02:00 PM,Bracket,Florida Krush ECNL GU18/19,2,1,Concorde Fire Premier ECNL GU18/19,Central Winds,Field A,On Time,259448
2021-08-28,04:30 PM,Bracket,Jacksonville FC ECNL GU18/19,1,5,GSA ECNL GU18/U19,Patton Park,Field 6,On Time,259447
2021-08-29,TBD,Bracket,Orlando City ECNL GU18/U19,1,0,Concorde Fire Premier ECNL GU18/19,,,On Time,259455
2021-08-29,11:00 AM,Bracket,Tampa Bay United ECNL GU18/U19,2,0,Atlanta Fire United ECNL GU18/U19,Waters Sportsplex,Field 2,On Time,259456
2021-08-29,01:00 PM,Bracket,Florida Elite ECNL GU18/19,0,10,GSA ECNL GU18/U19,Veterans Park,Field 2,On Time,259452
2021-08-29,01:00 PM,Bracket,Jacksonville FC ECNL GU18/19,1,11,Concorde Fire Platinum ECNL GU18/U19,Patton Park,Field 1,On Time,259453
2021-08-29,01:00 PM,Bracket,Florida Krush ECNL GU18/19,2,3,Alabama FC ECNL GU18/19,Central Winds,Field B,On Time,259454
2021-08-29,01:00 PM,Bracket,FC Prime ECNL GU18/19,5,4,United Futbol Academy ECNL GU18/U19,Chapel Trail Park,CTSP 4,On Time,259457
2021-09-04,11:00 AM,Bracket,Concorde Fire Premier ECNL GU18/19,2,1,Tampa Bay United ECNL GU18/U19,Georgia Soccer Park,Field 5,On Time,259462
2021-09-04,01:00 PM,Bracket,Concorde Fire Platinum ECNL GU18/U19,8,0,Florida Krush ECNL GU18/19,Georgia Soccer Park,Field 4,On Time,259460
