rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Concorde Fire Platinum ECNL GU18/U19,Concorde Fire ,19903,22,20,2,0,60,2.73,135,19,116
2,United Futbol Academy ECNL GU18/U19,United Futbol Academy,45838,22,19,1,2,59,2.68,97,28,69
3,GSA ECNL GU18/U19,Gwinnett Soccer Academy,8843,22,15,4,3,48,2.18,62,26,36
4,Orlando City ECNL GU18/U19,Seminole United,11610,22,11,8,3,36,1.64,41,36,5
5,FC Prime ECNL GU18/19,Athletic Club Florida,20329,22,8,8,6,30,1.36,47,46,1
6,Alabama FC ECNL GU18/19,Alabama FC,11338,19,8,10,1,25,1.32,40,44,-4
7,Tampa Bay United ECNL GU18/U19,Tampa Bay United,7068,22,8,10,4,28,1.27,38,51,-13
8,Concorde Fire Premier ECNL GU18/19,Concorde Fire ,10013,19,8,11,0,24,1.26,35,45,-10
9,Atlanta Fire United ECNL GU18/U19,Atlanta Fire United,8667,22,7,11,4,25,1.14,42,47,-5
10,Florida Elite ECNL GU18/19,Sporting SA,10877,20,4,14,2,14,0.7,15,76,-61
11,Florida Krush ECNL GU18/19,Florida Kraze Krush,10883,22,3,17,2,11,0.5,14,60,-46
12,Jacksonville FC ECNL GU18/19,No Club Selection,11611,20,2,17,1,7,0.35,13,101,-88
