date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-09-11,11:00 AM,Bracket,Legends FC ECNL GU14,2,0,LAFC So Cal ECNL GU14,Silverlakes Complex,Field 7,On Time,275223
2021-09-11,12:30 PM,Bracket,Heat FC ECNL GU14,0,2,LA Breakers FC ECNL GU14,Heritage Park Sports Complex,Field 5,On Time,275011
2021-09-11,01:00 PM,Bracket,Sporting California Arsenal FC ECNL GU14,2,0,Eagles SC ECNL GU14,Silverlakes ,Field 10,On Time,275716
2021-09-12,08:30 AM,Bracket,Heat FC ECNL GU14,0,0,Utah Royals FC-AZ ECNL GU14,Heritage Park Sports Complex,Field 6,On Time,275012
2021-09-12,11:00 AM,Bracket,Legends FC ECNL GU14,5,5,Eagles SC ECNL GU14,Silverlakes Complex,Field 7,On Time,275224
2021-09-12,01:00 PM,Bracket,Sporting California Arsenal FC ECNL GU14,3,0,LAFC So Cal ECNL GU14,Silverlakes ,Field 10,On Time,275717
2021-09-12,04:00 PM,Bracket,SLAMMERS FC ECNL GU14,0,1,Beach FC ECNL GU14,Orange County Great Park,Field 15,On Time,275502
2021-09-18,08:00 AM,Bracket,Utah Royals FC-AZ ECNL GU14,0,7,Legends FC ECNL GU14,Scottsdale Sports Complex,Field 2,On Time,275867
2021-09-18,09:00 AM,Bracket,Beach FC ECNL GU14,3,3,San Diego Surf ECNL GU14,El Camino College,Athletic Field,On Time,274767
2021-09-18,10:00 AM,Bracket,AZ Arsenal ECNL GU14,0,3,Sporting California Arsenal FC ECNL GU14,Santos Soccer Complex,Field 2,On Time,275718
2021-09-18,11:00 AM,Bracket,Eagles SC ECNL GU14,4,0,Strikers FC ECNL GU14,Pleasant Valley Fields,Field 19,On Time,274939
2021-09-18,11:30 AM,Bracket,LA Breakers FC ECNL GU14,0,1,Rebels SC ECNL GU14,St. Bernards High School,Field 1,On Time,275083
2021-09-18,12:00 PM,Bracket,Phoenix Rising ECNL GU14,1,0,SLAMMERS FC ECNL GU14,Copper Sky Regional Park,Field 1,On Time,275503
2021-09-18,12:45 PM,Bracket,LAFC So Cal ECNL GU14,1,7,Slammers FC HB Koge ECNL GU14,Oak Park High School,Stadium,On Time,275154
2021-09-19,09:00 AM,Bracket,Beach FC ECNL GU14,5,0,Del Mar Sharks ECNL GU14,El Camino College,Athletic Field,On Time,274768
2021-09-19,09:45 AM,Bracket,LA Breakers FC ECNL GU14,0,4,So Cal Blues ECNL GU14,St. Bernards High School,Field 1,On Time,275084
2021-09-19,12:00 PM,Bracket,Utah Royals FC-AZ ECNL GU14,1,3,Sporting California Arsenal FC ECNL GU14,Scottsdale Sports Complex,Field 2,On Time,275868
2021-09-19,12:45 PM,Bracket,LAFC So Cal ECNL GU14,2,0,Strikers FC ECNL GU14,Oak Park High School,Stadium,On Time,275155
2021-09-19,01:00 PM,Bracket,Eagles SC ECNL GU14,0,5,Slammers FC HB Koge ECNL GU14,Pleasant Valley Fields,Field 19,On Time,274940
2021-09-25,12:30 PM,Bracket,Heat FC ECNL GU14,0,5,LAFC So Cal ECNL GU14,Heritage Park Sports Complex,Field 5,On Time,275013
2021-09-26,08:30 AM,Bracket,Heat FC ECNL GU14,0,5,Eagles SC ECNL GU14,Heritage Park Sports Complex,Field 6,On Time,275014
2021-10-02,11:00 AM,Bracket,Legends FC ECNL GU14,2,1,Beach FC ECNL GU14,Silverlakes Complex,Field 7,On Time,275225
2021-10-02,01:00 PM,Bracket,Sporting California Arsenal FC ECNL GU14,5,0,LA Breakers FC ECNL GU14,San Bernardino Valley College,Turf,On Time,275719
2021-10-02,05:15 PM,Bracket,Eagles SC ECNL GU14,0,0,SLAMMERS FC ECNL GU14,Pleasant Valley Fields,Field 14,On Time,274941
