date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-09-11,10:00 AM,Bracket,AZ Arsenal ECNL GU14,4,1,Del Mar Sharks ECNL GU14,Santos Soccer Complex,Field 2,On Time,274733
2021-09-11,10:00 AM,Bracket,Phoenix Rising ECNL GU14,0,6,So Cal Blues ECNL GU14,Scottsdale Sports Complex,Field 5,On Time,275303
2021-09-11,11:30 AM,Bracket,Rebels SC ECNL GU14,3,1,Strikers FC ECNL GU14,Mount Miguel High School,Field 1,On Time,275365
2021-09-12,10:00 AM,Bracket,AZ Arsenal ECNL GU14,1,3,So Cal Blues ECNL GU14,Desert Sky Park,Field 2,On Time,274734
2021-09-12,11:30 AM,Bracket,Rebels SC ECNL GU14,0,6,Slammers FC HB Koge ECNL GU14,Madison High School,Field 1,On Time,275366
2021-09-12,12:00 PM,Bracket,Phoenix Rising ECNL GU14,0,0,Del Mar Sharks ECNL GU14,Scottsdale Sports Complex,Field 6,On Time,275304
2021-09-12,01:00 PM,Bracket,San Diego Surf ECNL GU14,6,0,Strikers FC ECNL GU14,Surf Sports Park,Field 12,On Time,275437
2021-09-19,10:00 AM,Bracket,AZ Arsenal ECNL GU14,2,4,SLAMMERS FC ECNL GU14,Desert Sky Park,Field 3,On Time,274735
2021-09-19,01:00 PM,Bracket,Phoenix Rising ECNL GU14,0,6,Legends FC ECNL GU14,Copper Sky Regional Park,Field 1,On Time,275305
2021-09-25,11:00 AM,Bracket,Rebels SC ECNL GU14,0,1,SLAMMERS FC ECNL GU14,Southwestern College,Stadium,On Time,275367
2021-09-25,01:00 PM,Bracket,San Diego Surf ECNL GU14,6,1,LA Breakers FC ECNL GU14,Surf Sports Park,Field 12,On Time,275438
2021-09-25,01:15 PM,Bracket,Del Mar Sharks ECNL GU14,1,9,Slammers FC HB Koge ECNL GU14,San Dieguito Academy,Field 1,On Time,274779
2021-09-25,04:30 PM,Bracket,So Cal Blues ECNL GU14,1,0,Beach FC ECNL GU14,OC Great Park,Field 7,On Time,275631
2021-10-02,08:30 AM,Bracket,Slammers FC HB Koge ECNL GU14,6,2,AZ Arsenal ECNL GU14,Tustin HS Annex,Field 1,On Time,275567
2021-10-02,10:00 AM,Bracket,Strikers FC ECNL GU14,1,3,Phoenix Rising ECNL GU14,Orange County Great Park,Field 17,On Time,275802
2021-10-03,10:15 AM,Bracket,Slammers FC HB Koge ECNL GU14,6,0,Phoenix Rising ECNL GU14,Tustin HS Annex,Field 1,On Time,275568
2021-10-03,10:30 AM,Bracket,Strikers FC ECNL GU14,1,3,AZ Arsenal ECNL GU14,Valencia High School,Bradford Stadium,On Time,275803
2021-10-03,01:15 PM,Bracket,Del Mar Sharks ECNL GU14,1,1,Rebels SC ECNL GU14,San Dieguito Academy,Field 1,On Time,274781
2021-10-03,02:00 PM,Bracket,So Cal Blues ECNL GU14,2,1,San Diego Surf ECNL GU14,Tesoro High School,Stadium,On Time,275633
2021-10-23,08:00 AM,Bracket,AZ Arsenal ECNL GU14,1,3,Rebels SC ECNL GU14,Santos Soccer Complex,Field 2,On Time,274736
2021-10-23,10:15 AM,Bracket,Strikers FC ECNL GU14,0,7,So Cal Blues ECNL GU14,Orange County Great Park,Field 17,On Time,275804
2021-10-23,12:00 PM,Bracket,Phoenix Rising ECNL GU14,0,1,San Diego Surf ECNL GU14,PRFC Youth Soccer Facility,Field 1,On Time,275306
2021-10-24,08:00 AM,Bracket,AZ Arsenal ECNL GU14,2,8,San Diego Surf ECNL GU14,Desert Sky Park,Field 3,On Time,274737
2021-10-24,10:00 AM,Bracket,Phoenix Rising ECNL GU14,1,1,Rebels SC ECNL GU14,PRFC Youth Soccer Facility,Field 1,On Time,275307
2021-10-24,06:00 PM,Bracket,Strikers FC ECNL GU14,2,1,Del Mar Sharks ECNL GU14,Orange County Great Park,Field 17,On Time,275805
2021-10-30,11:00 AM,Bracket,Rebels SC ECNL GU14,0,5,Eagles SC ECNL GU14,Mount Miguel High School,Field 1,On Time,275368
2021-10-30,11:30 AM,Bracket,Slammers FC HB Koge ECNL GU14,13,0,Strikers FC ECNL GU14,Orange County Great Park,Field 13,On Time,275569
2021-10-30,01:00 PM,Bracket,San Diego Surf ECNL GU14,5,2,LAFC So Cal ECNL GU14,Surf Sports Park,Field 12,On Time,275439
2021-10-30,01:15 PM,Bracket,Del Mar Sharks ECNL GU14,0,4,So Cal Blues ECNL GU14,San Dieguito Academy,Field 1,On Time,274782
2021-10-31,09:00 AM,Bracket,Rebels SC ECNL GU14,2,3,LAFC So Cal ECNL GU14,Southwestern College,Upper Grass,On Time,275369
2021-10-31,10:15 AM,Bracket,Slammers FC HB Koge ECNL GU14,2,0,Utah Royals FC-AZ ECNL GU14,Orange County Great Park,Field 15,On Time,275570
2021-11-06,09:00 AM,Bracket,So Cal Blues ECNL GU14,4,0,Legends FC ECNL GU14,OC Great Park,Field 11,On Time,275634
