date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-09-11,10:30 AM,Bracket,Heat FC ECNL GU18/U19,3,0,LA Breakers FC ECNL GU18/U19,Heritage Park Sports Complex,Field 5,On Time,275059
2021-09-11,03:00 PM,Bracket,Legends FC ECNL GU18/U19,3,0,LAFC So Cal ECNL GU18/U19,Silverlakes Complex,Field 8,On Time,275279
2021-09-11,03:00 PM,Bracket,Sporting California Arsenal FC ECNL GU18/U19,1,1,Eagles SC ECNL GU17/U18,Silverlakes ,Field 11,On Time,275776
2021-09-12,10:30 AM,Bracket,Heat FC ECNL GU18/U19,0,2,Utah Royals FC-AZ ECNL GU18/U19,Heritage Park Sports Complex,Field 5,On Time,275060
2021-09-12,11:00 AM,Bracket,Sporting California Arsenal FC ECNL GU18/U19,3,1,LAFC So Cal ECNL GU18/U19,Silverlakes ,Field 11,On Time,275777
2021-09-12,03:00 PM,Bracket,Legends FC ECNL GU18/U19,4,2,Eagles SC ECNL GU17/U18,Silverlakes Complex,Field 8,On Time,275280
2021-09-18,09:00 AM,Bracket,Eagles SC ECNL GU17/U18,0,3,Strikers FC ECNL GU18/U19,Pleasant Valley Fields,Field 14,On Time,274987
2021-09-18,10:00 AM,Bracket,Phoenix Rising ECNL GU18/U19,2,3,SLAMMERS FC ECNL GU18/U19,Copper Sky Regional Park,Field 1,On Time,297264
2021-09-18,11:00 AM,Bracket,Beach FC ECNL GU18/U19,4,0,San Diego Surf ECNL GU18/U19,El Camino College,Stadium,On Time,274891
2021-09-18,12:00 PM,Bracket,AZ Arsenal ECNL GU18/U19,2,3,Sporting California Arsenal FC ECNL GU18/U19,Santos Soccer Complex,Field 2,On Time,275778
2021-09-18,12:00 PM,Bracket,Utah Royals FC-AZ ECNL GU18/U19,2,4,Legends FC ECNL GU18/U19,Scottsdale Sports Complex,Field 1,On Time,275907
2021-09-18,03:00 PM,Bracket,LA Breakers FC ECNL GU18/U19,1,3,Rebels SC ECNL GU18/U19,St. Bernards High School,Field 1,On Time,275131
2021-09-18,06:00 PM,Bracket,LAFC So Cal ECNL GU18/U19,1,2,Slammers FC HB Koge ECNL GU18/U19,Oak Park High School,Stadium,On Time,275198
2021-09-19,11:00 AM,Bracket,Beach FC ECNL GU18/U19,9,0,Del Mar Sharks ECNL GU18/U19,El Camino College,Stadium,On Time,274892
2021-09-19,12:00 PM,Bracket,Utah Royals FC-AZ ECNL GU18/U19,4,0,Sporting California Arsenal FC ECNL GU18/U19,Scottsdale Sports Complex,Field 1,On Time,275908
2021-09-19,01:00 PM,Bracket,Eagles SC ECNL GU17/U18,2,3,Slammers FC HB Koge ECNL GU18/U19,Pleasant Valley Fields,Field 14,On Time,274988
2021-09-19,05:00 PM,Bracket,LA Breakers FC ECNL GU18/U19,0,3,So Cal Blues ECNL GU18/U19,St. Bernards High School,Field 1,On Time,275132
2021-09-19,06:00 PM,Bracket,LAFC So Cal ECNL GU18/U19,3,3,Strikers FC ECNL GU18/U19,Oak Park High School,Stadium,On Time,275199
2021-09-25,10:30 AM,Bracket,Heat FC ECNL GU18/U19,2,1,LAFC So Cal ECNL GU18/U19,Heritage Park Sports Complex,Field 5,On Time,275061
2021-09-26,08:30 AM,Bracket,Heat FC ECNL GU18/U19,2,0,Eagles SC ECNL GU17/U18,Heritage Park Sports Complex,Field 5,On Time,275062
2021-10-02,08:00 AM,Bracket,Eagles SC ECNL GU17/U18,1,0,SLAMMERS FC ECNL GU18/U19,Pleasant Valley Fields,Field 14,On Time,274989
2021-10-02,08:00 AM,Bracket,LAFC So Cal ECNL GU18/U19,3,1,Utah Royals FC-AZ ECNL GU18/U19,Oak Park High School,Stadium,On Time,275200
2021-10-02,03:00 PM,Bracket,Legends FC ECNL GU18/U19,2,2,Beach FC ECNL GU18/U19,Silverlakes Complex,Field 8,On Time,275281
2021-10-02,04:30 PM,Bracket,Sporting California Arsenal FC ECNL GU18/U19,3,4,LA Breakers FC ECNL GU18/U19,San Bernardino Valley College,Turf,On Time,275779
2021-10-03,08:00 AM,Bracket,LAFC So Cal ECNL GU18/U19,1,3,SLAMMERS FC ECNL GU18/U19,Oak Park High School,Stadium,On Time,275201
2021-10-03,09:00 AM,Bracket,Eagles SC ECNL GU17/U18,0,5,Utah Royals FC-AZ ECNL GU18/U19,Pleasant Valley Fields,Field 19,On Time,274990
2021-10-03,03:00 PM,Bracket,Legends FC ECNL GU18/U19,1,0,LA Breakers FC ECNL GU18/U19,Silverlakes Complex,Field 8,On Time,275282
2021-10-03,11:00 PM,Bracket,Sporting California Arsenal FC ECNL GU18/U19,0,7,Beach FC ECNL GU18/U19,Mira Costa High School,Field 1,On Time,275780
2021-10-15,07:00 PM,Bracket,Utah Royals FC-AZ ECNL GU18/U19,1,0,So Cal Blues ECNL GU18/U19,RSL-AZ Training Center,Field 1,On Time,275909
2021-10-16,09:00 AM,Bracket,Legends FC ECNL GU18/U19,3,2,SLAMMERS FC ECNL GU18/U19,Silverlakes Complex,Field 8,On Time,275283
2021-10-16,09:00 AM,Bracket,Sporting California Arsenal FC ECNL GU18/U19,1,3,Heat FC ECNL GU18/U19,San Bernardino Valley College,Turf,On Time,275781
2021-10-17,01:00 PM,Bracket,Legends FC ECNL GU18/U19,3,0,Heat FC ECNL GU18/U19,Silverlakes Complex,Field 8,On Time,275284
