date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-09-11,08:00 AM,Bracket,AZ Arsenal ECNL GU18/U19,6,0,Del Mar Sharks ECNL GU18/U19,Santos Soccer Complex,Field 2,On Time,274881
2021-09-11,10:00 AM,Bracket,Phoenix Rising ECNL GU18/U19,1,3,So Cal Blues ECNL GU18/U19,Scottsdale Sports Complex,Field 6,On Time,275343
2021-09-11,03:00 PM,Bracket,Rebels SC ECNL GU18/U19,3,0,Strikers FC ECNL GU18/U19,Mount Miguel High School,Field 1,On Time,275413
2021-09-12,08:00 AM,Bracket,AZ Arsenal ECNL GU18/U19,0,3,So Cal Blues ECNL GU18/U19,Desert Sky Park,Field 2,On Time,274882
2021-09-12,09:00 AM,Bracket,San Diego Surf ECNL GU18/U19,2,1,Strikers FC ECNL GU18/U19,Surf Sports Park,Field 12,On Time,275481
2021-09-12,10:00 AM,Bracket,Phoenix Rising ECNL GU18/U19,5,0,Del Mar Sharks ECNL GU18/U19,Scottsdale Sports Complex,Field 6,On Time,275344
2021-09-12,03:00 PM,Bracket,Rebels SC ECNL GU18/U19,1,2,Slammers FC HB Koge ECNL GU18/U19,Madison High School,Field 1,On Time,275414
2021-09-19,08:00 AM,Bracket,AZ Arsenal ECNL GU18/U19,0,3,SLAMMERS FC ECNL GU18/U19,Desert Sky Park,Field 3,On Time,274883
2021-09-19,11:00 AM,Bracket,Phoenix Rising ECNL GU18/U19,4,5,Legends FC ECNL GU18/U19,Copper Sky Regional Park,Field 1,On Time,275345
2021-09-25,09:00 AM,Bracket,San Diego Surf ECNL GU18/U19,3,0,LA Breakers FC ECNL GU18/U19,Surf Sports Park,Field 12,On Time,275482
2021-09-25,11:00 AM,Bracket,So Cal Blues ECNL GU18/U19,4,4,Beach FC ECNL GU18/U19,OC Great Park,Field 7,On Time,275687
2021-09-25,04:45 PM,Bracket,Del Mar Sharks ECNL GU18/U19,0,5,Slammers FC HB Koge ECNL GU18/U19,San Dieguito Academy,Field 1,On Time,274903
