date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-09-04,11:00 AM,Bracket,Dallas Texans ECNL GU17,0,1,AHFC ECNL GU17,Ross Stewart Soccer Complex,Field 2,On Time,269552
2021-09-04,01:00 PM,Bracket,OK Energy FC ECNL GU17,1,1,Classics Elite ECNL GU17,Edmond Soccer Club,ESC 4,On Time,269550
2021-09-04,01:00 PM,Bracket,Tulsa SC ECNL GU17,0,1,Sting Austin ECNL GU17,Mohawk,Field 3,On Time,269551
2021-09-04,01:00 PM,Bracket,Solar SC ECNL GU17,4,1,Challenge SC ECNL GU17,Fairview Soccer Park ,Field 1,On Time,269553
2021-09-04,01:00 PM,Bracket,Sting Dallas Black ECNL GU17,0,1,FC Dallas ECNL GU17,Sting Complex,Field 1,On Time,269613
2021-09-04,01:00 PM,Bracket,DKSC ECNL GU17,2,1,Sting Dallas Royal ECNL GU17,Cox Soccer Complex,Field 2,On Time,269614
2021-09-05,11:00 AM,Bracket,Tulsa SC ECNL GU17,2,2,Classics Elite ECNL GU17,Mohawk,Field 1,On Time,269557
2021-09-05,01:00 PM,Bracket,OK Energy FC ECNL GU17,0,2,Sting Austin ECNL GU17,Edmond Soccer Club,ESC 5,On Time,269556
2021-09-05,01:00 PM,Bracket,Solar SC ECNL GU17,2,2,AHFC ECNL GU17,Fairview Soccer Park ,Field 2,On Time,269558
2021-09-05,01:00 PM,Bracket,Dallas Texans ECNL GU17,3,2,Challenge SC ECNL GU17,Ross Stewart Soccer Complex,Field 2,On Time,269559
2021-09-05,01:00 PM,Bracket,Sting Dallas Black ECNL GU17,2,3,Sting Dallas Royal ECNL GU17,Sting Complex,Field 1,On Time,269619
2021-09-05,01:00 PM,Bracket,DKSC ECNL GU17,0,0,FC Dallas ECNL GU17,Cox Soccer Complex,Field 2,On Time,269620
2021-09-11,09:00 AM,Group Play,Sting Austin ECNL GU17,0,3,Classics Elite ECNL GU17,1849 Park,Field 2A,On Time,297438
