rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Solar SC ECNL GU17,Solar SC,11427,22,14,1,7,49,2.23,62,26,36
2,FC Dallas ECNL GU17,FC Dallas Youth,46785,22,13,3,6,45,2.05,38,11,27
3,DKSC ECNL GU17,No Club Selection,11872,22,13,4,5,44,2.0,49,21,28
4,OK Energy FC ECNL GU17,Oklahoma Energy FC,59506,22,11,5,6,39,1.77,30,24,6
5,Classics Elite ECNL GU17,Classics Elite Soccer Academy,12269,22,10,6,6,36,1.64,42,24,18
6,AHFC ECNL GU17,Albion Hurricanes FC,12271,22,9,4,9,36,1.64,38,22,16
7,Sting Austin ECNL GU17,Sting Austin,11067,22,8,8,6,30,1.36,20,17,3
8,Challenge SC ECNL GU17,Challenge SC,12270,22,7,10,5,26,1.18,21,32,-11
9,Dallas Texans ECNL GU17,Dallas Texans,11592,22,4,13,5,17,0.77,20,46,-26
10,Tulsa SC ECNL GU17,Tulsa Soccer Club,11818,22,2,12,8,14,0.64,16,49,-33
11,Sting Dallas Royal ECNL GU17,Sting Soccer Club,46722,22,2,13,7,13,0.59,14,48,-34
12,Sting Dallas Black ECNL GU17,Sting Soccer Club,11890,22,1,15,6,9,0.41,15,45,-30
