date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2021-09-04,01:00 PM,Bracket,Dallas Texans ECNL GU18/U19,3,1,AHFC ECNL GU18/U19,Ross Stewart Soccer Complex,Field 3,On Time,269425
2021-09-04,01:00 PM,Bracket,Sting Dallas Black ECNL GU18/U19,2,1,FC Dallas ECNL GU18/U19,Sting Complex,Field 2,On Time,269486
2021-09-04,01:00 PM,Bracket,DKSC ECNL GU18/U19,9,0,Sting Dallas Royal ECNL GU18/U19,Cox Soccer Complex,Field 1,On Time,269487
2021-09-04,03:00 PM,Bracket,OK Energy FC ECNL GU18/U19,1,0,Classics Elite ECNL GU18/19 ,Edmond Soccer Club,ESC 4,On Time,269423
2021-09-04,03:00 PM,Bracket,Tulsa SC ECNL GU18/U19,2,3,Sting Austin ECNL GU18/U19,Mohawk,Field 4,On Time,269424
2021-09-04,03:00 PM,Bracket,Solar SC ECNL GU18/U19,4,0,Challenge SC ECNL GU18/U19,Fairview Soccer Park ,Field 1,On Time,269426
2021-09-05,11:00 AM,Bracket,Solar SC ECNL GU18/U19,5,0,AHFC ECNL GU18/U19,Fairview Soccer Park ,Field 2,On Time,269431
2021-09-05,01:00 PM,Bracket,OK Energy FC ECNL GU18/U19,1,1,Sting Austin ECNL GU18/U19,Edmond Soccer Club,ESC 4,On Time,269429
2021-09-05,01:00 PM,Bracket,Tulsa SC ECNL GU18/U19,2,0,Classics Elite ECNL GU18/19 ,Mohawk,Field 1,On Time,269430
2021-09-05,01:00 PM,Bracket,Dallas Texans ECNL GU18/U19,2,1,Challenge SC ECNL GU18/U19,Ross Stewart Soccer Complex,Field 3,On Time,269432
2021-09-05,01:00 PM,Bracket,Sting Dallas Black ECNL GU18/U19,2,0,Sting Dallas Royal ECNL GU18/U19,Sting Complex,Field 2,On Time,269492
2021-09-05,01:00 PM,Bracket,DKSC ECNL GU18/U19,1,0,FC Dallas ECNL GU18/U19,Cox Soccer Complex,Field 1,On Time,269493
2021-09-11,03:00 PM,Group Play,Sting Austin ECNL GU18/U19,3,0,Classics Elite ECNL GU18/19 ,1849 Park,Field 2B,On Time,297439
2021-09-12,02:00 PM,Bracket,Dallas Texans ECNL GU18/U19,0,3,Solar SC ECNL GU18/U19,Ross Stewart Soccer Complex,Field 2,On Time,269435
2021-09-18,11:00 AM,Bracket,Tulsa SC ECNL GU18/U19,2,0,Challenge SC ECNL GU18/U19,Mohawk,Field 7,On Time,269437
2021-09-18,01:00 PM,Bracket,OK Energy FC ECNL GU18/U19,1,2,AHFC ECNL GU18/U19,Edmond Soccer Club,ESC 5,On Time,269436
2021-09-18,01:00 PM,Bracket,DKSC ECNL GU18/U19,4,0,Dallas Texans ECNL GU18/U19,Cox Soccer Complex,Field 1,On Time,269440
2021-09-18,01:00 PM,Bracket,Sting Dallas Black ECNL GU18/U19,1,4,Solar SC ECNL GU18/U19,Sting Complex,Field 2,On Time,269441
2021-09-18,03:00 PM,Bracket,Classics Elite ECNL GU18/19 ,0,3,FC Dallas ECNL GU18/U19,CE Soccer Complex,Field 4,On Time,269438
2021-09-18,03:00 PM,Bracket,Sting Austin ECNL GU18/U19,2,2,Sting Dallas Royal ECNL GU18/U19,1849 Park,Field 2B,On Time,269439
2021-09-19,11:00 AM,Bracket,OK Energy FC ECNL GU18/U19,0,1,Challenge SC ECNL GU18/U19,Edmond Soccer Club,ESC 4,On Time,269442
2021-09-19,11:00 AM,Bracket,Tulsa SC ECNL GU18/U19,1,1,AHFC ECNL GU18/U19,Mohawk,Field 7,On Time,269443
2021-09-19,01:00 PM,Bracket,Sting Dallas Black ECNL GU18/U19,0,2,Dallas Texans ECNL GU18/U19,Sting Complex,Field 2,On Time,269446
2021-09-19,01:00 PM,Bracket,DKSC ECNL GU18/U19,0,3,Solar SC ECNL GU18/U19,Cox Soccer Complex,Field 1,On Time,269447
2021-09-19,03:00 PM,Bracket,Classics Elite ECNL GU18/19 ,1,2,Sting Dallas Royal ECNL GU18/U19,CE Soccer Complex,Field 4,On Time,269444
2021-09-19,03:00 PM,Bracket,Sting Austin ECNL GU18/U19,3,2,FC Dallas ECNL GU18/U19,1849 Park,Field 3B,On Time,269445
2021-09-25,11:00 AM,Bracket,Solar SC ECNL GU18/U19,3,1,Tulsa SC ECNL GU18/U19,Fairview Soccer Park ,Field 2,On Time,269449
2021-09-25,01:00 PM,Bracket,Sting Dallas Royal ECNL GU18/U19,0,1,Challenge SC ECNL GU18/U19,Sting Complex,Field 1,On Time,269452
