rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Solar SC ECNL GU18/U19,Solar SC,11589,22,20,0,2,62,2.82,85,13,72
2,DKSC ECNL GU18/U19,No Club Selection,11588,22,15,5,2,47,2.14,62,20,42
3,Sting Dallas Black ECNL GU18/U19,Sting Soccer Club,11591,22,15,7,0,45,2.05,56,24,32
4,FC Dallas ECNL GU18/U19,FC Dallas Youth,46786,22,13,5,4,43,1.95,53,19,34
5,Dallas Texans ECNL GU18/U19,Dallas Texans,6888,22,13,5,4,43,1.95,58,32,26
6,Sting Austin ECNL GU18/U19,Sting Austin,10998,22,9,9,4,31,1.41,34,35,-1
7,Tulsa SC ECNL GU18/U19,Tulsa Soccer Club,11587,22,9,10,3,30,1.36,37,46,-9
8,AHFC ECNL GU18/U19,Albion Hurricanes FC,11595,21,7,7,7,28,1.33,38,30,8
9,Challenge SC ECNL GU18/U19,Challenge SC,11593,21,8,12,1,25,1.19,28,42,-14
10,Sting Dallas Royal ECNL GU18/U19,Sting Soccer Club,45803,22,4,17,1,13,0.59,17,76,-59
11,Classics Elite ECNL GU18/19 ,Classics Elite Soccer Academy,10895,22,2,19,1,7,0.32,14,77,-63
12,OK Energy FC ECNL GU18/U19,Oklahoma Energy FC,59507,22,1,20,1,4,0.18,7,75,-68
