date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2022-09-10,11:00 AM,Bracket,Charlotte Independence ECNL G05/04,2,0,Arlington Soccer ECNL G05/04,Matthews Sportsplex,Field 7,On Time,362058
2022-09-10,12:15 PM,Bracket,NCFC Youth ECNL G05/04,1,4,NC Fusion ECNL G05/04,WRAL ,Field 4,On Time,362061
2022-09-10,02:00 PM,Bracket,Beach FC (VA) ECNL G05/04,1,9,VDA ECNL G05/04,Hampton Roads Soccer Complex,Field 6,On Time,362057
2022-09-10,03:00 PM,Bracket,Loudoun Soccer ECNL G05/04,1,3,VA Union ECNL G05/04,Loudoun Soccer Park,Field 2,On Time,362060
2022-09-10,04:00 PM,Bracket,Charlotte SA ECNL G05/04,7,0,Fairfax BRAVE SC ECNL G05/04,OrthoCarolina Sportsplex,Field 6,On Time,362059
2022-09-11,01:00 PM,Bracket,Charlotte SA ECNL G05/04,5,1,Arlington Soccer ECNL G05/04,OrthoCarolina Sportsplex,Field 6,On Time,362062
2022-09-11,01:00 PM,Bracket,NC Courage ECNL G05/04,5,0,Wilmington Hammerheads ECNL G05/04,WRAL Soccer Park,Field 6 Stadium (McDonald's Gunter Family),On Time,362119
2022-09-11,02:00 PM,Bracket,Charlotte Independence ECNL G05/04,3,2,Fairfax BRAVE SC ECNL G05/04,Field Day Park,Field 2,On Time,362063
2022-09-17,10:00 AM,Bracket,NC Courage ECNL G05/04,8,1,Charlotte Independence ECNL G05/04,WRAL Soccer Park,Field 6 Stadium (McDonald's Gunter Family),On Time,362065
2022-09-17,11:00 AM,Bracket,Wilmington Hammerheads ECNL G05/04,4,2,NC Fusion ECNL G05/04,Cape Fear Regional Soccer Park,Field 2,On Time,362066
2022-09-17,01:00 PM,Bracket,Beach FC (VA) ECNL G05/04,2,8,Charlotte SA ECNL G05/04,Hampton Roads Soccer Complex,Field 6,On Time,362064
2022-09-18,10:00 AM,Bracket,Beach FC (VA) ECNL G05/04,2,3,Charlotte Independence ECNL G05/04,Princess Anne Athletic Complex,PAAC 2,On Time,362067
2022-09-18,03:00 PM,Bracket,Fairfax BRAVE SC ECNL G05/04,0,4,Richmond United ECNL G05/04,WT Woodson High School,Auxiliary Turf,On Time,362068
2022-09-24,12:00 PM,Bracket,VDA ECNL G05/04,4,1,NC Fusion ECNL G05/04,Ali Krieger Sports Complex (AKSC),Field 7,On Time,362071
2022-09-24,12:00 PM,Bracket,VA Union ECNL G05/04,0,3,Wilmington Hammerheads ECNL G05/04,Lewinsville Park,Field 2,On Time,362073
2022-09-24,01:00 PM,Bracket,Loudoun Soccer ECNL G05/04,0,8,NC Courage ECNL G05/04,Loudoun Soccer Park,Field 1,On Time,362070
2022-09-24,03:00 PM,Bracket,Richmond United ECNL G05/04,5,0,NCFC Youth ECNL G05/04,West Creek,Field 7,On Time,362072
2022-09-24,04:30 PM,Bracket,Arlington Soccer ECNL G05/04,1,1,Fairfax BRAVE SC ECNL G05/04,Long Bridge Park,Boeing #3,On Time,362069
2022-09-25,12:00 PM,Bracket,VDA ECNL G05/04,3,3,NCFC Youth ECNL G05/04,Ali Krieger Sports Complex (AKSC),Field 7,On Time,362077
2022-09-25,01:00 PM,Bracket,Loudoun Soccer ECNL G05/04,0,0,Wilmington Hammerheads ECNL G05/04,Loudoun Soccer Park,Field 1,On Time,362074
2022-09-25,01:00 PM,Bracket,VA Union ECNL G05/04,2,2,NC Courage ECNL G05/04,Lewinsville Park,Field 2,On Time,362075
2022-09-25,01:00 PM,Bracket,Richmond United ECNL G05/04,2,1,NC Fusion ECNL G05/04,West Creek,Field 7,On Time,362076
2022-10-01,05:00 PM,Bracket,Arlington Soccer ECNL G05/04,3,0,Loudoun Soccer ECNL G05/04,Greenbrier (Yorktown HS),Stadium,On Time,362079
2022-10-02,01:00 PM,Bracket,Charlotte SA ECNL G05/04,2,0,NC Courage ECNL G05/04,OrthoCarolina Sportsplex,Field 6,On Time,362083
2022-10-08,12:00 PM,Bracket,VDA ECNL G05/04,0,1,Richmond United ECNL G05/04,Chinn Park,Field 2,On Time,362084
2022-10-15,11:00 AM,Bracket,VA Union ECNL G05/04,4,0,Charlotte Independence ECNL G05/04,Lewinsville Park,Field 2,On Time,362088
2022-10-15,01:00 PM,Bracket,Wilmington Hammerheads ECNL G05/04,4,3,Beach FC (VA) ECNL G05/04,Cape Fear Regional Soccer Park,Field 2,On Time,362085
