date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2022-09-03,12:00 PM,Bracket,Liverpool FC IA Michigan ECNL G05/04,4,1,Eclipse Select SC North ECNL G05/04,UWM Sports Complex,Field 1,On Time,360110
2022-09-03,01:00 PM,Bracket,Midwest United FC ECNL G05/04,1,3,Eclipse Select SC ECNL G05/04,Midwest United FC Complex,South,On Time,360109
2022-09-04,10:00 AM,Bracket,Liverpool FC IA Michigan ECNL G05/04,0,0,Eclipse Select SC ECNL G05/04,UWM Sports Complex,Field 1,On Time,360112
2022-09-04,01:00 PM,Bracket,Midwest United FC ECNL G05/04,3,1,Eclipse Select SC North ECNL G05/04,Midwest United FC Complex,South,On Time,360111
2022-09-10,08:00 AM,Bracket,Eclipse Select SC North ECNL G05/04,2,1,FC Wisconsin ECNL G05/04,Techny Park,Field 2,On Time,360114
2022-09-10,02:00 PM,Bracket,Midwest United FC ECNL G05/04,2,2,SLSG Navy ECNL G05/04,Midwest United FC Complex,South,On Time,360115
2022-09-10,02:00 PM,Bracket,Liverpool FC IA Michigan ECNL G05/04,2,2,SLSG Green ECNL G05/04,Midwest United Soccer Complex,North,On Time,360116
2022-09-10,04:15 PM,Bracket,Eclipse Select SC ECNL G05/04,9,0,Rockford Raptors FC ECNL G05/04,Techny Park,Field 1,On Time,360113
2022-09-10,06:00 PM,Bracket,Gretna Elite Academy ECNL G05/04,1,5,Michigan Hawks ECNL G05/04,Papillion Landing ,#1 Turf,On Time,360117
2022-09-10,06:00 PM,Bracket,Sporting Iowa ECNL G05/04,1,0,Michigan Hawks Magic ECNL G05/04,College St. Marys,CSM,On Time,360118
2022-09-11,08:00 AM,Bracket,Sporting Iowa ECNL G05/04,0,2,Michigan Hawks ECNL G05/04,Norris Middle School,Norris Middel School,On Time,360122
2022-09-11,01:00 PM,Bracket,Gretna Elite Academy ECNL G05/04,3,0,Michigan Hawks Magic ECNL G05/04,Papillion Landing ,#1 Turf,On Time,360123
2022-09-11,01:15 PM,Bracket,Midwest United FC ECNL G05/04,2,0,SLSG Green ECNL G05/04,Midwest United FC Complex,South,On Time,360119
2022-09-11,01:15 PM,Bracket,Liverpool FC IA Michigan ECNL G05/04,0,5,SLSG Navy ECNL G05/04,Midwest United Soccer Complex,North,On Time,360121
2022-09-17,08:00 AM,Bracket,SLSG Green ECNL G05/04,1,0,Eclipse Select SC North ECNL G05/04,World Wide Technology Soccer Park ,Field 5,On Time,360125
2022-09-17,10:00 AM,Bracket,SLSG Navy ECNL G05/04,2,3,Eclipse Select SC ECNL G05/04,WWT Soccer Park,Field 1,On Time,360124
2022-09-17,10:30 AM,Bracket,Gretna Elite Academy ECNL G05/04,6,3,Sporting Iowa ECNL G05/04,Gretna High School,Stadium,On Time,360129
2022-09-17,11:00 AM,Bracket,FC Wisconsin ECNL G05/04,4,1,Rockford Raptors FC ECNL G05/04,FC Wisconsin Soccer Park,Field 1 - Val Olla Field,On Time,360126
2022-09-17,01:10 PM,Bracket,Michigan Hawks Magic ECNL G05/04,0,5,Kansas City Athletics ECNL G05/04,Jaycee Park,JC Turf,On Time,360128
2022-09-17,01:30 PM,Bracket,Michigan Hawks ECNL G05/04,3,0,Sporting Blue Valley ECNL G05/04,Catholic Central High School,Football Field,On Time,360127
