rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Eclipse Select SC ECNL G09,Eclipse Select Soccer Club,59906,14,12,1,1,37,2.64,69,8,61
2,SLSG Navy ECNL G09,St. Louis Scott Gallagher,54343,14,12,1,1,37,2.64,41,11,30
3,Kansas City Athletics ECNL G09,KC Athletics,33175,14,11,3,0,33,2.36,43,13,30
4,Michigan Hawks ECNL G09,Michigan Hawks,50646,14,9,3,2,29,2.07,41,11,30
5,Sporting Blue Valley ECNL G09,Sporting Blue Valley,60884,14,9,4,1,28,2.0,35,21,14
6,Minnesota Thunder ECNL G09,Minnesota Thunder Academy,52518,14,8,3,3,27,1.93,35,13,22
7,SLSG Green ECNL G09,St. Louis Scott Gallagher,53259,14,7,5,2,23,1.64,23,17,6
8,Midwest United FC ECNL G09,Midwest United FC,59336,14,5,6,3,18,1.29,20,19,1
9,Gretna Elite Academy ECNL G09,Gretna Elite Academy,55220,14,5,6,3,18,1.29,19,27,-8
10,FC Wisconsin ECNL G09,FC Wisconsin Girls,53835,14,4,10,0,12,0.86,13,29,-16
11,Michigan Hawks Magic ECNL G09,Michigan Hawks,54823,14,3,8,3,12,0.86,15,39,-24
12,Rockford Raptors FC ECNL G09,Rockford Raptors FC,60409,14,3,10,1,10,0.71,13,44,-31
13,Liverpool FC IA Michigan ECNL G09,Liverpool FC-IA Michigan,58647,14,2,10,2,8,0.57,23,47,-24
14,Eclipse Select SC North ECNL G09,Eclipse Select Soccer Club,59824,14,1,11,2,5,0.36,8,52,-44
15,Sporting Iowa ECNL G09,Sporting Iowa Central,59750,14,1,11,2,5,0.36,7,54,-47
