rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,SLSG Navy ECNL G05/04,St. Louis Scott Gallagher,11283,14,12,1,1,37,2.64,51,8,43,G2005/2004,ECNL
2,Kansas City Athletics ECNL G05/04,KC Athletics,19379,14,12,2,0,36,2.57,53,18,35,G2005/2004,ECNL
3,Michigan Hawks ECNL G05/04,Michigan Hawks,19897,14,11,1,2,35,2.5,43,10,33,G2005/2004,ECNL
4,Eclipse Select SC ECNL G05/04,Eclipse Select Soccer Club,12526,14,10,2,2,32,2.29,43,13,30,G2005/2004,ECNL
5,Minnesota Thunder ECNL G05/04,No Club Selection,11564,14,9,3,2,29,2.07,41,19,22,G2005/2004,ECNL
6,Sporting Blue Valley ECNL G05/04,Sporting Blue Valley,46620,14,8,6,0,24,1.71,37,22,15,G2005/2004,ECNL
7,Gretna Elite Academy ECNL G05/04,No Club Selection,11096,14,7,7,0,21,1.5,35,33,2,G2005/2004,ECNL
8,Sporting Iowa ECNL G05/04,Sporting Iowa Central,59755,14,7,7,0,21,1.5,24,24,0,G2005/2004,ECNL
9,Midwest United FC ECNL G05/04,Midwest United FC,59312,14,5,6,3,18,1.29,20,30,-10,G2005/2004,ECNL
10,FC Wisconsin ECNL G05/04,No Club Selection,11102,14,5,7,2,17,1.21,21,29,-8,G2005/2004,ECNL
11,Liverpool FC IA Michigan ECNL G05/04,Liverpool FC-IA Michigan,58651,14,4,7,3,15,1.07,27,32,-5,G2005/2004,ECNL
12,SLSG Green ECNL G05/04,St. Louis Scott Gallagher,12529,14,2,10,2,8,0.57,9,31,-22,G2005/2004,ECNL
13,Michigan Hawks Magic ECNL G05/04,Michigan Hawks,11290,14,2,12,0,6,0.43,9,47,-38,G2005/2004,ECNL
14,Eclipse Select SC North ECNL G05/04,Eclipse Select Soccer Club,20189,14,1,12,1,4,0.29,6,43,-37,G2005/2004,ECNL
15,Rockford Raptors FC ECNL G05/04,Rockford Raptors FC,60411,14,0,12,2,2,0.14,8,68,-60,G2005/2004,ECNL
1,SLSG Navy ECNL G06,St. Louis Scott Gallagher,20075,14,14,0,0,42,3.0,65,4,61,G2006,ECNL
2,Eclipse Select SC ECNL G06,Eclipse Select Soccer Club,20375,14,12,2,0,36,2.57,53,24,29,G2006,ECNL
3,Michigan Hawks ECNL G06,Michigan Hawks,19884,14,9,2,3,30,2.14,28,10,18,G2006,ECNL
4,Sporting Blue Valley ECNL G06,Sporting Blue Valley,46619,14,9,3,2,29,2.07,47,21,26,G2006,ECNL
5,Minnesota Thunder ECNL G06,No Club Selection,20378,14,9,5,0,27,1.93,43,30,13,G2006,ECNL
6,SLSG Green ECNL G06,St. Louis Scott Gallagher,20379,14,7,3,4,25,1.79,24,13,11,G2006,ECNL
7,Kansas City Athletics ECNL G06,KC Athletics,19378,14,7,5,2,23,1.64,28,16,12,G2006,ECNL
8,Rockford Raptors FC ECNL G06,Rockford Raptors FC,46931,14,6,5,3,21,1.5,26,26,0,G2006,ECNL
9,Gretna Elite Academy ECNL G06,Gretna Elite Academy,11467,14,4,6,4,16,1.14,26,33,-7,G2006,ECNL
10,Liverpool FC IA Michigan ECNL G06,Liverpool FC-IA Michigan,58650,14,4,8,2,14,1.0,16,27,-11,G2006,ECNL
11,FC Wisconsin ECNL G06,FC Wisconsin Girls,20376,14,3,8,3,12,0.86,21,46,-25,G2006,ECNL
12,Eclipse Select SC North ECNL G06,Eclipse Select Soccer Club,20099,14,3,11,0,9,0.64,9,38,-29,G2006,ECNL
13,Michigan Hawks Magic ECNL G06,Michigan Hawks,20377,14,3,11,0,9,0.64,7,44,-37,G2006,ECNL
14,Sporting Iowa ECNL G06,Sporting Iowa Central,59754,14,1,11,2,5,0.36,12,47,-35,G2006,ECNL
15,Midwest United FC ECNL G06,Midwest United FC,59330,14,1,12,1,4,0.29,7,33,-26,G2006,ECNL
1,Michigan Hawks ECNL G07,Michigan Hawks,35251,14,12,0,2,38,2.71,55,4,51,G2007,ECNL
2,Sporting Blue Valley ECNL G07,Sporting Blue Valley,46618,14,10,2,2,32,2.29,36,9,27,G2007,ECNL
3,Minnesota Thunder ECNL G07,No Club Selection,35253,14,10,2,2,32,2.29,42,10,32,G2007,ECNL
4,SLSG Navy ECNL G07,St. Louis Scott Gallagher,34464,14,9,2,3,30,2.14,42,12,30,G2007,ECNL
5,Kansas City Athletics ECNL G07,KC Athletics,19372,14,9,3,2,29,2.07,52,22,30,G2007,ECNL
6,Eclipse Select SC ECNL G07,Eclipse Select Soccer Club,13614,14,8,3,3,27,1.93,42,13,29,G2007,ECNL
7,Gretna Elite Academy ECNL G07,No Club Selection,35249,14,8,6,0,24,1.71,39,26,13,G2007,ECNL
8,Midwest United FC ECNL G07,Midwest United FC,59332,14,7,5,2,23,1.64,28,20,8,G2007,ECNL
9,Sporting Iowa ECNL G07,Sporting Iowa Central,59752,14,5,6,3,18,1.29,21,29,-8,G2007,ECNL
10,SLSG Green ECNL G07,St. Louis Scott Gallagher,35254,14,4,7,3,15,1.07,26,19,7,G2007,ECNL
11,Michigan Hawks Magic ECNL G07,Michigan Hawks,35252,14,4,7,3,15,1.07,18,30,-12,G2007,ECNL
12,FC Wisconsin ECNL G07,FC Wisconsin Girls,35250,14,2,11,1,7,0.5,4,46,-42,G2007,ECNL
13,Liverpool FC IA Michigan ECNL G07,Liverpool FC-IA Michigan,58649,14,1,11,2,5,0.36,6,42,-36,G2007,ECNL
14,Rockford Raptors FC ECNL G07,Rockford Raptors FC,15637,14,1,12,1,4,0.29,10,64,-54,G2007,ECNL
15,Eclipse Select SC North ECNL G07,Eclipse Select Soccer Club,35248,14,0,13,1,1,0.07,3,78,-75,G2007,ECNL
1,SLSG Navy ECNL G08,St. Louis Scott Gallagher,46768,14,12,0,2,38,2.71,42,3,39,G2008,ECNL
2,Sporting Blue Valley ECNL G08,Sporting Blue Valley,46617,14,11,2,1,34,2.43,31,7,24,G2008,ECNL
3,Eclipse Select SC ECNL G08,Eclipse Select Soccer Club,46760,14,10,1,3,33,2.36,38,10,28,G2008,ECNL
4,Kansas City Athletics ECNL G08,KC Athletics,19672,14,10,2,2,32,2.29,36,16,20,G2008,ECNL
5,Michigan Hawks ECNL G08,Michigan Hawks,46771,14,10,3,1,31,2.21,45,9,36,G2008,ECNL
6,Minnesota Thunder ECNL G08,Minnesota Thunder Academy,46774,14,8,4,2,26,1.86,37,12,25,G2008,ECNL
7,Michigan Hawks Magic ECNL G08,Michigan Hawks,46773,14,7,6,1,22,1.57,20,16,4,G2008,ECNL
8,Liverpool FC IA Michigan ECNL G08,Liverpool FC-IA Michigan,59307,14,5,7,2,17,1.21,23,27,-4,G2008,ECNL
9,Sporting Iowa ECNL G08,Sporting Iowa Central,59751,14,4,6,4,16,1.14,12,17,-5,G2008,ECNL
10,Midwest United FC ECNL G08,Midwest United FC,59334,14,4,8,2,14,1.0,16,35,-19,G2008,ECNL
11,SLSG Green ECNL G08,St. Louis Scott Gallagher,46767,14,3,7,4,13,0.93,11,20,-9,G2008,ECNL
12,FC Wisconsin ECNL G08,FC Wisconsin Girls,46764,14,3,8,3,12,0.86,8,21,-13,G2008,ECNL
13,Rockford Raptors FC ECNL G08,Rockford Raptors FC,60410,14,3,10,1,10,0.71,11,42,-31,G2008,ECNL
14,Gretna Elite Academy ECNL G08,Gretna Elite Academy,46765,14,1,13,0,3,0.21,6,38,-32,G2008,ECNL
15,Eclipse Select SC North ECNL G08,Eclipse Select Soccer Club,46762,14,0,14,0,0,0.0,5,68,-63,G2008,ECNL
1,Eclipse Select SC ECNL G09,Eclipse Select Soccer Club,59906,14,12,1,1,37,2.64,69,8,61,G2009,ECNL
2,SLSG Navy ECNL G09,St. Louis Scott Gallagher,54343,14,12,1,1,37,2.64,41,11,30,G2009,ECNL
3,Kansas City Athletics ECNL G09,KC Athletics,33175,14,11,3,0,33,2.36,43,13,30,G2009,ECNL
4,Michigan Hawks ECNL G09,Michigan Hawks,50646,14,9,3,2,29,2.07,41,11,30,G2009,ECNL
5,Sporting Blue Valley ECNL G09,Sporting Blue Valley,60884,14,9,4,1,28,2.0,35,21,14,G2009,ECNL
6,Minnesota Thunder ECNL G09,Minnesota Thunder Academy,52518,14,8,3,3,27,1.93,35,13,22,G2009,ECNL
7,SLSG Green ECNL G09,St. Louis Scott Gallagher,53259,14,7,5,2,23,1.64,23,17,6,G2009,ECNL
8,Midwest United FC ECNL G09,Midwest United FC,59336,14,5,6,3,18,1.29,20,19,1,G2009,ECNL
9,Gretna Elite Academy ECNL G09,Gretna Elite Academy,55220,14,5,6,3,18,1.29,19,27,-8,G2009,ECNL
10,FC Wisconsin ECNL G09,FC Wisconsin Girls,53835,14,4,10,0,12,0.86,13,29,-16,G2009,ECNL
11,Michigan Hawks Magic ECNL G09,Michigan Hawks,54823,14,3,8,3,12,0.86,15,39,-24,G2009,ECNL
12,Rockford Raptors FC ECNL G09,Rockford Raptors FC,60409,14,3,10,1,10,0.71,13,44,-31,G2009,ECNL
13,Liverpool FC IA Michigan ECNL G09,Liverpool FC-IA Michigan,58647,14,2,10,2,8,0.57,23,47,-24,G2009,ECNL
14,Eclipse Select SC North ECNL G09,Eclipse Select Soccer Club,59824,14,1,11,2,5,0.36,8,52,-44,G2009,ECNL
15,Sporting Iowa ECNL G09,Sporting Iowa Central,59750,14,1,11,2,5,0.36,7,54,-47,G2009,ECNL
1,Eclipse Select SC ECNL G10,Eclipse Select Soccer Club,69955,14,13,0,1,40,2.86,59,8,51,G2010,ECNL
2,SLSG Navy ECNL G10,St. Louis Scott Gallagher,68758,14,11,0,3,36,2.57,35,5,30,G2010,ECNL
3,Michigan Hawks ECNL G10,Michigan Hawks,69108,14,11,1,2,35,2.5,37,3,34,G2010,ECNL
4,Minnesota Thunder ECNL G10,Minnesota Thunder Academy,69526,14,9,3,2,29,2.07,27,12,15,G2010,ECNL
5,SLSG Green ECNL G10,St. Louis Scott Gallagher,68780,14,8,3,3,27,1.93,21,15,6,G2010,ECNL
6,Kansas City Athletics ECNL G10,KC Athletics,46766,14,8,5,1,25,1.79,30,17,13,G2010,ECNL
7,Liverpool FC IA Michigan ECNL G10,Liverpool FC-IA Michigan,69186,14,5,4,5,20,1.43,25,19,6,G2010,ECNL
8,Midwest United FC ECNL G10,Midwest United FC,59338,14,6,7,1,19,1.36,22,23,-1,G2010,ECNL
9,Sporting Blue Valley ECNL G10,Sporting Blue Valley,68425,14,5,7,2,17,1.21,27,34,-7,G2010,ECNL
10,FC Wisconsin ECNL G10,FC Wisconsin Girls,68013,14,5,8,1,16,1.14,14,33,-19,G2010,ECNL
11,Michigan Hawks Magic ECNL G10,Michigan Hawks,69104,14,3,9,2,11,0.79,13,25,-12,G2010,ECNL
12,Gretna Elite Academy ECNL G10,Gretna Elite Academy,60717,14,3,10,1,10,0.71,22,27,-5,G2010,ECNL
13,Sporting Iowa ECNL G10,Sporting Iowa Central,69510,14,2,9,3,9,0.64,25,43,-18,G2010,ECNL
14,Rockford Raptors FC ECNL G10,Rockford Raptors FC,68288,14,2,11,1,7,0.5,12,44,-32,G2010,ECNL
15,Eclipse Select SC North ECNL G10,Eclipse Select Soccer Club,69957,14,0,14,0,0,0.0,4,65,-61,G2010,ECNL
