rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,MVLA ECNL G05/04,MVLA,12024,18,15,0,3,48,2.67,71,16,55
2,Mustang SC ECNL G05/04,Mustang Soccer,12598,18,12,3,3,39,2.17,44,18,26
3,Bay Area Surf ECNL G05/04,Bay Area Surf,65150,18,12,6,0,36,2.0,48,29,19
4,Davis Legacy ECNL G05/04,Davis Legacy Soccer Club,11107,18,11,5,2,35,1.94,59,30,29
5,San Juan SC ECNL G05/04,San Juan Soccer Club,12597,18,9,7,2,29,1.61,41,23,18
6,Placer United ECNL G05/04,Placer United Soccer Club,67911,18,5,8,5,20,1.11,22,27,-5
7,Pleasanton RAGE ECNL G05/04,Pleasanton Rage,11855,18,4,12,2,14,0.78,18,53,-35
8,Marin FC ECNL G05/04,Marin FC,35164,18,3,11,4,13,0.72,12,38,-26
9,De Anza Force ECNL G05/04,Force,45844,18,4,13,1,13,0.72,19,59,-40
10,Santa Rosa United ECNL G05/04,Santa Rosa United Soccer,12596,18,2,12,4,10,0.56,19,60,-41
