rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,MVLA ECNL G06,MVLA,20426,18,15,1,2,47,2.61,56,24,32
2,San Juan SC ECNL G06,San Juan Soccer Club,20430,18,14,0,4,46,2.56,54,15,39
3,Mustang SC ECNL G06,Mustang Soccer,13301,18,10,5,3,33,1.83,41,29,12
4,Davis Legacy ECNL G06,Davis Legacy Soccer Club,20425,18,10,6,2,32,1.78,36,31,5
5,Marin FC ECNL G06,Marin FC,35163,18,9,6,3,30,1.67,38,40,-2
6,Bay Area Surf ECNL G06,Bay Area Surf,65151,18,8,7,3,27,1.5,31,32,-1
7,Placer United ECNL G06,Placer United Soccer Club,67917,18,5,11,2,17,0.94,25,28,-3
8,De Anza Force ECNL G06,Force,45843,18,4,9,5,17,0.94,22,32,-10
9,Santa Rosa United ECNL G06,Santa Rosa United Soccer,20432,18,2,15,1,7,0.39,15,43,-28
10,Pleasanton RAGE ECNL G06,Pleasanton Rage,20429,18,0,17,1,1,0.06,8,52,-44
