rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,FL Premier FC ECNL G10,Florida Premier FC,69293,15,14,0,1,43,2.87,71,7,64
2,Atlanta Fire United ECNL G10,Atlanta Fire United,67127,15,10,1,4,34,2.27,37,18,19
3,Concorde Fire Platinum ECNL G10,Concorde Fire ,68802,15,10,2,3,33,2.2,56,24,32
4,FC Prime ECNL G10,Athletic Club Florida,46727,15,9,2,4,31,2.07,40,12,28
5,GSA ECNL G10,Gwinnett Soccer Academy,68924,15,10,5,0,30,2.0,40,19,21
6,United Futbol Academy ECNL G10,United Futbol Academy,65981,15,7,7,1,22,1.47,24,28,-4
7,Florida Elite ECNL G10,Sporting SA,65960,15,6,5,4,22,1.47,18,18,0
8,Tampa Bay United ECNL G10,Tampa Bay United,49144,15,5,7,3,18,1.2,26,43,-17
9,Alabama FC ECNL G10,Alabama FC,69023,15,3,5,7,16,1.07,23,35,-12
10,Florida West FC ECNL G10,AC Florida West,68716,15,4,7,4,16,1.07,22,27,-5
11,CESA Liberty ECNL G10,Carolina Elite Soccer Academy,65585,15,4,7,4,16,1.07,15,26,-11
12,South Carolina United ECNL G10,South Carolina United FC,66055,15,3,5,7,16,1.07,22,27,-5
13,Florida Krush ECNL G10,Florida Kraze Krush,34955,15,2,6,7,13,0.87,12,21,-9
14,Orlando City ECNL G10,Seminole United,69112,15,3,9,3,12,0.8,12,34,-22
15,Jacksonville FC ECNL G10,Jacksonville FC,69484,15,1,11,3,6,0.4,11,40,-29
16,Concorde Fire Premier ECNL G10,Concorde Fire ,68797,15,1,13,1,4,0.27,6,56,-50
