date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2022-09-10,08:30 AM,Bracket,Heat FC ECNL G07,4,3,LA Breakers FC ECNL G07,Heritage Park Sports Complex,Field 5,On Time,364960
2022-09-10,12:45 PM,Bracket,LAFC So Cal ECNL G07,2,0,Sporting California USA ECNL G07,Oak Park High School,Stadium,On Time,364961
2022-09-10,02:45 PM,Bracket,Eagles SC ECNL G07,3,3,Legends FC ECNL G07,Silver Lakes Sports Park,Field 5,On Time,364962
2022-09-11,08:30 AM,Bracket,Heat FC ECNL G07,2,2,Utah Royals FC-AZ ECNL G07,Heritage Park Sports Complex,Field 5,On Time,364963
2022-09-11,10:45 AM,Bracket,Legends FC ECNL G07,2,0,LAFC So Cal ECNL G07,Silverlakes Complex,Field 5,On Time,365029
2022-09-11,12:30 PM,Bracket,SLAMMERS FC ECNL G07,3,3,Beach FC ECNL G07,Bonita Canyon Sports Park,Field 5,On Time,364964
2022-09-11,09:45 PM,Bracket,Eagles SC ECNL G07,4,0,Sporting California USA ECNL G07,Silver Lakes Sports Park,Field 23,On Time,364966
2022-09-17,08:00 AM,Bracket,Utah Royals FC-AZ ECNL G07,1,6,Slammers FC HB Koge ECNL G07,Reach 11 Sports Complex,Field 3,On Time,364967
2022-09-17,11:00 AM,Bracket,Eagles SC ECNL G07,6,2,Rebels SC ECNL G07,Pleasant Valley Fields,Field 19,On Time,364970
2022-09-17,01:00 PM,Bracket,LA Breakers FC ECNL G07,2,4,Legends FC ECNL G07,Silverlakes Soccer Complex,Field 5,On Time,364968
2022-09-17,01:00 PM,Bracket,LAFC So Cal ECNL G07,4,0,So Cal Blues ECNL G07,Oak Park High School,Stadium,On Time,364969
2022-09-18,09:45 AM,Bracket,LA Breakers FC ECNL G07,5,1,Rebels SC ECNL G07,West Los Angeles College,Field 1,On Time,364972
2022-09-18,10:00 AM,Bracket,Utah Royals FC-AZ ECNL G07,1,5,SLAMMERS FC ECNL G07,Reach 11 Sports Complex,Field 3,On Time,364971
2022-09-18,05:00 PM,Bracket,Eagles SC ECNL G07,1,1,So Cal Blues ECNL G07,Pleasant Valley Fields,Field 19,On Time,364973
2022-09-24,08:00 AM,Bracket,Sporting California USA ECNL G07,3,1,Heat FC ECNL G07,Silverlakes Soccer Complex,Field 23,On Time,364974
2022-09-24,08:30 AM,Bracket,Beach FC ECNL G07,3,0,LAFC So Cal ECNL G07,El Camino College,Athletic Field,On Time,364975
