date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2022-09-10,10:00 AM,Bracket,San Diego Surf ECNL G10,8,1,Arizona Arsenal ECNL G10,SilverLakes Sports Park,Field 22,On Time,365671
2022-09-10,11:30 AM,Bracket,Rebels SC ECNL G10,0,1,Phoenix Rising ECNL G10,Southwestern College,Stadium,On Time,365672
2022-09-10,05:45 PM,Bracket,Slammers FC HB Koge ECNL G10,1,0,Del Mar Sharks ECNL G10,Bonita Canyon Sports Park,Field 5,On Time,365673
2022-09-11,09:00 AM,Bracket,San Diego Surf ECNL G10,2,0,Phoenix Rising ECNL G10,SilverLakes Sports Park,Field 21,On Time,365676
2022-09-11,09:00 AM,Bracket,Pateadores ECNL G10,0,2,Del Mar Sharks ECNL G10,Great Park,Field 9,On Time,365677
2022-09-11,11:30 AM,Bracket,Rebels SC ECNL G10,1,2,Arizona Arsenal ECNL G10,Southwestern College,Stadium,On Time,365675
2022-09-11,05:45 PM,Bracket,Slammers FC HB Koge ECNL G10,0,0,So Cal Blues ECNL G10,Orange County Great Park,Field 4,On Time,365678
2022-09-17,08:00 AM,Bracket,Phoenix Rising ECNL G10,1,1,Pateadores ECNL G10,PRFC Youth Soccer Facility,Field 2,On Time,365682
2022-09-17,10:00 AM,Bracket,Arizona Arsenal ECNL G10,1,1,SLAMMERS FC ECNL G10,Legacy Sports Park,Field 11,On Time,365681
2022-09-17,01:00 PM,Bracket,San Diego Surf ECNL G10,3,0,Beach FC ECNL G10,Surf Sports Park,Field 9,On Time,365679
2022-09-17,06:00 PM,Bracket,Del Mar Sharks ECNL G10,3,1,Sporting California USA ECNL G10,La Jolla High School,Field 1,On Time,365680
2022-09-18,08:00 AM,Bracket,Phoenix Rising ECNL G10,0,2,Slammers FC HB Koge ECNL G10,PRFC Youth Soccer Facility,Field 2,On Time,365686
2022-09-18,09:00 AM,Bracket,San Diego Surf ECNL G10,4,1,Sporting California USA ECNL G10,Surf Sports Park,Field 12,On Time,365684
2022-09-18,10:00 AM,Bracket,Arizona Arsenal ECNL G10,2,0,Pateadores ECNL G10,Legacy Sports Park,Field 9,On Time,365685
2022-09-18,01:45 PM,Bracket,Del Mar Sharks ECNL G10,3,3,Beach FC ECNL G10,Torrey Pines High School,Stadium ,On Time,365683
2022-09-24,08:30 AM,Bracket,So Cal Blues ECNL G10,2,0,Del Mar Sharks ECNL G10,Northwood High School ,Turf Field/Track,On Time,365688
2022-09-24,10:00 AM,Bracket,Phoenix Rising ECNL G10,2,0,Rebels SC ECNL G10,Copper Sky Regional Park,Field 4,On Time,365687
2022-10-01,08:30 AM,Bracket,Slammers FC HB Koge ECNL G10,3,0,Sporting California USA ECNL G10,Saddleback College,Turf Field,On Time,365690
2022-10-01,09:00 AM,Bracket,Pateadores ECNL G10,0,2,Phoenix Rising ECNL G10,Great Park,Field 9,On Time,365691
2022-10-01,05:15 PM,Bracket,Del Mar Sharks ECNL G10,1,0,Utah Royals FC-AZ ECNL G10,Canyon Crest Academy,Stadium,On Time,365689
2022-10-02,09:00 AM,Bracket,Pateadores ECNL G10,0,6,San Diego Surf ECNL G10,Great Park,Field 9,On Time,365694
2022-10-02,01:00 PM,Bracket,So Cal Blues ECNL G10,4,0,Utah Royals FC-AZ ECNL G10,Mission Viejo Riding Park,Field #5,On Time,365692
2022-10-02,01:45 PM,Bracket,Del Mar Sharks ECNL G10,3,1,SLAMMERS FC ECNL G10,Torrey Pines High School,Stadium ,On Time,365693
2022-10-15,08:00 AM,Bracket,Del Mar Sharks ECNL G10,0,0,Slammers FC HB Koge ECNL G10,Francis Ryan Park ,Field 3,On Time,365696
2022-10-16,05:45 PM,Bracket,Slammers FC HB Koge ECNL G10,4,0,Pateadores ECNL G10,Santa Margarita High School,Turf Field,On Time,365697
2022-10-22,08:00 AM,Bracket,Arizona Arsenal ECNL G10,0,5,LAFC So Cal ECNL G10,Legacy Sports Park,Field 18,On Time,365698
2022-10-22,08:00 AM,Bracket,Phoenix Rising ECNL G10,1,3,Sporting California USA ECNL G10,PRFC Stadium at Wild Horse Pass,Field 1,On Time,365699
2022-10-22,09:00 AM,Bracket,Pateadores ECNL G10,1,1,LA Breakers FC ECNL G10,Great Park,Field 9,On Time,365702
2022-10-22,01:00 PM,Bracket,San Diego Surf ECNL G10,3,2,So Cal Blues ECNL G10,SilverLakes Sports Park,Field 22,On Time,365700
2022-10-22,05:15 PM,Bracket,Del Mar Sharks ECNL G10,2,0,Rebels SC ECNL G10,Canyon Crest Academy,Stadium,On Time,365701
2022-10-23,08:00 AM,Bracket,Arizona Arsenal ECNL G10,0,2,Legends FC ECNL G10,Legacy Sports Park,Field 18,On Time,365705
2022-10-23,10:00 AM,Bracket,Phoenix Rising ECNL G10,1,0,LAFC So Cal ECNL G10,PRFC Stadium at Wild Horse Pass,Field 1,On Time,365704
2022-10-23,12:00 PM,Bracket,So Cal Blues ECNL G10,6,0,Rebels SC ECNL G10,Mission Viejo Riding Park,Field #5,On Time,365706
2022-10-23,05:45 PM,Bracket,Slammers FC HB Koge ECNL G10,3,0,LA Breakers FC ECNL G10,Saddleback College,Turf Field,On Time,365703
2022-10-26,06:00 PM,Bracket,Phoenix Rising ECNL G10,1,0,Arizona Arsenal ECNL G10,Bell Bank Park Legacy Sports,Field 9,On Time,365695
2022-10-29,08:00 AM,Bracket,Pateadores ECNL G10,0,5,Slammers FC HB Koge ECNL G10,Great Park,Field 9,On Time,365709
2022-10-29,10:00 AM,Bracket,Phoenix Rising ECNL G10,0,3,So Cal Blues ECNL G10,PRFC Stadium at Wild Horse Pass,Field 2,On Time,365708
2022-10-30,08:30 AM,Bracket,Arizona Arsenal ECNL G10,0,7,So Cal Blues ECNL G10,ASU Polytechnic Campus,Field 1,On Time,365712
2022-10-30,09:00 AM,Bracket,Pateadores ECNL G10,1,1,Rebels SC ECNL G10,Great Park,Field 9,On Time,365711
2022-10-30,09:45 AM,Bracket,Slammers FC HB Koge ECNL G10,4,0,Heat FC ECNL G10,Silverlakes Complex,Field 24,On Time,365710
2022-11-05,09:00 AM,Bracket,San Diego Surf ECNL G10,7,0,LA Breakers FC ECNL G10,Surf Sports Park,Field 4,On Time,365713
