rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,NC Courage ECNL G06/05,NC Courage Academy,81853,12,10,1,1,31,2.58,32,8,24
2,Richmond United ECNL G06/05,Richmond United,20317,12,10,2,0,30,2.5,36,15,21
3,Charlotte SA ECNL G06/05,Charlotte Soccer Academy,82099,12,8,2,2,26,2.17,44,16,28
4,VA Union ECNL G06/05,Fairfax Virginia Union,20314,12,8,3,1,25,2.08,35,17,18
5,VDA ECNL G06/05,Virginia Development Academy,14649,12,7,4,1,22,1.83,37,15,22
6,Arlington Soccer ECNL G06/05,Arlington Soccer Association,82187,12,7,5,0,21,1.75,18,16,2
7,NC Fusion ECNL G06/05,NC Fusion,20316,12,6,5,1,19,1.58,31,24,7
8,NVA ECNL G06/05,Northern Virginia Alliance,19775,12,6,6,0,18,1.5,22,21,1
9,Wilmington Hammerheads ECNL G06/05,No Club Selection,19665,12,4,5,3,15,1.25,16,15,1
10,Fairfax BRAVE SC ECNL G06/05,Fairfax Virginia Union,13009,12,1,8,3,6,0.5,10,32,-22
11,Charlotte Independence ECNL G06/05,Charlotte Independence SC,20312,12,1,9,2,5,0.42,11,33,-22
12,Beach FC (VA) ECNL G06/05,Beach FC,67771,12,1,10,1,4,0.33,7,53,-46
13,NCFC Youth ECNL G05/06,NCFC Youth,20315,12,1,10,1,4,0.33,7,41,-34
