date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2023-08-26,02:00 PM,Group Play,Sporting Iowa ECNL G08,2,3,Michigan Hawks Magic ECNL G08,Gretna Sports Complex,Field 2,On Time,479806
2023-08-26,03:00 PM,Group Play,Gretna Elite Academy ECNL G08,0,2,Michigan Hawks ECNL G08,Gretna High School,Soccer Field,On Time,479802
2023-08-27,11:30 AM,Group Play,Gretna Elite Academy ECNL G08,1,2,Michigan Hawks Magic ECNL G08,Gretna High School,Soccer Field,On Time,479814
2023-08-27,11:30 AM,Group Play,Sporting Iowa ECNL G08,0,8,Michigan Hawks ECNL G08,Gretna Sports Complex,Field 2,On Time,479822
2023-08-27,11:45 AM,Group Play,Rockford Raptors ECNL G08,0,1,FC Wisconsin ECNL G08,Mercyhealth Sportscore Two,Field 219 Stadium,On Time,479818
2023-09-06,07:45 PM,Group Play,FC Wisconsin ECNL G08,1,0,Eclipse Select SC ECNL G08,FC Wisconsin Soccer Park,Field 1 - Val Olla Field,On Time,479824
2023-09-09,09:30 AM,Group Play,Gretna Elite Academy ECNL G08,0,6,Sporting Blue Valley ECNL G08,Gretna Sports Complex,Field 1,On Time,479832
2023-09-09,10:00 AM,Group Play,SLSG Green MO ECNL G08,3,3,Midwest United FC ECNL G08,World Wide Technology Soccer Park ,Field 5,On Time,479828
2023-09-09,02:00 PM,Group Play,SLSG Navy ECNL G08,1,0,Liverpool FC IA Michigan ECNL G08,WWT Soccer Park,Field 5,On Time,479840
2023-09-10,TBD,Group Play,SLSG Navy ECNL G08,5,1,Midwest United FC ECNL G08,,,On Time,479856
2023-09-10,08:00 AM,Group Play,SLSG Green MO ECNL G08,0,1,Liverpool FC IA Michigan ECNL G08,Creve Coeur Park Soccer Complex ,Field 8,On Time,479848
2023-09-10,01:00 PM,Group Play,FC Wisconsin ECNL G08,0,0,Chicago Inter Soccer ECNL G08,FC Wisconsin Soccer Park,Field 1 - Val Olla Field,On Time,479844
2023-09-10,01:45 PM,Group Play,Rockford Raptors ECNL G08,1,3,Eclipse Select SC ECNL G08,Mercyhealth Sportscore Two,Field 233,On Time,479852
2023-09-10,02:00 PM,Group Play,Sporting Iowa ECNL G08,1,2,Kansas City Athletics ECNL G08,Grimesplex,Green 1,On Time,479836
2023-09-16,09:00 AM,Group Play,Gretna Elite Academy ECNL G08,2,1,Rockford Raptors ECNL G08,Grimesplex,Purple 1,On Time,479864
2023-09-16,09:00 AM,Group Play,Sporting Iowa ECNL G08,3,3,FC Wisconsin ECNL G08,Grimesplex,Green 1,On Time,479868
2023-09-16,09:00 AM,Group Play,Liverpool FC IA Michigan ECNL G08,2,0,Eclipse Select SC ECNL G08,Avondale High School,Auxiliary,On Time,479876
2023-09-16,11:00 AM,Group Play,Midwest United FC ECNL G08,1,1,Chicago Inter Soccer ECNL G08,Midwest United FC Complex,South,On Time,479880
2023-09-16,01:00 PM,Group Play,Sporting Blue Valley ECNL G08,2,1,Michigan Hawks ECNL G08,College Boulevard Activity Center,Field 1,On Time,479860
2023-09-16,01:00 PM,Group Play,Kansas City Athletics ECNL G08,2,0,Michigan Hawks Magic ECNL G08,KC Current Training Facility,Field 2,On Time,479872
2023-09-17,08:00 AM,Group Play,Midwest United FC ECNL G08,0,1,Eclipse Select SC ECNL G08,Midwest United FC Complex,South,On Time,479904
2023-09-17,10:30 AM,Group Play,Kansas City Athletics ECNL G08,0,5,Michigan Hawks ECNL G08,KC Current Training Facility,Field 3,On Time,479896
2023-09-17,11:00 AM,Group Play,Gretna Elite Academy ECNL G08,0,3,FC Wisconsin ECNL G08,Grimesplex,Purple 1,On Time,479888
