rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Penn Fusion SA ECNL G08,Penn Fusion Soccer Academy,44737,13,13,0,0,39,3.0,54,5,49
2,PDA Blue ECNL G08,PDA Blue (North),3701,13,8,5,0,24,1.85,27,13,14
3,FC DELCO ECNL G08,FC DELCO,36383,13,6,4,3,21,1.62,24,16,8
4,Bethesda SC ECNL G08,Bethesda SC,46815,13,5,2,6,21,1.62,22,17,5
5,Pipeline SC ECNL G08,Pipeline SC,45827,13,6,4,3,21,1.62,19,17,2
6,Match Fit Academy ECNL G08,Match Fit Surf,34505,13,5,7,1,16,1.23,14,18,-4
7,Maryland United FC ECNL G08,Maryland United Football Club,36637,13,3,6,4,13,1.0,9,21,-12
8,PDA White ECNL G08,PDA White (Shore),11460,13,3,7,3,12,0.92,9,28,-19
9,PDA South ECNL G08,PDA South,1815,13,3,9,1,10,0.77,10,24,-14
10,HEX FC Bucks ECNL G08,HEX FC,26917,13,0,8,5,5,0.38,9,38,-29
