date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2023-09-09,12:00 PM,Group Play,Penn Fusion SA ECNL G11,1,2,Bethesda SC ECNL G11,USTC,Field 1,On Time,500898
2023-09-09,01:30 PM,Group Play,FC DELCO ECNL G11,2,1,Match Fit Academy ECNL G11,Proving Grounds,7,On Time,500894
2023-09-10,10:00 AM,Group Play,HEX FC Bucks ECNL G11,1,1,Maryland United FC ECNL G11,Council Rock South High School,Turf,On Time,500896
2023-09-16,10:00 AM,Group Play,PDA White ECNL G11,0,1,PDA Blue ECNL G11,PDA ,Field 3,On Time,500910
2023-09-16,12:00 PM,Group Play,Maryland United FC ECNL G11,0,0,Bethesda SC ECNL G11,Liberty Sports Park,Field 5,On Time,500902
2023-09-16,12:20 PM,Group Play,Pipeline SC ECNL G11,2,1,FC DELCO ECNL G11,Mercy High School,Field 1,On Time,500906
2023-09-16,01:00 PM,Group Play,Match Fit Academy ECNL G11,2,2,Penn Fusion SA ECNL G11,Morris Catholic High School,Field 1 Upper,On Time,500904
2023-09-16,02:15 PM,Group Play,PDA South ECNL G11,3,2,HEX FC Bucks ECNL G11,Westampton Sports Complex,Field 2,On Time,500908
2023-09-24,10:00 AM,Group Play,PDA Blue ECNL G11,0,0,Bethesda SC ECNL G11,PDA Main Complex,Field 5,On Time,500918
2023-09-24,11:45 AM,Group Play,FC DELCO ECNL G11,4,1,PDA White ECNL G11,Proving Grounds,7,On Time,500920
2023-09-28,06:00 PM,Group Play,PDA Blue ECNL G11,1,1,PDA South ECNL G11,PDA Main Complex,Field 2,On Time,500892
2023-09-30,09:00 AM,Group Play,HEX FC Bucks ECNL G11,3,1,FC DELCO ECNL G11,Council Rock South High School,Turf,On Time,500922
2023-09-30,01:30 PM,Group Play,PDA White ECNL G11,1,3,Penn Fusion SA ECNL G11,PDA ,Field 5,On Time,500928
2023-09-30,02:15 PM,Group Play,PDA South ECNL G11,0,0,Maryland United FC ECNL G11,Westampton Sports Complex,Field 2,On Time,500926
2023-10-01,12:00 PM,Group Play,Maryland United FC ECNL G11,1,1,Match Fit Academy ECNL G11,Indian Creek,Field 2,On Time,500930
2023-10-14,10:00 AM,Group Play,PDA Blue ECNL G11,3,0,Maryland United FC ECNL G11,PDA Main Complex,Field 5,On Time,500934
2023-10-14,11:00 AM,Group Play,Bethesda SC ECNL G11,3,0,HEX FC Bucks ECNL G11,Maryland Soccerplex,Field 14,On Time,500932
2023-10-14,04:15 PM,Group Play,Penn Fusion SA ECNL G11,1,1,FC DELCO ECNL G11,Penn Fusion Kildare's Turf ,Stadium,On Time,500936
2023-10-15,01:00 PM,Group Play,Match Fit Academy ECNL G11,5,1,PDA White ECNL G11,Morris Catholic High School,Field 1 Upper,On Time,500938
2023-10-15,02:15 PM,Group Play,PDA South ECNL G11,0,3,Pipeline SC ECNL G11,Westampton Sports Complex,Field 2,On Time,500940
2023-10-21,11:00 AM,Group Play,Bethesda SC ECNL G11,4,0,Pipeline SC ECNL G11,Maryland Soccerplex,Field 13,On Time,500942
2023-10-21,11:30 AM,Group Play,FC DELCO ECNL G11,2,0,Maryland United FC ECNL G11,USTC,Field 3,On Time,500944
2023-10-21,12:00 PM,Group Play,Penn Fusion SA ECNL G11,1,0,PDA South ECNL G11,USTC,Field 1,On Time,500948
2023-10-21,01:00 PM,Group Play,Match Fit Academy ECNL G11,2,3,HEX FC Bucks ECNL G11,Morris Catholic High School,Field 1 Upper,On Time,500946
2023-10-22,10:45 AM,Group Play,Penn Fusion SA ECNL G11,4,2,Pipeline SC ECNL G11,Penn Fusion Kildare's Turf ,Stadium,On Time,500916
