rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,La Roca FC ECNL G06/05,La Roca FC,45850,18,15,1,2,47,2.61,54,10,44
2,Utah Avalanche ECNL G06/05,Utah Avalanche,20424,18,14,4,0,42,2.33,48,18,30
3,Portland Thorns ECNL G06/05,Portland Thorns FC,45861,18,13,2,3,42,2.33,47,19,28
4,XF Academy ECNL G06/05,Crossfire Premier,13932,18,9,6,3,30,1.67,35,21,14
5,Seattle United ECNL G06/05,Seattle United,19791,18,9,6,3,30,1.67,27,23,4
6,PacNW SC ECNL G06/05,PacNW,19373,18,7,9,2,23,1.28,30,35,-5
7,Eastside FC ECNL G06/05,Eastside FC (WA),10513,18,5,10,3,18,1.0,25,30,-5
8,Washington Premier ECNL G06/05,Washington Premier FC,18776,18,4,11,3,15,0.83,24,45,-21
9,Northwest Elite FC ECNL G06/05,Oregon Surf SC,78935,18,4,13,1,13,0.72,16,49,-33
10,Boise Thorns FC ECNL G06/05,Boise Timbers | Thorns,20416,18,0,18,0,0,0.0,7,63,-56
