date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2023-11-05,09:00 AM,Group Play,Utah Avalanche ECNL G08,1,3,La Roca FC ECNL G08,St. Joseph Catholic High School,Turf Field,On Time,499310
2023-12-09,10:45 AM,Group Play,Seattle United ECNL G08,0,3,La Roca FC ECNL G08,Shoreline A/B fields,Field B,On Time,499318
2023-12-09,11:00 AM,Group Play,PacNW SC ECNL G08,0,5,Portland Thorns ECNL G08,Saghalie Park (behind Middle School),Field 1,On Time,499314
2023-12-09,11:00 AM,Group Play,Washington Premier ECNL G08,1,1,Northwest Elite FC ECNL G08,WPFC Field Complex,Field 3,On Time,499322
2023-12-09,02:00 PM,Group Play,XF Academy ECNL G08,6,1,Utah Avalanche ECNL G08,Marymoor Park,#3 (Turf),On Time,499326
2023-12-10,09:00 AM,Group Play,XF Academy ECNL G08,4,0,La Roca FC ECNL G08,Marymoor Park,#3 (Turf),On Time,499342
2023-12-10,11:00 AM,Group Play,Washington Premier ECNL G08,2,1,Portland Thorns ECNL G08,WPFC Field Complex,Field 3,On Time,499330
2023-12-10,11:00 AM,Group Play,Seattle United ECNL G08,0,2,Utah Avalanche ECNL G08,Magnuson Park,Field 7,On Time,499334
2023-12-10,11:00 AM,Group Play,PacNW SC ECNL G08,0,4,Northwest Elite FC ECNL G08,Saghalie Park (behind Middle School),Field 1,On Time,499338
2023-12-16,09:00 AM,Group Play,XF Academy ECNL G08,2,1,Eastside FC ECNL G08,Marymoor Park,#1 (Turf),On Time,499350
2023-12-16,11:00 AM,Group Play,Seattle United ECNL G08,3,1,Boise Thorns FC ECNL G08,Ingraham High School,South,On Time,499346
2023-12-17,11:00 AM,Group Play,Seattle United ECNL G08,1,0,Eastside FC ECNL G08,Shoreline A/B fields,Field B,On Time,499358
2023-12-17,01:00 PM,Group Play,XF Academy ECNL G08,2,0,Boise Thorns FC ECNL G08,Marymoor Park,#3 (Turf),On Time,499362
2023-12-17,02:00 PM,Group Play,Northwest Elite FC ECNL G08,1,5,Portland Thorns ECNL G08,THPRD Rec Center,# 2,On Time,499354
2024-01-14,01:00 PM,Group Play,PacNW SC ECNL G08,0,3,Eastside FC ECNL G08,Starfire Sports,Field 3,On Time,499486
2024-01-20,11:00 AM,Group Play,PacNW SC ECNL G08,0,1,Utah Avalanche ECNL G08,Starfire Sports,Field 2,On Time,499386
2024-01-20,11:00 AM,Group Play,Washington Premier ECNL G08,2,0,La Roca FC ECNL G08,WPFC Field Complex,Field 3,On Time,499394
2024-01-21,11:00 AM,Group Play,Washington Premier ECNL G08,4,3,Utah Avalanche ECNL G08,WPFC Field Complex,Field 4,On Time,499410
2024-01-21,01:00 PM,Group Play,PacNW SC ECNL G08,0,4,La Roca FC ECNL G08,Starfire Sports,Field 4,On Time,499402
2024-01-27,10:00 AM,Group Play,Northwest Elite FC ECNL G08,2,0,Boise Thorns FC ECNL G08,Mountain View Champions Park,Field 3,On Time,499414
2024-01-27,01:00 PM,Group Play,Portland Thorns ECNL G08,1,2,Eastside FC ECNL G08,Tigard High School,Soccer,On Time,499418
2024-01-28,09:00 AM,Group Play,Portland Thorns ECNL G08,1,1,Boise Thorns FC ECNL G08,Tigard High School,Football/Stadium,On Time,499426
2024-01-28,10:00 AM,Group Play,Northwest Elite FC ECNL G08,0,4,Eastside FC ECNL G08,Mountain View Champions Park,Field 3,On Time,499422
2024-02-03,12:00 PM,Group Play,Seattle United ECNL G08,0,2,Washington Premier ECNL G08,Shoreline A/B fields,Field A,On Time,499430
2024-02-03,02:00 PM,Group Play,XF Academy ECNL G08,6,0,PacNW SC ECNL G08,Marymoor Park,#1 (Turf),On Time,499434
2024-02-04,09:00 AM,Group Play,Washington Premier ECNL G08,0,2,XF Academy ECNL G08,WPFC Field Complex,Field 3,On Time,499442
2024-02-04,10:00 AM,Group Play,Portland Thorns ECNL G08,3,1,Northwest Elite FC ECNL G08,Tigard High School,Football/Stadium,On Time,499586
2024-02-04,10:30 AM,Group Play,Seattle United ECNL G08,2,1,PacNW SC ECNL G08,Ingraham High School,North,On Time,499438
2024-02-10,10:30 AM,Group Play,Seattle United ECNL G08,0,5,XF Academy ECNL G08,Shoreline A/B fields,Field A,On Time,499462
2024-02-10,11:00 AM,Group Play,Eastside FC ECNL G08,1,1,Washington Premier ECNL G08,PRESTON PARK ATHLETIC FIELDS,Field 1,On Time,499366
2024-02-10,12:00 PM,Group Play,Portland Thorns ECNL G08,2,1,La Roca FC ECNL G08,Tigard High School,Soccer,On Time,499450
2024-02-10,01:00 PM,Group Play,Northwest Elite FC ECNL G08,1,2,Utah Avalanche ECNL G08,Mountain View Champions Park,Field 2,On Time,499446
2024-02-11,11:00 AM,Group Play,Portland Thorns ECNL G08,7,0,Utah Avalanche ECNL G08,Tigard High School,Soccer,On Time,499458
2024-02-11,01:00 PM,Group Play,Northwest Elite FC ECNL G08,1,3,La Roca FC ECNL G08,Mountain View Champions Park,Field 2,On Time,499454
2024-02-24,11:00 AM,Group Play,PacNW SC ECNL G08,0,3,Boise Thorns FC ECNL G08,Starfire Sports,Field 1,On Time,499370
2024-02-25,09:00 AM,Group Play,Washington Premier ECNL G08,2,0,Boise Thorns FC ECNL G08,WPFC Field Complex,Field 4,On Time,499378
2024-02-25,11:00 AM,Group Play,Eastside FC ECNL G08,0,1,XF Academy ECNL G08,PRESTON PARK ATHLETIC FIELDS,Field 1,On Time,499470
2024-03-02,11:00 AM,Group Play,Seattle United ECNL G08,1,0,Northwest Elite FC ECNL G08,Shoreline A/B fields,Field B,On Time,499478
2024-03-02,12:00 PM,Group Play,XF Academy ECNL G08,3,0,Portland Thorns ECNL G08,Marymoor Park,#2 (Turf),On Time,499482
2024-03-03,11:00 AM,Group Play,Eastside FC ECNL G08,1,0,PacNW SC ECNL G08,PRESTON PARK ATHLETIC FIELDS,Field 1,On Time,499374
2024-03-03,11:00 AM,Group Play,Seattle United ECNL G08,1,3,Portland Thorns ECNL G08,Magnuson Park,Field 6,On Time,499490
2024-03-03,12:00 PM,Group Play,XF Academy ECNL G08,5,0,Northwest Elite FC ECNL G08,Marymoor Park,#2 (Turf),On Time,499494
2024-03-09,10:00 AM,Group Play,Portland Thorns ECNL G08,2,2,Washington Premier ECNL G08,Twality Middle School,Field 1,On Time,499506
2024-03-09,11:00 AM,Group Play,Eastside FC ECNL G08,1,0,Boise Thorns FC ECNL G08,PRESTON PARK ATHLETIC FIELDS,Field 1,On Time,499498
2024-03-09,12:00 PM,Group Play,Northwest Elite FC ECNL G08,5,0,PacNW SC ECNL G08,Mountain View Champions Park,Field 2,On Time,499502
2024-03-10,10:00 AM,Group Play,Portland Thorns ECNL G08,3,2,PacNW SC ECNL G08,Twality Middle School,Field 1,On Time,499518
2024-03-10,11:00 AM,Group Play,Boise Thorns FC ECNL G08,1,1,Eastside FC ECNL G08,Preston Park,Field 1,On Time,499510
2024-03-10,12:00 PM,Group Play,Northwest Elite FC ECNL G08,0,3,Washington Premier ECNL G08,Mountain View Champions Park,Field 2,On Time,499514
2024-03-16,11:00 AM,Group Play,Boise Thorns FC ECNL G08,1,0,PacNW SC ECNL G08,Boise Timbers|Thorns - Soccer Complex,Field 1,On Time,499522
2024-03-16,12:00 PM,Group Play,La Roca FC ECNL G08,3,0,Seattle United ECNL G08,Spence Eccles Ogden Community Sports Complex,Field 2,On Time,499530
2024-03-16,01:00 PM,Group Play,Utah Avalanche ECNL G08,1,4,XF Academy ECNL G08,Woods Cross High School,Field 1,On Time,499534
2024-03-16,03:00 PM,Group Play,Eastside FC ECNL G08,5,0,Northwest Elite FC ECNL G08,PRESTON PARK ATHLETIC FIELDS,Field 1,On Time,499526
2024-03-17,11:00 AM,Group Play,Boise Thorns FC ECNL G08,2,1,Washington Premier ECNL G08,Boise Timbers|Thorns - Soccer Complex,Field 2,On Time,499538
2024-03-17,11:00 AM,Group Play,Eastside FC ECNL G08,3,1,Portland Thorns ECNL G08,PRESTON PARK ATHLETIC FIELDS,Field 1,On Time,499542
