date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2023-11-18,03:00 PM,Group Play,Cleveland Force SC ECNL G06/05,1,2,FC Pride Elite ECNL G06/05,Victory Park,Field 1,On Time,502174
2023-11-18,03:30 PM,Group Play,Internationals SC ECNL G06/05,7,0,Indy Eleven Pro Academy ECNL G06/05,Pinnacle Sports,Field 1,On Time,502178
2023-11-19,02:30 PM,Group Play,Internationals SC ECNL G06/05,8,0,FC Pride Elite ECNL G06/05,Pinnacle Sports,Field 1,On Time,502202
2023-11-19,03:00 PM,Group Play,Cleveland Force SC ECNL G06/05,1,1,Indy Eleven Pro Academy ECNL G06/05,Victory Park,Field 1,On Time,502198
2023-12-09,02:30 PM,Group Play,Internationals SC ECNL G06/05,2,1,WNY Flash ECNL G06/05,Pinnacle Sports,Field 1,On Time,502218
2023-12-09,04:00 PM,Group Play,Cleveland Force SC ECNL G06/05,2,3,Pittsburgh Riverhounds ECNL G06/05,Victory Park,Field 1,On Time,502214
2023-12-10,03:00 PM,Group Play,Cleveland Force SC ECNL G06/05,0,4,WNY Flash ECNL G06/05,Victory Park,Field 1,On Time,502222
2023-12-10,03:30 PM,Group Play,Internationals SC ECNL G06/05,3,2,Pittsburgh Riverhounds ECNL G06/05,Pinnacle Sports,Field 1,On Time,502230
2024-03-09,03:00 PM,Group Play,Kings Hammer SC ECNL G06/05,2,2,Cleveland Force SC ECNL G06/05,NKU Soccer Stadium,Field 1,On Time,502274
2024-03-09,03:15 PM,Group Play,Ohio Premier ECNL G06/05,1,1,Internationals SC ECNL G06/05,The Wellington School (Turf),Field 1,On Time,502278
2024-03-10,02:15 PM,Group Play,Ohio Premier ECNL G06/05,3,0,Cleveland Force SC ECNL G06/05,OP Training Facility,Field 1,On Time,502294
2024-03-10,02:30 PM,Group Play,Pittsburgh Riverhounds ECNL G06/05,2,1,WNY Flash ECNL G06/05,Montour Junction Sports Complex,Field 1,On Time,502302
2024-03-10,03:00 PM,Group Play,Kings Hammer SC ECNL G06/05,1,5,Internationals SC ECNL G06/05,St Henry High School,Field 1,On Time,502290
2024-03-16,03:15 PM,Group Play,Ohio Premier ECNL G06/05,3,2,Kings Hammer SC ECNL G06/05,OP Training Facility,Field 1,On Time,502314
2024-03-23,03:15 PM,Group Play,Ohio Premier ECNL G06/05,0,1,Pittsburgh Riverhounds ECNL G06/05,The Wellington School (Turf),Field 1,On Time,502330
2024-03-23,04:00 PM,Group Play,Kings Hammer SC ECNL G06/05,1,4,WNY Flash ECNL G06/05,Dixie High School,Field 1,On Time,502326
2024-03-24,02:00 PM,Group Play,Kings Hammer SC ECNL G06/05,1,0,Pittsburgh Riverhounds ECNL G06/05,NKU Soccer Stadium,Field 1,On Time,502346
2024-03-24,02:15 PM,Group Play,Ohio Premier ECNL G06/05,2,1,WNY Flash ECNL G06/05,OP Training Facility,Field 1,On Time,502350
2024-03-24,03:30 PM,Group Play,Internationals SC ECNL G06/05,6,1,Cleveland Force SC ECNL G06/05,Pinnacle Sports,Field 1,On Time,502342
2024-04-13,09:00 AM,Group Play,Ohio Premier ECNL G06/05,7,0,Racing Louisville Academy ECNL G06/05,OP Training Facility,Field 1,On Time,502362
2024-04-13,09:00 AM,Group Play,Pittsburgh Riverhounds ECNL G06/05,1,1,FC Pride Elite ECNL G06/05,Montour Junction Sports Complex,Field 1,On Time,502366
2024-04-13,03:00 PM,Group Play,Kings Hammer SC ECNL G06/05,1,2,Ohio Elite Soccer Academy ECNL G06/05,Town and Country,Field 1,On Time,502358
2024-04-13,03:00 PM,Group Play,WNY Flash ECNL G06/05,1,2,Indy Eleven Pro Academy ECNL G06/05,Flash Fields,Field B,On Time,502370
2024-04-14,10:00 AM,Group Play,Kings Hammer SC ECNL G06/05,1,2,Racing Louisville Academy ECNL G06/05,Town and Country,Field 1,On Time,502374
2024-04-14,02:15 PM,Group Play,Ohio Premier ECNL G06/05,6,1,Ohio Elite Soccer Academy ECNL G06/05,OP Training Facility,Field 1,On Time,502378
2024-04-14,02:30 PM,Group Play,Pittsburgh Riverhounds ECNL G06/05,3,3,Indy Eleven Pro Academy ECNL G06/05,Montour Junction Sports Complex,Field 1,On Time,502382
2024-04-14,03:00 PM,Group Play,WNY Flash ECNL G06/05,0,0,FC Pride Elite ECNL G06/05,Flash Fields,Field A,On Time,502386
2024-04-20,09:00 AM,Group Play,Pittsburgh Riverhounds ECNL G06/05,1,2,Cleveland Force SC ECNL G06/05,Montour Junction Sports Complex,Field 1,On Time,502390
2024-04-20,09:00 AM,Group Play,WNY Flash ECNL G06/05,0,3,Internationals SC ECNL G06/05,Flash Fields,Field A,On Time,502394
2024-04-21,09:00 AM,Group Play,WNY Flash ECNL G06/05,2,1,Cleveland Force SC ECNL G06/05,Flash Fields,Field A,On Time,502414
2024-04-21,02:30 PM,Group Play,Pittsburgh Riverhounds ECNL G06/05,1,5,Internationals SC ECNL G06/05,Montour Junction Sports Complex,Field 1,On Time,502410
2024-04-27,08:30 AM,Group Play,Pittsburgh Riverhounds ECNL G06/05,1,6,Tennessee Soccer Club ECNL G06/05,Montour Junction Sports Complex,Field 1,On Time,502426
2024-04-27,11:15 AM,Group Play,WNY Flash ECNL G06/05,3,2,FC Alliance ECNL G06/05,Flash Fields,Field A,On Time,502430
2024-04-27,12:00 PM,Group Play,Internationals SC ECNL G06/05,2,0,Ohio Premier ECNL G06/05,Pinnacle Sports,Field 1,On Time,502422
2024-04-27,03:00 PM,Group Play,Cleveland Force SC ECNL G06/05,0,0,Kings Hammer SC ECNL G06/05,Victory Park,Field 2,On Time,502418
2024-04-28,08:00 AM,Group Play,WNY Flash ECNL G06/05,2,2,Tennessee Soccer Club ECNL G06/05,Flash Fields,Field A,On Time,502446
2024-04-28,02:00 PM,Group Play,Pittsburgh Riverhounds ECNL G06/05,2,3,FC Alliance ECNL G06/05,Highmark Stadium,Field 1,On Time,502442
2024-04-28,02:30 PM,Group Play,Internationals SC ECNL G06/05,8,1,Kings Hammer SC ECNL G06/05,Pinnacle Sports,Field 1,On Time,502438
2024-04-28,03:00 PM,Group Play,Cleveland Force SC ECNL G06/05,0,3,Ohio Premier ECNL G06/05,Victory Park,Field 2,On Time,502434
2024-05-11,09:00 AM,Group Play,Pittsburgh Riverhounds ECNL G06/05,1,5,Ohio Premier ECNL G06/05,Montour Junction Sports Complex,Field 1,On Time,502490
2024-05-11,11:15 AM,Group Play,WNY Flash ECNL G06/05,4,1,Kings Hammer SC ECNL G06/05,Flash Fields,Field A,On Time,502494
2024-05-12,11:15 AM,Group Play,WNY Flash ECNL G06/05,3,2,Ohio Premier ECNL G06/05,Flash Fields,Field A,On Time,502514
2024-05-12,02:30 PM,Group Play,Pittsburgh Riverhounds ECNL G06/05,2,2,Kings Hammer SC ECNL G06/05,Highmark Stadium,Field 1,On Time,502510
2024-05-19,09:00 AM,Group Play,Cleveland Force SC ECNL G06/05,2,9,Internationals SC ECNL G06/05,Lost Nation Sports Park,Field 1 11v11,On Time,502534
2024-05-19,09:15 AM,Group Play,WNY Flash ECNL G06/05,3,3,Pittsburgh Riverhounds ECNL G06/05,Flash Fields,Field A,On Time,502546
2024-05-19,03:00 PM,Group Play,Kings Hammer SC ECNL G06/05,0,4,Ohio Premier ECNL G06/05,NKU Soccer Stadium,Field 1,On Time,502542
