date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2023-09-09,11:15 AM,Group Play,Ohio Premier ECNL G11,3,0,Racing Louisville Academy ECNL G11,OP Training Facility,Field 1,On Time,502557
2023-09-09,11:45 AM,Group Play,Kings Hammer SC ECNL G11,1,1,Ohio Elite Soccer Academy ECNL G11,Warren County Sports Park,Field 1,On Time,502551
2023-09-10,09:15 AM,Group Play,Ohio Premier ECNL G11,2,1,Ohio Elite Soccer Academy ECNL G11,OP Training Facility,Field 1,On Time,502559
2023-09-10,10:00 AM,Group Play,Internationals SC ECNL G11,1,1,Cleveland Force SC ECNL G11,Pinnacle Sports,Field 1,On Time,502569
2023-09-10,02:15 PM,Group Play,Kings Hammer SC ECNL G11,2,0,Racing Louisville Academy ECNL G11,Town and Country,Field 1,On Time,502565
2023-09-16,09:00 AM,Group Play,WNY Flash ECNL G11,5,0,FC Pride Elite ECNL G11,Flash Fields,Field A,On Time,502553
2023-09-16,09:00 AM,Group Play,Pittsburgh Riverhounds ECNL G11,1,1,Indy Eleven Pro Academy ECNL G11,Montour Junction Sports Complex,Field 1,On Time,502555
2023-09-17,09:00 AM,Group Play,Pittsburgh Riverhounds ECNL G11,0,3,FC Pride Elite ECNL G11,Montour Junction Sports Complex,Field 1,On Time,502561
2023-09-17,09:00 AM,Group Play,WNY Flash ECNL G11,2,0,Indy Eleven Pro Academy ECNL G11,Flash Fields,Field A,On Time,502563
2023-09-23,09:00 AM,Group Play,Ohio Premier ECNL G11,0,0,Kings Hammer SC ECNL G11,OP Training Facility,Field 1,On Time,502571
2023-09-24,09:00 AM,Group Play,WNY Flash ECNL G11,1,2,Pittsburgh Riverhounds ECNL G11,Flash Fields,Field A,On Time,502581
2023-10-07,09:00 AM,Group Play,Cleveland Force SC ECNL G11,4,0,Pittsburgh Riverhounds ECNL G11,Cleveland United Complex,Field 1,On Time,502589
2023-10-07,01:30 PM,Group Play,Internationals SC ECNL G11,0,6,WNY Flash ECNL G11,Pinnacle Sports,Field 1,On Time,502593
2023-10-08,09:00 AM,Group Play,Internationals SC ECNL G11,2,0,Pittsburgh Riverhounds ECNL G11,Pinnacle Sports,Field 1,On Time,502601
2023-10-08,09:00 AM,Group Play,Cleveland Force SC ECNL G11,2,2,WNY Flash ECNL G11,Lost Nations Sports Park - West ,Field 1,On Time,502605
