rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Internationals SC ECNL G06/05,Internationals SC,20363,16,14,1,1,43,2.69,76,20,56,G2006/2005,NORTH
2,Ohio Premier ECNL G06/05,Ohio Premier,20367,16,10,3,3,33,2.06,43,16,27,G2006/2005,NORTH
3,WNY Flash ECNL G06/05,WNY Flash Academy,20373,16,7,6,3,24,1.5,33,30,3,G2006/2005,NORTH
4,Pittsburgh Riverhounds ECNL G06/05,Pittsburgh Riverhounds,20369,16,3,8,5,14,0.88,23,43,-20,G2006/2005,NORTH
5,Kings Hammer SC ECNL G06/05, Kings Hammer Columbus,47019,16,1,11,4,7,0.44,18,45,-27,G2006/2005,NORTH
6,Cleveland Force SC ECNL G06/05,Cleveland Force SC,46990,16,1,12,3,6,0.38,14,51,-37,G2006/2005,NORTH
1,Ohio Elite Soccer Academy ECNL G06/05,Ohio Elite Soccer Academy,20365,15,12,3,0,36,2.4,60,32,28,G2006/2005,SOUTH
2,Tennessee Soccer Club ECNL G06/05,Tennessee SC,20371,16,10,2,4,34,2.13,58,26,32,G2006/2005,SOUTH
3,FC Alliance ECNL G06/05,FC Alliance TN,20358,16,7,6,3,24,1.5,31,30,1,G2006/2005,SOUTH
4,Racing Louisville Academy ECNL G06/05,Racing Louisville Academy,45895,16,5,9,2,17,1.06,23,39,-16,G2006/2005,SOUTH
5,Indy Eleven Pro Academy ECNL G06/05,Indy Eleven Academy,20361,16,4,7,5,17,1.06,20,47,-27,G2006/2005,SOUTH
6,FC Pride Elite ECNL G06/05,No Club Selection,11110,15,2,8,5,11,0.73,11,31,-20,G2006/2005,SOUTH
1,Internationals SC ECNL G07,Internationals SC,35240,16,13,1,2,41,2.56,82,23,59,G2007,NORTH
2,Cleveland Force SC ECNL G07,Cleveland Force SC,46989,16,8,2,6,30,1.88,46,22,24,G2007,NORTH
3,Ohio Premier ECNL G07,Ohio Premier,33377,16,8,6,2,26,1.63,37,26,11,G2007,NORTH
4,WNY Flash ECNL G07,WNY Flash Academy,35279,16,7,4,5,26,1.63,33,26,7,G2007,NORTH
5,Pittsburgh Riverhounds ECNL G07,No Club Selection,35276,16,8,6,2,26,1.63,32,26,6,G2007,NORTH
6,Kings Hammer SC ECNL G07, Kings Hammer Columbus,47018,16,1,15,0,3,0.19,16,67,-51,G2007,NORTH
1,Indy Eleven Pro Academy ECNL G07,Indy Eleven Academy,23407,16,13,2,1,40,2.5,46,9,37,G2007,SOUTH
2,Tennessee Soccer Club ECNL G07,Tennessee SC,35277,16,7,3,6,27,1.69,34,23,11,G2007,SOUTH
