rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Concorde Fire Platinum ECNL G06/05,Concorde Fire ,19885,15,13,0,2,41,2.73,80,8,72
2,GSA ECNL G06/05,Gwinnett Soccer Academy,20326,15,13,1,1,40,2.67,45,15,30
3,Orlando City ECNL G06/05,Seminole United,20338,15,10,2,3,33,2.2,31,17,14
4,CESA Liberty ECNL G06/05,Carolina Elite Soccer Academy,11339,15,9,3,3,30,2.0,26,10,16
5,United Futbol Academy ECNL G06/05,United Futbol Academy,45837,15,8,2,5,29,1.93,40,16,24
6,Concorde Fire Premier ECNL G06/05,Concorde Fire ,20325,15,8,3,4,28,1.87,29,23,6
7,Florida Krush ECNL G06/05,No Club Selection,20335,15,7,5,3,24,1.6,29,20,9
8,FC Prime ECNL G06/5,Athletic Club Florida,20328,15,8,7,0,24,1.6,43,31,12
9,Tampa Bay United ECNL G06/05,Tampa Bay United,20339,15,6,7,2,20,1.33,23,33,-10
10,Alabama FC ECNL G06/05,Alabama FC,20321,15,5,6,4,19,1.27,28,30,-2
11,FL Premier FC ECNL G05/06,Florida Premier FC,69289,15,6,8,1,19,1.27,25,22,3
12,Atlanta Fire United ECNL G06/05,Atlanta Fire United,20323,15,5,9,1,16,1.07,22,30,-8
13,South Carolina United ECNL G06/05,South Carolina United FC,20318,15,2,12,1,7,0.47,13,47,-34
14,Florida West FC ECNL G06/05,AC Florida West,47398,15,2,13,0,6,0.4,17,66,-49
15,Jacksonville FC ECNL G06/05,No Club Selection,20322,15,1,13,1,4,0.27,5,46,-41
16,Florida Elite ECNL G06/05,Sporting SA,20333,15,1,13,1,4,0.27,7,49,-42
