date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2023-09-09,08:00 AM,Group Play,Sporting California USA ECNL G06,2,1,Arizona Arsenal ECNL G06/05,Silverlakes Soccer Complex,Field 23,On Time,538874
2023-09-09,10:30 AM,Group Play,Heat FC ECNL G06/05,1,2,LA Breakers FC ECNL G06/05,Heritage Park Sports Complex,Field 2,On Time,538872
2023-09-09,11:00 AM,Group Play,Eagles SC ECNL G06/05,0,8,San Diego Surf ECNL G06/05,Pleasant Valley Fields,Field,On Time,538871
2023-09-09,11:00 AM,Group Play,LAFC So Cal ECNL G06/05,1,1,Rebels SC ECNL G06/05,Oak Park High School,Stadium,On Time,538873
2023-09-09,05:30 PM,Group Play,Beach FC ECNL G06/05,0,3,SLAMMERS FC ECNL G06/05,Long Beach City College - Liberal Arts Campus,Field 2,On Time,538870
2023-09-10,10:30 AM,Group Play,Heat FC ECNL G06/05,4,1,Utah Royals FC-AZ ECNL G06/05,Heritage Park Sports Complex,Field 11,On Time,538886
2023-09-10,11:00 AM,Group Play,Beach FC ECNL G06/05,2,1,Rebels SC ECNL G06/05,El Camino College,Stadium,On Time,538885
2023-09-10,11:00 AM,Group Play,Legends FC ECNL G06/05,6,2,Arizona Arsenal ECNL G06/05,Silverlakes Complex,Field 6,On Time,538888
2023-09-10,06:30 PM,Group Play,LAFC So Cal ECNL G06/05,1,2,San Diego Surf ECNL G06/05,Oak Park High School,Stadium,On Time,538887
2023-09-16,09:00 AM,Group Play,Utah Royals FC-AZ ECNL G06/05,1,3,SLAMMERS FC ECNL G06/05,Reach 11 Sports Complex,Field 6,On Time,538898
2023-09-16,01:00 PM,Group Play,LA Breakers FC ECNL G06/05,3,1,Sporting California USA ECNL G06,Bell Gardens Sports Center ,Field 3,On Time,538897
2023-09-17,09:00 AM,Group Play,Utah Royals FC-AZ ECNL G06/05,4,1,Pateadores ECNL G06/05,Reach 11 Sports Complex,Field 6,On Time,538904
2023-09-17,03:00 PM,Group Play,Beach FC ECNL G06/05,7,1,Sporting California USA ECNL G06,SilverLakes,Field 23,On Time,538903
2023-09-23,09:00 AM,Group Play,Eagles SC ECNL G06/05,0,1,Utah Royals FC-AZ ECNL G06/05,Pleasant Valley Fields,Field 14,On Time,538909
2023-09-23,10:00 AM,Group Play,Sporting California USA ECNL G06,1,2,Heat FC ECNL G06/05,Silverlakes Soccer Complex,Field 13,On Time,538912
2023-09-23,11:00 AM,Group Play,Legends FC ECNL G06/05,2,2,SLAMMERS FC ECNL G06/05,Silverlakes Complex,Field 6,On Time,538911
2023-09-23,11:30 AM,Group Play,LA Breakers FC ECNL G06/05,2,1,LAFC So Cal ECNL G06/05,Silverlakes Soccer Complex,Field 3,On Time,538910
2023-09-24,09:00 AM,Group Play,LAFC So Cal ECNL G06/05,1,2,Utah Royals FC-AZ ECNL G06/05,Oak Park High School,Stadium,On Time,538922
2023-09-24,10:00 AM,Group Play,SLAMMERS FC ECNL G06/05,2,0,Pateadores ECNL G06/05,Silver Lakes Sports Complex,Field 3,On Time,538924
2023-09-24,11:00 AM,Group Play,Legends FC ECNL G06/05,5,3,Heat FC ECNL G06/05,Silverlakes Complex,Field 6,On Time,538923
2023-09-24,01:30 PM,Group Play,LA Breakers FC ECNL G06/05,0,0,So Cal Blues ECNL G06/05,West Los Angeles College,Field 1,On Time,538921
2023-09-30,09:00 AM,Group Play,LAFC So Cal ECNL G06/05,1,3,Legends FC ECNL G06/05,Oak Park High School,Stadium,On Time,538934
2023-09-30,10:30 AM,Group Play,Heat FC ECNL G06/05,2,4,Arizona Arsenal ECNL G06/05,Heritage Park Sports Complex,Field 6,On Time,538933
2023-09-30,11:00 AM,Group Play,Utah Royals FC-AZ ECNL G06/05,4,1,Phoenix Rising ECNL G06/05,Bell Road Sports Complex,Field 11,On Time,538935
2023-10-01,10:30 AM,Group Play,Heat FC ECNL G06/05,0,3,Beach FC ECNL G06/05,Heritage Park Sports Complex,Field 6,On Time,538943
2023-10-01,03:00 PM,Group Play,Eagles SC ECNL G06/05,0,1,Legends FC ECNL G06/05,Pleasant Valley Fields,Field 14,On Time,538942
2023-10-14,10:30 AM,Group Play,Heat FC ECNL G06/05,4,3,Del Mar Sharks ECNL G06/05,Heritage Park Sports Complex,Field 6,On Time,538949
2023-10-14,11:00 AM,Group Play,Eagles SC ECNL G06/05,0,3,SLAMMERS FC ECNL G06/05,Pleasant Valley Fields,Field 14,On Time,538948
2023-10-15,10:30 AM,Group Play,Heat FC ECNL G06/05,2,1,So Cal Blues ECNL G06/05,Heritage Park Sports Complex,Field 6,On Time,538954
2023-10-21,09:00 AM,Group Play,Beach FC ECNL G06/05,1,0,LA Breakers FC ECNL G06/05,El Camino College,Stadium,On Time,538957
2023-10-21,09:00 AM,Group Play,Eagles SC ECNL G06/05,1,0,Phoenix Rising ECNL G06/05,Pleasant Valley Fields,Field 19,On Time,538958
2023-10-21,10:00 AM,Group Play,SLAMMERS FC ECNL G06/05,1,1,Utah Royals FC-AZ ECNL G06/05,Silver Lakes Sports Complex (Norco),Field 21,On Time,538960
2023-10-21,11:00 AM,Group Play,Legends FC ECNL G06/05,2,0,Sporting California USA ECNL G06,Silverlakes Complex,Field 6,On Time,538959
2023-10-22,08:00 AM,Group Play,SLAMMERS FC ECNL G06/05,6,0,Arizona Arsenal ECNL G06/05,Silver Lakes Sports Complex (Norco),Field 20,On Time,538970
2023-10-22,09:00 AM,Group Play,LAFC So Cal ECNL G06/05,3,2,Phoenix Rising ECNL G06/05,Alemany High School ,Stadium - Turf,On Time,538969
2023-10-28,01:00 PM,Group Play,Sporting California USA ECNL G06,2,1,Eagles SC ECNL G06/05,Silverlakes Soccer Complex,Field 22,On Time,538976
2023-10-28,01:00 PM,Group Play,Utah Royals FC-AZ ECNL G06/05,2,1,Beach FC ECNL G06/05,ASU Poly - Mesa,Field 2,On Time,538977
2023-10-28,04:45 PM,Group Play,SLAMMERS FC ECNL G06/05,1,2,LAFC So Cal ECNL G06/05,Orange County Great Park,Field 6,On Time,538975
2023-10-29,01:00 PM,Group Play,Utah Royals FC-AZ ECNL G06/05,1,3,LA Breakers FC ECNL G06/05,ASU Poly - Mesa,Field 1,On Time,538986
2023-11-04,09:00 AM,Group Play,Legends FC ECNL G06/05,5,1,Eagles SC ECNL G06/05,Silverlakes Complex,Field 6,On Time,538994
2023-11-04,09:00 AM,Group Play,Sporting California USA ECNL G06,0,6,Slammers FC HB Koge ECNL G06/05,Silverlakes Soccer Complex,Field 23,On Time,538995
2023-11-04,01:00 PM,Group Play,Beach FC ECNL G06/05,1,3,LAFC So Cal ECNL G06/05,El Camino College,Athletic Field,On Time,538993
2023-11-18,09:00 AM,Group Play,LA Breakers FC ECNL G06/05,1,2,SLAMMERS FC ECNL G06/05,Silverlakes Soccer Complex,Field 2,On Time,539002
2023-11-18,09:00 AM,Group Play,Sporting California USA ECNL G06,2,3,Utah Royals FC-AZ ECNL G06/05,Silverlakes Soccer Complex,Field 17,On Time,539005
2023-11-18,11:00 AM,Group Play,LAFC So Cal ECNL G06/05,2,0,Eagles SC ECNL G06/05,Oak Park High School,Stadium,On Time,539003
2023-11-18,11:00 AM,Group Play,Legends FC ECNL G06/05,1,2,Beach FC ECNL G06/05,Silverlakes Complex,Field 6,On Time,539004
2023-11-19,08:00 AM,Group Play,SLAMMERS FC ECNL G06/05,5,1,Heat FC ECNL G06/05,Silverlakes Complex,Field 1,On Time,539016
2023-11-19,09:00 AM,Group Play,Sporting California USA ECNL G06,0,3,Beach FC ECNL G06/05,EL Camino College ,Stadium ,On Time,539017
2023-11-19,11:00 AM,Group Play,LA Breakers FC ECNL G06/05,3,0,Eagles SC ECNL G06/05,Silverlakes Soccer Complex,Field 8,On Time,539014
2023-11-19,11:00 AM,Group Play,Legends FC ECNL G06/05,1,0,Utah Royals FC-AZ ECNL G06/05,Silverlakes Complex,Field 6,On Time,539015
2024-03-10,10:00 AM,Group Play,Utah Royals FC-AZ ECNL G06/05,2,1,Heat FC ECNL G06/05,Reach 11 Sports Complex,Field 11,On Time,539026
2024-03-22,07:00 PM,Group Play,Beach FC ECNL G06/05,1,0,Utah Royals FC-AZ ECNL G06/05,SilverLakes,Field 1,On Time,539170
2024-03-23,12:30 PM,Group Play,LAFC So Cal ECNL G06/05,3,3,Beach FC ECNL G06/05,Silverlakes Sports Complex,Field 23,On Time,539029
2024-03-23,01:00 PM,Group Play,Utah Royals FC-AZ ECNL G06/05,0,1,Eagles SC ECNL G06/05,Silverlakes,Field 17,On Time,539032
2024-03-23,03:00 PM,Group Play,Legends FC ECNL G06/05,3,2,Slammers FC HB Koge ECNL G06/05,Silverlakes Complex,Field 1,On Time,539030
2024-03-23,03:00 PM,Group Play,Sporting California USA ECNL G06,0,3,LA Breakers FC ECNL G06/05,Silverlakes Soccer Complex,Field 7,On Time,539031
2024-03-24,09:00 AM,Group Play,Eagles SC ECNL G06/05,0,2,Arizona Arsenal ECNL G06/05,Silver Lakes Sports Park,Field 12,On Time,539042
2024-03-24,10:30 AM,Group Play,Heat FC ECNL G06/05,2,1,Sporting California USA ECNL G06,Silverlakes,Field 20,On Time,539043
2024-03-24,11:00 AM,Group Play,Beach FC ECNL G06/05,0,2,So Cal Blues ECNL G06/05,SilverLakes,Field 3,On Time,539041
2024-03-24,11:00 AM,Group Play,LA Breakers FC ECNL G06/05,4,0,Utah Royals FC-AZ ECNL G06/05,Silverlakes Soccer Complex,Field 10,On Time,539044
2024-03-30,11:00 AM,Group Play,LA Breakers FC ECNL G06/05,1,2,Beach FC ECNL G06/05,Bell Gardens Sports Center ,Field 3,On Time,539057
2024-03-30,11:00 AM,Group Play,Sporting California USA ECNL G06,1,2,SLAMMERS FC ECNL G06/05,Ralph M. Lewis Sports Complex,Field 5,On Time,539058
2024-03-30,01:00 PM,Group Play,Utah Royals FC-AZ ECNL G06/05,2,1,LAFC So Cal ECNL G06/05,Bell Road Sports Complex,Field 15,On Time,539059
2024-04-13,10:45 AM,Group Play,Beach FC ECNL G06/05,3,0,Phoenix Rising ECNL G06/05,El Camino College,Athletic Field,On Time,539068
2024-04-13,11:00 AM,Group Play,LA Breakers FC ECNL G06/05,5,0,Heat FC ECNL G06/05,Bell Gardens Sports Center ,Field 3,On Time,539070
2024-04-13,12:15 PM,Group Play,LAFC So Cal ECNL G06/05,2,1,SLAMMERS FC ECNL G06/05,Oak Park High School,Stadium,On Time,539071
2024-04-13,06:00 PM,Group Play,Eagles SC ECNL G06/05,1,0,Sporting California USA ECNL G06,Channel Islands High School,Stadium Field,On Time,539069
2024-04-14,10:00 AM,Group Play,Legends FC ECNL G06/05,3,0,Pateadores ECNL G06/05,Silverlakes Complex,Field 2,On Time,539084
2024-04-14,10:45 AM,Group Play,Beach FC ECNL G06/05,4,1,Heat FC ECNL G06/05,El Camino College,Athletic Field,On Time,539080
2024-04-14,11:00 AM,Group Play,LAFC So Cal ECNL G06/05,2,2,Sporting California USA ECNL G06,Oak Park High School,Stadium,On Time,539083
2024-04-14,01:30 PM,Group Play,LA Breakers FC ECNL G06/05,4,2,Phoenix Rising ECNL G06/05,West Los Angeles College,Field 1,On Time,539082
2024-04-14,06:00 PM,Group Play,Eagles SC ECNL G06/05,1,4,Slammers FC HB Koge ECNL G06/05,Hueneme High School,Stadium Field,On Time,539081
2024-04-20,08:30 AM,Group Play,Heat FC ECNL G06/05,0,7,Slammers FC HB Koge ECNL G06/05,Heritage Park Sports Complex,Field 11,On Time,539095
2024-04-20,09:00 AM,Group Play,Utah Royals FC-AZ ECNL G06/05,3,0,Sporting California USA ECNL G06,REATA,Field 20,On Time,539098
2024-04-20,10:15 AM,Group Play,SLAMMERS FC ECNL G06/05,0,0,Beach FC ECNL G06/05,Saddleback College,Turf Field,On Time,539097
2024-04-20,11:00 AM,Group Play,LAFC So Cal ECNL G06/05,4,0,Arizona Arsenal ECNL G06/05,Oak Park High School,Stadium,On Time,539096
2024-04-21,10:15 AM,Group Play,SLAMMERS FC ECNL G06/05,2,2,LA Breakers FC ECNL G06/05,Saddleback College,Turf Field,On Time,539108
2024-04-21,11:00 AM,Group Play,Utah Royals FC-AZ ECNL G06/05,2,3,Legends FC ECNL G06/05,Desert Sky,Field 3,On Time,539109
2024-04-21,04:15 PM,Group Play,Eagles SC ECNL G06/05,0,5,Beach FC ECNL G06/05,Rio Mesa High School,Stadium Field,On Time,539107
2024-04-27,08:00 AM,Group Play,SLAMMERS FC ECNL G06/05,0,1,So Cal Blues ECNL G06/05,Golden West College,Field 1,On Time,539119
2024-04-27,09:00 AM,Group Play,Beach FC ECNL G06/05,1,1,Legends FC ECNL G06/05,Long Beach State University,Training Field,On Time,539116
2024-04-27,09:00 AM,Group Play,Sporting California USA ECNL G06,3,0,Phoenix Rising ECNL G06/05,Mt. San Antonio College,Field 2,On Time,539120
2024-04-27,10:00 AM,Group Play,Eagles SC ECNL G06/05,2,2,Heat FC ECNL G06/05,Pleasant Valley Softball Field,Field 1,On Time,539117
2024-04-27,11:00 AM,Group Play,LAFC So Cal ECNL G06/05,0,2,LA Breakers FC ECNL G06/05,Oak Park High School,Stadium,On Time,539118
2024-04-28,08:00 AM,Group Play,SLAMMERS FC ECNL G06/05,5,0,Del Mar Sharks ECNL G06/05,Santiago High School (Garden Grove),Stadium,On Time,539135
2024-04-28,09:00 AM,Group Play,LAFC So Cal ECNL G06/05,4,1,Heat FC ECNL G06/05,Alemany High School ,Stadium - Turf,On Time,539133
2024-04-28,12:30 PM,Group Play,Legends FC ECNL G06/05,2,0,Rebels SC ECNL G06/05,Norco College,Field 1,On Time,539134
2024-04-28,01:00 PM,Group Play,Beach FC ECNL G06/05,0,1,San Diego Surf ECNL G06/05,El Camino College,Stadium,On Time,539131
2024-04-28,02:00 PM,Group Play,Eagles SC ECNL G06/05,2,3,LA Breakers FC ECNL G06/05,Pleasant Valley Fields,Field 11,On Time,539132
2024-05-04,09:00 AM,Group Play,Legends FC ECNL G06/05,4,2,LA Breakers FC ECNL G06/05,Silverlakes Complex,Field 2,On Time,539148
2024-05-04,09:00 AM,Group Play,Sporting California USA ECNL G06,0,5,San Diego Surf ECNL G06/05,Ralph M. Lewis Sports Complex,Field 6,On Time,539149
2024-05-04,09:00 AM,Group Play,Utah Royals FC-AZ ECNL G06/05,1,0,Del Mar Sharks ECNL G06/05,Scottsdale Sports Complex,Field 1,On Time,539150
2024-05-04,10:30 AM,Group Play,Heat FC ECNL G06/05,1,1,SLAMMERS FC ECNL G06/05,Heritage Park Sports Complex,Field 7,On Time,539147
