date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2023-09-09,08:00 AM,Group Play,Slammers FC HB Koge ECNL G06/05,5,1,So Cal Blues ECNL G06/05,Orange County Great Park,Field 15,On Time,539609
2023-09-09,11:45 AM,Group Play,Del Mar Sharks ECNL G06/05,1,3,Pateadores ECNL G06/05,San Dieguito Academy,Field 1,On Time,539470
2023-09-10,11:45 AM,Group Play,Del Mar Sharks ECNL G06/05,0,6,Slammers FC HB Koge ECNL G06/05,San Dieguito Academy,Field 1,On Time,539476
2023-09-10,05:00 PM,Group Play,So Cal Blues ECNL G06/05,0,0,Pateadores ECNL G06/05,Tesoro High School,Stadium,On Time,539477
2023-09-16,10:00 AM,Group Play,Phoenix Rising ECNL G06/05,2,2,Pateadores ECNL G06/05,PRFC Youth Soccer Facility,Field 2,On Time,539483
2023-09-16,11:45 AM,Group Play,Del Mar Sharks ECNL G06/05,0,4,LAFC So Cal ECNL G06/05,San Dieguito Academy,Field 1,On Time,539482
2023-09-16,01:00 PM,Group Play,San Diego Surf ECNL G06/05,3,0,Legends FC ECNL G06/05,Surf Sports Park,Field 1,On Time,539484
2023-09-16,01:00 PM,Group Play,Eagles SC ECNL G06/05,0,4,So Cal Blues ECNL G06/05,Pleasant Valley Fields,Field 14,On Time,539485
2023-09-17,10:00 AM,Group Play,Phoenix Rising ECNL G06/05,1,3,SLAMMERS FC ECNL G06/05,PRFC Youth Soccer Facility,Field 1,On Time,539495
2023-09-17,11:45 AM,Group Play,Del Mar Sharks ECNL G06/05,0,3,Eagles SC ECNL G06/05,San Dieguito Academy,Field 1,On Time,539494
2023-09-17,06:00 PM,Group Play,So Cal Blues ECNL G06/05,2,2,LAFC So Cal ECNL G06/05,Tesoro High School,Stadium,On Time,539496
2023-09-23,09:00 AM,Group Play,San Diego Surf ECNL G06/05,3,1,Slammers FC HB Koge ECNL G06/05,Surf Sports Park,Field 2,On Time,539505
2023-09-23,12:00 PM,Group Play,Arizona Arsenal ECNL G06/05,5,2,Phoenix Rising ECNL G06/05,Legacy Sports Park,Field 5,On Time,539503
2023-09-23,05:30 PM,Group Play,Rebels SC ECNL G06/05,4,0,Del Mar Sharks ECNL G06/05,Monte Vista High School,Stadium,On Time,539504
2023-09-24,09:00 AM,Group Play,San Diego Surf ECNL G06/05,8,0,Del Mar Sharks ECNL G06/05,Surf Sports Park,Field 2,On Time,539513
