rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Solar SC ECNL G06/05,Solar SC,11423,15,13,0,2,41,2.73,57,15,42
2,FC Dallas ECNL G06/05,FC Dallas Youth,46784,15,12,1,2,38,2.53,54,10,44
3,Colorado Rapids ECNL G06/05,Colorado Storm,21349,15,9,2,4,31,2.07,38,18,20
4,OK Energy FC ECNL G06/05,Oklahoma Energy FC,59505,15,9,3,3,30,2.0,39,19,20
5,Real Colorado National ECNL G06/05,Real Colorado,45855,15,9,5,1,28,1.87,29,14,15
6,Sting Dallas Black ECNL G06/05,Sting Soccer Club,20412,15,7,4,4,25,1.67,40,21,19
7,DKSC ECNL G06/05,No Club Selection,19628,15,7,7,1,22,1.47,15,25,-10
8,Sting Dallas Royal ECNL G06/05,Sting Soccer Club,46274,14,6,6,2,20,1.43,20,18,2
9,Tulsa SC ECNL G06/05,No Club Selection,20413,15,6,7,2,20,1.33,30,31,-1
10,Challenge SC ECNL G06/05,Challenge SC,20382,14,5,7,2,17,1.21,27,29,-2
11,Dallas Texans ECNL G06/05,Dallas Texans,12268,14,5,7,2,17,1.21,18,31,-13
12,Albion Hurricanes FC ECNL G06/05,Albion Hurricanes FC,20381,15,5,8,2,17,1.13,13,30,-17
13,Classics Elite ECNL G06/05,Classics Elite Soccer Academy,20383,15,3,11,1,10,0.67,21,49,-28
14,Real Colorado Athletico ECNL G06/05,Real Colorado,46445,14,2,10,2,8,0.57,11,37,-26
15,Pride SC ECNL G06/05,No Club Selection,35222,15,2,12,1,7,0.47,10,40,-30
16,Sting Austin ECNL G06/05,Sting Austin,20411,15,1,11,3,6,0.4,5,40,-35
