date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2023-08-26,11:00 AM,Group Play,FC Dallas ECNL G07,5,1,Tulsa SC ECNL G07,Toyota Soccer Center,Field 6,On Time,499909
2023-08-27,11:15 AM,Group Play,Real Colorado Athletico ECNL G07,0,2,Colorado Rapids ECNL G07,Real Colorado Soccer Complex,RCSC Grass,On Time,499913
2023-08-27,01:00 PM,Group Play,Pride SC ECNL G07,0,5,Real Colorado National ECNL G07,Pride Soccer Complex,Field 2,On Time,499917
2023-09-02,10:00 AM,Group Play,Pride SC ECNL G07,2,1,Dallas Texans ECNL G07,Pride Soccer Complex,Field 1,On Time,499937
2023-09-02,01:00 PM,Group Play,Sting Austin ECNL G07,0,2,Tulsa SC ECNL G07,Parkway Church,Field 1,On Time,499925
2023-09-02,01:00 PM,Group Play,Classics Elite ECNL G07,2,2,OK Energy FC ECNL G07,CE Soccer Complex,Field 4,On Time,499929
2023-09-02,01:30 PM,Group Play,Real Colorado Athletico ECNL G07,0,5,FC Dallas ECNL G07,Highland Heritage Regional Park,HHRP West,On Time,499921
2023-09-02,01:30 PM,Group Play,Real Colorado National ECNL G07,4,2,Challenge SC ECNL G07,Real Colorado Soccer Complex,RCSC Grass,On Time,499933
2023-09-02,01:30 PM,Group Play,Colorado Rapids ECNL G07,1,0,Albion Hurricanes FC ECNL G07,Regis University,West Turf,On Time,499941
2023-09-03,10:00 AM,Group Play,Sting Austin ECNL G07,1,3,OK Energy FC ECNL G07,Bee Creek Sports Complex,Field 3,On Time,499949
2023-09-03,11:00 AM,Group Play,Real Colorado National ECNL G07,0,0,Albion Hurricanes FC ECNL G07,Real Colorado Soccer Complex,RCSC Grass,On Time,499957
2023-09-03,11:15 AM,Group Play,Real Colorado Athletico ECNL G07,2,1,Dallas Texans ECNL G07,DALRP,North,On Time,499945
2023-09-03,12:30 PM,Group Play,Colorado Rapids ECNL G07,0,1,Challenge SC ECNL G07,Regis University,Match Pitch,On Time,499965
2023-09-03,01:00 PM,Group Play,Classics Elite ECNL G07,1,7,Tulsa SC ECNL G07,CE Soccer Complex,Field 5,On Time,499953
