rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Solar SC ECNL G07,Solar SC,20122,15,15,0,0,45,3.0,81,3,78
2,FC Dallas ECNL G07,FC Dallas Youth,46783,15,14,1,0,42,2.8,65,7,58
3,Tulsa SC ECNL G07,No Club Selection,35234,15,11,2,2,35,2.33,35,15,20
4,Real Colorado National ECNL G07,Real Colorado,45854,15,10,4,1,31,2.07,48,23,25
5,OK Energy FC ECNL G07,Oklahoma Energy FC,59504,15,9,4,2,29,1.93,45,28,17
6,Sting Dallas Black ECNL G07,Sting Soccer Club,12441,15,8,5,2,26,1.73,26,26,0
7,DKSC ECNL G07,No Club Selection,35219,15,7,5,3,24,1.6,28,27,1
8,Sting Austin ECNL G07,Sting Austin,35232,15,7,6,2,23,1.53,30,23,7
9,Albion Hurricanes FC ECNL G07,Albion Hurricanes FC,35213,15,6,5,4,22,1.47,23,25,-2
10,Challenge SC ECNL G07,Challenge SC,35214,15,4,10,1,13,0.87,23,32,-9
11,Colorado Rapids ECNL G07,Colorado Storm,35218,15,4,10,1,13,0.87,13,41,-28
12,Sting Dallas Royal ECNL G07,Sting Soccer Club,45801,15,3,9,3,12,0.8,14,33,-19
13,Real Colorado Athletico ECNL G07,Real Colorado,46444,15,3,10,2,11,0.73,13,42,-29
14,Dallas Texans ECNL G07,Dallas Texans,45790,15,2,9,4,10,0.67,14,28,-14
15,Classics Elite ECNL G07,Classics Elite Soccer Academy,35215,15,2,12,1,7,0.47,15,69,-54
16,Pride SC ECNL G07,No Club Selection,35221,15,1,14,0,3,0.2,13,64,-51
