rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Richmond United ECNL G12,Richmond United,95419,22,15,0,7,52,2.36,56,9,47
2,Arlington Soccer ECNL G12,Arlington Soccer Association,94064,22,16,2,4,52,2.36,59,21,38
3,Charlotte SA ECNL G12,Charlotte Soccer Academy,94387,22,14,4,4,46,2.09,40,11,29
4,NVA ECNL G12,Northern Virginia Alliance,94585,22,13,4,5,44,2.0,37,15,22
5,Fairfax Virginia Union ECNL G12,Fairfax Virginia Union,96998,22,12,6,4,40,1.82,44,33,11
6,NC Courage ECNL G12,NC Courage Academy,89643,22,10,5,7,37,1.68,33,27,6
7,VDA ECNL G12,Virginia Development Academy,94863,22,7,9,6,27,1.23,23,22,1
8,NC Fusion ECNL G12,NC Fusion,95059,22,5,12,5,20,0.91,25,43,-18
9,Wilmington Hammerheads ECNL G12,Wilmington Hammerheads,89644,22,4,13,5,17,0.77,20,45,-25
10,Beach FC (VA) ECNL G12,No Club Selection,94924,22,1,11,10,13,0.59,15,32,-17
11,Charlotte Independence ECNL G12,Charlotte Independence SC,94899,22,3,15,4,13,0.59,15,49,-34
12,NCFC Youth ECNL G12,NCFC Youth,94046,22,0,19,3,3,0.14,6,66,-60
