date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2024-08-24,11:00 AM,Group Play,MVLA ECNL G12,10,1,Davis Legacy ECNL G12,Graham Middle School,Turf,On Time,644659
2024-08-24,11:00 AM,Group Play,Pleasanton RAGE ECNL G12,0,6,Placer United ECNL G12,Val Vista,Field 2,On Time,644941
2024-08-24,11:00 AM,Group Play,Mustang SC ECNL G12,4,1,San Juan SC ECNL G12,Provident Field @ MSC, Lower,On Time,645037
2024-08-24,12:40 PM,Group Play,Marin FC ECNL G12,0,3,Santa Rosa United ECNL G12 ,College of Marin,Stadium,On Time,645085
2024-09-07,09:00 AM,Group Play,Pleasanton RAGE ECNL G12,1,2,Davis Legacy ECNL G12,Val Vista,Field 2,On Time,644671
2024-09-07,09:00 AM,Group Play,Mustang SC ECNL G12,3,1,Marin FC ECNL G12,Provident Field @ MSC, Lower,On Time,644761
2024-09-07,09:00 AM,Group Play,Bay Area Surf ECNL G12,2,4,San Juan SC ECNL G12,Dolores Huerta Middle School,Field 1,On Time,645013
2024-09-07,01:00 PM,Group Play,De Anza Force ECNL G12,0,7,MVLA ECNL G12,De Anza College,Stadium Field,On Time,644863
2024-09-07,06:00 PM,Group Play,Placer United ECNL G12,2,1,Santa Rosa United ECNL G12 ,Mahany Park,Field 1,On Time,645103
2024-09-08,11:00 AM,Group Play,San Juan SC ECNL G12,3,0,Marin FC ECNL G12,San Juan Soccer Complex,Tiemann Law Firm Black Field,On Time,644785
2024-09-08,01:00 PM,Group Play,Santa Rosa United ECNL G12 ,5,0,De Anza Force ECNL G12,Trione Fields,Trione East,On Time,644737
2024-09-08,01:00 PM,Group Play,Placer United ECNL G12,0,0,MVLA ECNL G12,Del Oro High School,Stadium Field,On Time,644881
2024-09-08,02:00 PM,Group Play,Davis Legacy ECNL G12,0,7,Mustang SC ECNL G12,Davis Legacy Soccer Complex,Field 10,On Time,644803
2024-09-08,05:00 PM,Group Play,Bay Area Surf ECNL G12,3,0,Pleasanton RAGE ECNL G12,Ohlone College,Soccer Field,On Time,644959
2024-09-14,09:00 AM,Group Play,Marin FC ECNL G12,0,2,Placer United ECNL G12,College of Marin,Stadium,On Time,644923
2024-09-14,11:00 AM,Group Play,San Juan SC ECNL G12,0,0,Santa Rosa United ECNL G12 ,San Juan Soccer Complex,Tiemann Law Firm Black Field,On Time,645115
2024-09-14,12:30 PM,Group Play,MVLA ECNL G12,5,0,Pleasanton RAGE ECNL G12,Foothill College,Top Hill Soccer Field,On Time,644989
2024-09-14,02:00 PM,Group Play,Davis Legacy ECNL G12,0,3,Bay Area Surf ECNL G12,Davis Legacy Soccer Complex,Field 9,On Time,644581
2024-09-14,05:00 PM,Group Play,De Anza Force ECNL G12,0,5,Mustang SC ECNL G12,Kathleen MacDonald High School,Stadium,On Time,644809
2024-09-21,11:00 AM,Group Play,Mustang SC ECNL G12,6,3,Bay Area Surf ECNL G12,Provident Field @ MSC, Lower,On Time,644599
2024-09-21,11:00 AM,Group Play,MVLA ECNL G12,2,1,Santa Rosa United ECNL G12 ,Graham Middle School,Turf,On Time,645097
2024-09-21,01:00 PM,Group Play,De Anza Force ECNL G12,0,5,Placer United ECNL G12,De Anza College,Stadium Field,On Time,644917
2024-09-21,02:00 PM,Group Play,Davis Legacy ECNL G12,1,4,San Juan SC ECNL G12,Davis Legacy Soccer Complex,Field 9,On Time,645019
2024-09-21,04:00 PM,Group Play,Marin FC ECNL G12,0,0,Pleasanton RAGE ECNL G12,College of Marin,Stadium,On Time,644977
2024-09-28,11:00 AM,Group Play,Placer United ECNL G12,3,0,Davis Legacy ECNL G12,Whitney High School,Stadium,On Time,644665
2024-09-28,11:00 AM,Group Play,Bay Area Surf ECNL G12,4,2,Marin FC ECNL G12,Skyline College,Lower Football Field,On Time,644743
2024-09-28,11:00 AM,Group Play,San Juan SC ECNL G12,1,2,MVLA ECNL G12,San Juan Soccer Complex,Tiemann Law Firm Black Field,On Time,644893
2024-09-28,01:00 PM,Group Play,Pleasanton RAGE ECNL G12,0,2,De Anza Force ECNL G12,Bernal Sports Complex,East Field,On Time,644725
2024-09-29,01:00 PM,Group Play,Mustang SC ECNL G12,10,2,Santa Rosa United ECNL G12 ,Provident Field @ MSC, Upper,On Time,644845
2024-10-05,09:00 AM,Group Play,MVLA ECNL G12,8,0,De Anza Force ECNL G12,Graham Middle School,Turf,On Time,644713
2024-10-05,12:50 PM,Group Play,Marin FC ECNL G12,0,8,Mustang SC ECNL G12,College of Marin,Stadium,On Time,644815
2024-10-05,01:00 PM,Group Play,Santa Rosa United ECNL G12 ,2,2,Placer United ECNL G12,Trione Fields,Trione West,On Time,644953
2024-10-05,02:00 PM,Group Play,Davis Legacy ECNL G12,4,1,Pleasanton RAGE ECNL G12,Davis Legacy Soccer Complex,Field 9,On Time,644965
2024-10-19,09:00 AM,Group Play,MVLA ECNL G12,0,1,Mustang SC ECNL G12,Graham Middle School,Turf,On Time,644821
2024-10-19,09:00 AM,Group Play,Bay Area Surf ECNL G12,0,2,Placer United ECNL G12,Skyline College,Lower Football Field,On Time,644905
2024-10-19,01:00 PM,Group Play,De Anza Force ECNL G12,0,7,San Juan SC ECNL G12,Lynbrook High School,Field 1,On Time,645025
2024-10-19,01:00 PM,Group Play,Pleasanton RAGE ECNL G12,0,2,Santa Rosa United ECNL G12 ,Stanford Sports Complex,West,On Time,645109
2024-10-19,02:40 PM,Group Play,Marin FC ECNL G12,1,1,Davis Legacy ECNL G12,College of Marin,Stadium,On Time,644647
2024-10-26,09:00 AM,Group Play,Bay Area Surf ECNL G12,4,0,Santa Rosa United ECNL G12 ,Ohlone College,Soccer Field,On Time,645067
2024-10-26,11:00 AM,Group Play,Mustang SC ECNL G12,4,1,Placer United ECNL G12,Provident Field @ MSC, Lower,On Time,644929
