date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2025-02-08,07:40 PM,Group Play,Racing Louisville Academy ECNL G07/06,2,2,FC Pride Elite ECNL G07/06,Lynn Family Sports Vision & Training Facility,Field 3,On Time,656383
2025-02-15,03:00 PM,Group Play,Racing Louisville Academy ECNL G07/06,2,0,Ohio Elite Soccer Academy ECNL G07/06,Lynn Family Sports Vision & Training Facility,Field 3,On Time,656347
2025-02-22,11:00 AM,Group Play,Tennessee SC ECNL G07/06,1,0,WNY Flash ECNL G07/06,Richard Siegel Soccer Complex,Field 7,On Time,656591
2025-02-22,02:30 PM,Group Play,FC Alliance ECNL G07/06,0,2,Pittsburgh Riverhounds ECNL G07/06,Hardin Valley Academy Stadium,Field 1,On Time,656523
2025-02-23,10:00 AM,Group Play,Tennessee SC ECNL G07/06,0,1,Pittsburgh Riverhounds ECNL G07/06,Richard Siegel Soccer Complex,Field 7,On Time,656539
2025-02-23,10:45 AM,Group Play,FC Alliance ECNL G07/06,3,3,WNY Flash ECNL G07/06,Hardin Valley Academy Stadium,Field 1,On Time,656575
2025-02-23,04:30 PM,Group Play,Ohio Elite Soccer Academy ECNL G07/06,1,0,FC Pride Elite ECNL G07/06,Seven Hills School,Lower Field,On Time,656379
2025-03-02,02:00 PM,Group Play,Kings Hammer SC ECNL G07/06,0,4,Ohio Premier ECNL G07/06,Dixie High School,Field 1,On Time,656487
2025-03-08,09:00 AM,Group Play,FC Pride Elite ECNL G07/06,1,2,Ohio Premier ECNL G07/06,Pride Performance Center (Turf),Field 1,On Time,656479
2025-03-08,01:00 PM,Group Play,Indy Eleven Pro Academy ECNL G07,4,1,Kings Hammer SC ECNL G07/06,Grand Park,Field 3,On Time,656459
2025-03-08,02:30 PM,Group Play,Ohio Elite Soccer Academy ECNL G07/06,0,2,Tennessee SC ECNL G07/06,Seven Hills School,Lower Field,On Time,656547
2025-03-08,03:00 PM,Group Play,Racing Louisville Academy ECNL G07/06,6,0,FC Alliance ECNL G07/06,Lynn Family Sports Vision & Training Facility,Field 3,On Time,656371
2025-03-09,02:30 PM,Group Play,Ohio Elite Soccer Academy ECNL G07/06,2,0,FC Alliance ECNL G07/06,Seven Hills School,Lower Field,On Time,656351
2025-03-09,03:00 PM,Group Play,Racing Louisville Academy ECNL G07/06,0,3,Tennessee SC ECNL G07/06,Lynn Family Sports Vision & Training Facility,Field 3,On Time,656567
2025-03-15,04:00 PM,Group Play,Kings Hammer SC ECNL G07/06,3,2,Cleveland Force SC ECNL G07/06,NKU Soccer Stadium,Field 1,On Time,656407
2025-03-16,03:30 PM,Group Play,Internationals SC ECNL G07/06,2,1,Pittsburgh Riverhounds ECNL G07/06,Pinnacle Sports,Field 1,On Time,656531
2025-03-22,09:00 AM,Group Play,FC Pride Elite ECNL G07/06,1,6,Internationals SC ECNL G07/06,Lawrence Central HS,Turf Field 1,On Time,656435
2025-03-22,11:00 AM,Group Play,Indy Eleven Pro Academy ECNL G07,2,2,Cleveland Force SC ECNL G07/06,Grand Park Event Center,Field 3,On Time,656399
2025-03-22,11:00 AM,Group Play,Tennessee SC ECNL G07/06,2,0,Kings Hammer SC ECNL G07/06,Richard Siegel Soccer Complex,Field 4,On Time,656467
2025-03-22,02:30 PM,Group Play,FC Alliance ECNL G07/06,0,5,Ohio Premier ECNL G07/06,Hardin Valley Academy Stadium,Field 1,On Time,656475
2025-03-22,02:30 PM,Group Play,Ohio Elite Soccer Academy ECNL G07/06,1,4,Pittsburgh Riverhounds ECNL G07/06,Seven Hills School,Lower Field,On Time,656519
2025-03-22,03:00 PM,Group Play,Racing Louisville Academy ECNL G07/06,3,4,WNY Flash ECNL G07/06,Lynn Family Sports Vision & Training Facility,Field 3,On Time,656587
2025-03-23,08:00 AM,Group Play,Tennessee SC ECNL G07/06,1,4,Ohio Premier ECNL G07/06,Richard Siegel Soccer Complex,Field 4,On Time,656495
2025-03-23,09:00 AM,Group Play,FC Pride Elite ECNL G07/06,2,1,Cleveland Force SC ECNL G07/06,Pride Performance Center (Turf),Field 1,On Time,656395
2025-03-23,01:00 PM,Group Play,Indy Eleven Pro Academy ECNL G07,3,4,Internationals SC ECNL G07/06,Grand Park,Field 3,On Time,656439
2025-03-23,02:30 PM,Group Play,FC Alliance ECNL G07/06,2,1,Kings Hammer SC ECNL G07/06,Hardin Valley Academy Stadium,Field 1,On Time,656451
2025-03-23,02:30 PM,Group Play,Ohio Elite Soccer Academy ECNL G07/06,2,5,WNY Flash ECNL G07/06,Seven Hills School,Lower Field,On Time,656571
2025-03-23,03:00 PM,Group Play,Racing Louisville Academy ECNL G07/06,2,1,Pittsburgh Riverhounds ECNL G07/06,Lynn Family Sports Vision & Training Facility,Field 3,On Time,656535
2025-03-29,04:00 PM,Group Play,Kings Hammer SC ECNL G07/06,0,8,Internationals SC ECNL G07/06,Warren County Sports Park,Field 5,On Time,656443
2025-04-12,10:00 AM,Group Play,Ohio Premier ECNL G07/06,1,1,Ohio Elite Soccer Academy ECNL G07/06,OP Training Facility,Field 1,On Time,656343
2025-04-12,02:00 PM,Group Play,Pittsburgh Riverhounds ECNL G07/06,3,2,FC Pride Elite ECNL G07/06,Montour Junction Sports Complex,Field 1,On Time,656387
2025-04-12,02:30 PM,Group Play,Internationals SC ECNL G07/06,6,0,FC Alliance ECNL G07/06,Pinnacle Sports,Field 1,On Time,656367
2025-04-12,02:30 PM,Group Play,WNY Flash ECNL G07/06,1,2,Indy Eleven Pro Academy ECNL G07,Flash Fields,Field A,On Time,656431
2025-04-12,03:00 PM,Group Play,Cleveland Force SC ECNL G07/06,3,4,Tennessee SC ECNL G07/06,Victory Park,Field 2,On Time,656555
2025-04-13,02:00 PM,Group Play,Pittsburgh Riverhounds ECNL G07/06,2,2,Indy Eleven Pro Academy ECNL G07,Highmark Stadium,Field 1,On Time,656427
2025-04-13,02:30 PM,Group Play,Cleveland Force SC ECNL G07/06,4,0,FC Alliance ECNL G07/06,Victory Park,Field 2,On Time,656359
2025-04-13,02:30 PM,Group Play,WNY Flash ECNL G07/06,2,0,FC Pride Elite ECNL G07/06,Flash Fields,Field A,On Time,656391
2025-04-13,02:30 PM,Group Play,Internationals SC ECNL G07/06,4,3,Tennessee SC ECNL G07/06,Pinnacle Sports,Field 1,On Time,656563
2025-04-19,01:00 PM,Group Play,Racing Louisville Academy ECNL G07/06,0,3,Indy Eleven Pro Academy ECNL G07,Lynn Family Sports Vision & Training Facility,Field 2,On Time,656423
2025-04-26,08:30 AM,Group Play,Pittsburgh Riverhounds ECNL G07/06,0,4,Ohio Premier ECNL G07/06,Montour Junction Sports Complex,Field 1,On Time,656491
2025-04-26,09:00 AM,Group Play,FC Pride Elite ECNL G07/06,7,0,FC Alliance ECNL G07/06,Pride Performance Center (Turf),Field 1,On Time,656355
2025-04-26,09:00 AM,Group Play,Indy Eleven Pro Academy ECNL G07,2,2,Tennessee SC ECNL G07/06,Grand Park,Field 10,On Time,656559
2025-04-26,12:00 PM,Group Play,Internationals SC ECNL G07/06,6,0,Racing Louisville Academy ECNL G07/06,Pinnacle Sports,Field 1,On Time,656507
2025-04-26,02:30 PM,Group Play,WNY Flash ECNL G07/06,2,1,Kings Hammer SC ECNL G07/06,Flash Fields,Field A,On Time,656471
2025-04-26,03:00 PM,Group Play,Cleveland Force SC ECNL G07/06,4,3,Ohio Elite Soccer Academy ECNL G07/06,Victory Park,Field 1,On Time,656331
2025-04-27,09:00 AM,Group Play,FC Pride Elite ECNL G07/06,2,2,Tennessee SC ECNL G07/06,Pride Performance Center (Turf),Field 1,On Time,656551
2025-04-27,11:00 AM,Group Play,Indy Eleven Pro Academy ECNL G07,11,0,FC Alliance ECNL G07/06,Grand Park,Field 31,On Time,656363
2025-04-27,02:00 PM,Group Play,Pittsburgh Riverhounds ECNL G07/06,3,0,Kings Hammer SC ECNL G07/06,Montour Junction Sports Complex,Field 1,On Time,656463
2025-04-27,02:30 PM,Group Play,Internationals SC ECNL G07/06,4,1,Ohio Elite Soccer Academy ECNL G07/06,Pinnacle Sports,Field 1,On Time,656335
2025-04-27,02:30 PM,Group Play,WNY Flash ECNL G07/06,0,4,Ohio Premier ECNL G07/06,Flash Fields,Field A,On Time,656499
2025-04-27,03:00 PM,Group Play,Cleveland Force SC ECNL G07/06,6,0,Racing Louisville Academy ECNL G07/06,Victory Park,Field 2,On Time,656503
2025-05-04,03:00 PM,Group Play,Racing Louisville Academy ECNL G07/06,0,7,Ohio Premier ECNL G07/06,Lynn Family Sports Vision & Training Facility,Field 1,On Time,656515
2025-05-04,03:00 PM,Group Play,Cleveland Force SC ECNL G07/06,0,3,Pittsburgh Riverhounds ECNL G07/06,Victory Park,Field 2,On Time,656527
2025-05-04,03:15 PM,Group Play,FC Pride Elite ECNL G07/06,7,2,Kings Hammer SC ECNL G07/06,Pride Performance Center (Turf),Field 1,On Time,656455
2025-05-04,03:30 PM,Group Play,Internationals SC ECNL G07/06,4,0,WNY Flash ECNL G07/06,Pinnacle Sports,Field 1,On Time,656583
2025-05-04,04:30 PM,Group Play,Ohio Elite Soccer Academy ECNL G07/06,0,2,Indy Eleven Pro Academy ECNL G07,Seven Hills School,Upper Field,On Time,656415
