rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Ohio Premier ECNL G07/06,Ohio Premier,33377,11,10,0,1,31,2.82,39,3,36
2,Internationals SC ECNL G07/06,Internationals SC,35240,11,10,1,0,30,2.73,52,13,39
3,Indy Eleven Pro Academy ECNL G07,Indy Eleven Academy,23407,11,6,2,3,21,1.91,35,13,22
4,Tennessee SC ECNL G07/06,Tennessee SC,35277,11,6,3,2,20,1.82,31,17,14
5,Pittsburgh Riverhounds ECNL G07/06,No Club Selection,35276,11,6,4,1,19,1.73,21,15,6
6,WNY Flash ECNL G07/06,WNY Flash Academy,35279,11,5,5,1,16,1.45,20,27,-7
7,Cleveland Force SC ECNL G07/06,Cleveland Force SC,46989,11,4,6,1,13,1.18,29,30,-1
8,FC Pride Elite ECNL G07/06,No Club Selection,92640,11,3,6,2,11,1.0,24,25,-1
9,Racing Louisville Academy ECNL G07/06,Racing Louisville Academy,45894,10,3,6,1,10,1.0,15,32,-17
10,Ohio Elite Soccer Academy ECNL G07/06,Ohio Elite Soccer Academy,35241,11,3,7,1,10,0.91,17,28,-11
11,FC Alliance ECNL G07/06,FC Alliance TN,35238,11,1,9,1,4,0.36,6,58,-52
12,Kings Hammer SC ECNL G07/06, Kings Hammer Columbus,47018,10,1,9,0,3,0.3,12,40,-28
