rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Indy Eleven Pro Academy ECNL G08,Indy Eleven Academy,46796,11,9,0,2,29,2.64,23,7,16
2,Ohio Elite Soccer Academy ECNL G08,Ohio Elite Soccer Academy,46798,11,8,1,2,26,2.36,26,12,14
3,Tennessee SC ECNL G08,Tennessee SC,46804,11,6,2,3,21,1.91,20,13,7
4,Cleveland Force SC ECNL G08,Cleveland Force SC,46988,11,6,4,1,19,1.73,22,15,7
5,FC Alliance ECNL G08,FC Alliance TN,46371,11,6,4,1,19,1.73,21,16,5
6,Racing Louisville Academy ECNL G08,Racing Louisville Academy,45893,11,4,3,4,16,1.45,21,18,3
7,Ohio Premier ECNL G08,Ohio Premier,46800,11,4,4,3,15,1.36,22,18,4
8,WNY Flash ECNL G08,WNY Flash Academy,12942,11,4,4,3,15,1.36,18,15,3
9,Kings Hammer SC ECNL G08, Kings Hammer Columbus,47017,11,2,6,3,9,0.82,9,15,-6
10,Internationals SC ECNL G08,Internationals SC,46797,11,2,8,1,7,0.64,13,26,-13
11,Pittsburgh Riverhounds ECNL G08,Pittsburgh Riverhounds,46802,11,2,9,0,6,0.55,7,31,-24
12,FC Pride Elite ECNL G08,No Club Selection,46794,11,1,9,1,4,0.36,14,30,-16
