date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2025-02-08,01:00 PM,Group Play,Racing Louisville Academy ECNL G10,1,7,FC Pride Elite ECNL G10,Lynn Family Sports Vision & Training Facility,Field 3,On Time,656386
2025-02-15,09:00 AM,Group Play,Racing Louisville Academy ECNL G10,1,2,Ohio Elite Soccer Academy ECNL G10,Lynn Family Sports Vision & Training Facility,Field 3,On Time,656350
2025-02-22,09:00 AM,Group Play,FC Alliance ECNL G10,2,4,Pittsburgh Riverhounds ECNL G10,Hardin Valley Academy Stadium,Field 1,On Time,656526
2025-02-22,09:00 AM,Group Play,Tennessee SC ECNL G10,0,2,WNY Flash ECNL G10,Richard Siegel Soccer Complex,Field 6,On Time,656594
2025-02-23,08:00 AM,Group Play,Tennessee SC ECNL G10,2,0,Pittsburgh Riverhounds ECNL G10,Richard Siegel Soccer Complex,Field 6,On Time,656542
2025-02-23,09:00 AM,Group Play,FC Alliance ECNL G10,1,5,WNY Flash ECNL G10,Hardin Valley Academy Stadium,Field 1,On Time,656578
2025-02-23,11:00 AM,Group Play,Ohio Elite Soccer Academy ECNL G10,0,3,FC Pride Elite ECNL G10,Seven Hills School,Lower Field,On Time,656382
2025-03-02,10:00 AM,Group Play,Kings Hammer SC ECNL G10,1,2,Ohio Premier ECNL G10,Dixie High School,Field 1,On Time,656490
2025-03-08,09:00 AM,Group Play,Racing Louisville Academy ECNL G10,2,1,FC Alliance ECNL G10,Lynn Family Sports Vision & Training Facility,Field 3,On Time,656374
2025-03-08,09:00 AM,Group Play,Indy Eleven Pro Academy ECNL G10,1,0,Kings Hammer SC ECNL G10,Grand Park,Field 3,On Time,656462
2025-03-08,09:00 AM,Group Play,Ohio Elite Soccer Academy ECNL G10,1,0,Tennessee SC ECNL G10,Seven Hills School,Lower Field,On Time,656550
2025-03-08,03:00 PM,Group Play,FC Pride Elite ECNL G10,3,1,Ohio Premier ECNL G10,Pride Performance Center (Turf),Field 1,On Time,656482
2025-03-09,09:00 AM,Group Play,Ohio Elite Soccer Academy ECNL G10,2,3,FC Alliance ECNL G10,Seven Hills School,Lower Field,On Time,656354
2025-03-09,09:00 AM,Group Play,Racing Louisville Academy ECNL G10,0,2,Tennessee SC ECNL G10,Lynn Family Sports Vision & Training Facility,Field 3,On Time,656570
2025-03-15,10:00 AM,Group Play,Kings Hammer SC ECNL G10,1,1,Cleveland Force SC ECNL G10,NKU Soccer Stadium,Field 1,On Time,656410
2025-03-16,10:00 AM,Group Play,Internationals SC ECNL G10,0,0,Pittsburgh Riverhounds ECNL G10,Pinnacle Sports,Field 1,On Time,656534
2025-03-22,09:00 AM,Group Play,Tennessee SC ECNL G10,5,0,Kings Hammer SC ECNL G10,Richard Siegel Soccer Complex,Field 1,On Time,656470
2025-03-22,09:00 AM,Group Play,FC Alliance ECNL G10,1,3,Ohio Premier ECNL G10,Hardin Valley Academy Stadium,Field 1,On Time,656478
2025-03-22,09:00 AM,Group Play,Ohio Elite Soccer Academy ECNL G10,0,0,Pittsburgh Riverhounds ECNL G10,Seven Hills School,Lower Field,On Time,656522
2025-03-22,09:00 AM,Group Play,Racing Louisville Academy ECNL G10,1,5,WNY Flash ECNL G10,Lynn Family Sports Vision & Training Facility,Field 3,On Time,656590
2025-03-22,01:00 PM,Group Play,Indy Eleven Pro Academy ECNL G10,3,1,Cleveland Force SC ECNL G10,Grand Park,Field 2,On Time,656402
2025-03-22,03:00 PM,Group Play,FC Pride Elite ECNL G10,1,1,Internationals SC ECNL G10,Lawrence Central HS,Turf Field 1,On Time,656438
2025-03-23,08:00 AM,Group Play,Tennessee SC ECNL G10,0,1,Ohio Premier ECNL G10,Richard Siegel Soccer Complex,Field 1,On Time,656498
2025-03-23,09:00 AM,Group Play,FC Alliance ECNL G10,1,0,Kings Hammer SC ECNL G10,Hardin Valley Academy Stadium,Field 1,On Time,656454
2025-03-23,09:00 AM,Group Play,Racing Louisville Academy ECNL G10,0,2,Pittsburgh Riverhounds ECNL G10,Lynn Family Sports Vision & Training Facility,Field 3,On Time,656538
2025-03-23,09:00 AM,Group Play,Ohio Elite Soccer Academy ECNL G10,0,2,WNY Flash ECNL G10,Seven Hills School,Lower Field,On Time,656574
2025-03-23,03:00 PM,Group Play,FC Pride Elite ECNL G10,1,0,Cleveland Force SC ECNL G10,Pride Performance Center (Turf),Field 1,On Time,656398
2025-03-23,03:00 PM,Group Play,Indy Eleven Pro Academy ECNL G10,1,2,Internationals SC ECNL G10,Grand Park,Field 3,On Time,656442
2025-03-29,10:00 AM,Group Play,Kings Hammer SC ECNL G10,0,2,Internationals SC ECNL G10,Warren County Sports Park,Field 5,On Time,656446
2025-04-12,08:30 AM,Group Play,Pittsburgh Riverhounds ECNL G10,0,2,FC Pride Elite ECNL G10,Montour Junction Sports Complex,Field 1,On Time,656390
2025-04-12,09:00 AM,Group Play,Internationals SC ECNL G10,4,0,FC Alliance ECNL G10,Pinnacle Sports,Field 1,On Time,656370
2025-04-12,09:00 AM,Group Play,WNY Flash ECNL G10,0,1,Indy Eleven Pro Academy ECNL G10,Flash Fields,Field A,On Time,656434
2025-04-12,09:00 AM,Group Play,Cleveland Force SC ECNL G10,0,2,Tennessee SC ECNL G10,Victory Park,Field 2,On Time,656558
2025-04-12,04:00 PM,Group Play,Ohio Premier ECNL G10,2,1,Ohio Elite Soccer Academy ECNL G10,OP Training Facility,Field 1,On Time,656346
2025-04-13,08:30 AM,Group Play,Pittsburgh Riverhounds ECNL G10,2,2,Indy Eleven Pro Academy ECNL G10,Highmark Stadium,Field 1,On Time,656430
2025-04-13,09:00 AM,Group Play,Cleveland Force SC ECNL G10,5,2,FC Alliance ECNL G10,Victory Park,Field 2,On Time,656362
2025-04-13,09:00 AM,Group Play,WNY Flash ECNL G10,2,0,FC Pride Elite ECNL G10,Flash Fields,Field A,On Time,656394
2025-04-13,09:00 AM,Group Play,Internationals SC ECNL G10,1,0,Tennessee SC ECNL G10,Pinnacle Sports,Field 1,On Time,656566
2025-04-19,09:00 AM,Group Play,Racing Louisville Academy ECNL G10,2,1,Indy Eleven Pro Academy ECNL G10,Lynn Family Sports Vision & Training Facility,Field 3,On Time,656426
2025-04-26,09:00 AM,Group Play,Cleveland Force SC ECNL G10,0,2,Ohio Elite Soccer Academy ECNL G10,Victory Park,Field 1,On Time,656334
2025-04-26,09:00 AM,Group Play,WNY Flash ECNL G10,5,1,Kings Hammer SC ECNL G10,Flash Fields,Field A,On Time,656474
2025-04-26,01:45 PM,Group Play,Internationals SC ECNL G10,3,2,Racing Louisville Academy ECNL G10,Pinnacle Sports,Field 1,On Time,656510
2025-04-26,02:15 PM,Group Play,Pittsburgh Riverhounds ECNL G10,0,4,Ohio Premier ECNL G10,Montour Junction Sports Complex,Field 1,On Time,656494
2025-04-26,03:00 PM,Group Play,FC Pride Elite ECNL G10,3,0,FC Alliance ECNL G10,Pride Performance Center (Turf),Field 1,On Time,656358
2025-04-26,03:00 PM,Group Play,Indy Eleven Pro Academy ECNL G10,1,0,Tennessee SC ECNL G10,Grand Park,Field 31,On Time,656562
2025-04-27,08:30 AM,Group Play,Pittsburgh Riverhounds ECNL G10,2,2,Kings Hammer SC ECNL G10,Montour Junction Sports Complex,Field 1,On Time,656466
2025-04-27,09:00 AM,Group Play,Internationals SC ECNL G10,1,2,Ohio Elite Soccer Academy ECNL G10,Pinnacle Sports,Field 1,On Time,656338
2025-04-27,09:00 AM,Group Play,WNY Flash ECNL G10,2,1,Ohio Premier ECNL G10,Flash Fields,Field A,On Time,656502
