date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2025-06-26,08:40 AM,Bracket,Penn Fusion SA ECNL G07/06,3,2,United Futbol Academy ECNL G07/06,Surf Sports Park,Field 16,On Time,795516
2025-06-26,08:40 AM,Bracket,Michigan Hawks ECNL G07/06,2,3,La Roca FC ECNL G07/06,Surf Sports Park,Field 17,On Time,795517
2025-06-26,08:40 AM,Bracket,Beach FC (CA) ECNL G07/06,1,1,FC Dallas ECNL G07/06,Surf Sports Park,Field 15,On Time,795520
2025-06-26,08:40 AM,Bracket,Bay Area Surf ECNL G07/06,2,2,Internationals SC ECNL G07/06,Surf Sports Park,Field 18,On Time,795521
2025-06-26,10:30 AM,Bracket,FC Stars Blue ECNL G07/06,3,0,Concorde Fire Platinum ECNL G08/07,Surf Sports Park,Field 16,On Time,795514
2025-06-26,10:30 AM,Bracket,VDA ECNL G07/06,3,2,Legends FC ECNL G07/06,Surf Sports Park,Field 17,On Time,795515
2025-06-26,10:30 AM,Bracket,Ohio Premier ECNL G06/07,0,1,Slammers FC HB Koge ECNL G07/06,Surf Sports Park,Field 15,On Time,795518
2025-06-26,10:30 AM,Bracket,SOLAR SC ECNL G07/06,4,1,SLSG Navy ECNL G06/07,Surf Sports Park,Field 18,On Time,795519
2025-06-27,10:10 AM,Bracket,Slammers FC HB Koge ECNL G07/06,2,0,SOLAR SC ECNL G07/06,Surf Sports Park,Field 12,On Time,795524
2025-06-27,10:10 AM,Bracket,Ohio Premier ECNL G06/07,0,3,SLSG Navy ECNL G06/07,Surf Sports Park,Field 10,On Time,795531
2025-06-27,10:10 AM,Bracket,Beach FC (CA) ECNL G07/06,2,2,Internationals SC ECNL G07/06,Surf Sports Park,Field 11,On Time,795532
2025-06-27,10:30 AM,Bracket,FC Dallas ECNL G07/06,1,1,Bay Area Surf ECNL G07/06,Surf Sports Park,Field 13,On Time,795525
2025-06-27,12:00 PM,Bracket,FC Stars Blue ECNL G07/06,2,1,VDA ECNL G07/06,Surf Sports Park,Field 10,On Time,795522
2025-06-27,12:00 PM,Bracket,Penn Fusion SA ECNL G07/06,3,2,La Roca FC ECNL G07/06,Surf Sports Park,Field 11,On Time,795523
2025-06-27,12:00 PM,Bracket,Concorde Fire Platinum ECNL G08/07,1,3,Legends FC ECNL G07/06,Surf Sports Park,Field 12,On Time,795529
2025-06-27,12:20 PM,Bracket,United Futbol Academy ECNL G07/06,1,0,Michigan Hawks ECNL G07/06,Surf Sports Park,Field 13,On Time,795530
2025-06-29,08:00 AM,Bracket,SLSG Navy ECNL G06/07,3,2,Internationals SC ECNL G07/06,Surf Sports Park,Field 15,On Time,795534
2025-06-29,08:20 AM,Bracket,Slammers FC HB Koge ECNL G07/06,2,1,FC Dallas ECNL G07/06,Surf Sports Park,Field 10,On Time,795527
2025-06-29,08:20 AM,Bracket,VDA ECNL G07/06,2,1,La Roca FC ECNL G07/06,Surf Sports Park,Field 07,On Time,795536
2025-06-29,08:40 AM,Bracket,Legends FC ECNL G07/06,1,1,United Futbol Academy ECNL G07/06,Surf Sports Park,Field 14,On Time,795533
2025-06-29,08:40 AM,Bracket,SOLAR SC ECNL G07/06,3,1,Bay Area Surf ECNL G07/06,Surf Sports Park,Field 16,On Time,795537
2025-06-29,08:40 AM,Bracket,Concorde Fire Platinum ECNL G08/07,1,3,Michigan Hawks ECNL G07/06,Surf Sports Park,Field 17,On Time,795538
2025-06-29,08:40 AM,Bracket,Ohio Premier ECNL G06/07,1,1,Beach FC (CA) ECNL G07/06,Surf Sports Park,Field 18,On Time,795539
2025-06-29,11:00 AM,Bracket,FC Stars Blue ECNL G07/06,2,3,Penn Fusion SA ECNL G07/06,Surf Sports Park,Field 10,On Time,795526
2025-07-01,10:30 AM,Bracket,Penn Fusion SA ECNL G07/06,0,2,Slammers FC HB Koge ECNL G07/06,Surf Sports Park,Field 13,On Time,795528
