date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2025-06-26,08:20 AM,Group Play,XF Academy ECNL G08,6,2,Pipeline SC ECNL G08,Surf Sports Park,Field 08,On Time,795337
2025-06-26,08:20 AM,Group Play,Nationals ECNL G08,2,0,Scorpions SC ECNL G08,Surf Sports Park,Field 09,On Time,795338
2025-06-26,08:20 AM,Group Play,Slammers FC HB Koge ECNL G08,2,1,FC Stars Blue ECNL G08,Surf Sports Park,Field 10,On Time,795343
2025-06-26,08:20 AM,Group Play,Gretna Elite Academy ECNL G08,1,2,GSA ECNL G08,Surf Sports Park,Field 11,On Time,795344
2025-06-26,08:20 AM,Group Play,SLSG Navy ECNL G08,3,1,Charlotte SA ECNL G08,Surf Sports Park,Field 12,On Time,795391
2025-06-26,10:10 AM,Group Play,NC Courage ECNL G08,1,1,So Cal Blues ECNL G08,Surf Sports Park,Field 10,On Time,795361
2025-06-26,10:10 AM,Group Play,De Anza Force ECNL G08,2,0,Florida Krush ECNL G08,Surf Sports Park,Field 11,On Time,795362
2025-06-26,10:10 AM,Group Play,Ohio Elite SA ECNL G08,2,1,Colorado Rush Academy ECNL G08 ,Surf Sports Park,Field 12,On Time,795392
2025-06-26,11:40 AM,Group Play,MVLA ECNL G08,1,3,Legends FC ECNL G08,Surf Sports Park,Field 05,On Time,795373
2025-06-26,12:00 PM,Group Play,Michigan Hawks ECNL G08,4,0,Tennessee SC ECNL G08,Surf Sports Park,Field 10,On Time,795331
2025-06-26,12:00 PM,Group Play,Richmond United ECNL G08,2,5,PDA Blue ECNL G2008,Surf Sports Park,Field 11,On Time,795332
2025-06-26,12:00 PM,Group Play,FC Prime ECNL G08,5,2,Rebels SC ECNL G08,Surf Sports Park,Field 12,On Time,795355
2025-06-26,12:00 PM,Group Play,Indy Eleven Pro Academy ECNL G08,2,1,Alabama FC ECNL G08,Surf Sports Park,Field 08,On Time,795379
2025-06-26,12:00 PM,Group Play,Eagles SC ECNL G08,2,0,FC Dallas ECNL G08,Surf Sports Park,Field 09,On Time,795380
2025-06-26,12:20 PM,Group Play,Penn Fusion SA ECNL G08,14,0,Tampa Bay United ECNL G08,Surf Sports Park,Field 15,On Time,795349
2025-06-26,12:20 PM,Group Play,San Diego Surf ECNL G08,6,1,Sporting Blue Valley ECNL G08,Surf Sports Park,Field 16,On Time,795350
2025-06-26,12:20 PM,Group Play,SOLAR SC ECNL G08,2,2,Bay Area Surf ECNL G08,Surf Sports Park,Field 13,On Time,795356
2025-06-26,01:30 PM,Group Play,VDA ECNL G08,3,0,Sting Austin ECNL G08,Surf Sports Park,Field 03,On Time,795374
2025-06-26,03:20 PM,Group Play,World Class FC ECNL G08,2,0,Oregon Surf ECNL G08,Surf Sports Park,Field 04,On Time,795385
2025-06-26,03:20 PM,Group Play,Real Colorado National ECNL G08,3,0,Minnesota Thunder ECNL G08,Surf Sports Park,Field 05,On Time,795397
2025-06-26,03:20 PM,Group Play,SLAMMERS FC ECNL G08,2,0,SUSA FC ECNL G08,Surf Sports Park,Field 06,On Time,795398
2025-06-26,03:40 PM,Group Play,Sting Black ECNL G08,3,0,Portland Thorns ECNL G08,Surf Sports Park,Field 10,On Time,795367
2025-06-26,03:40 PM,Group Play,Concorde Fire Premier ECNL G08,2,0,Beach FC (CA) ECNL G08,Surf Sports Park,Field 11,On Time,795368
2025-06-26,03:40 PM,Group Play,Bethesda SC ECNL G08,5,0,Cleveland Force SC ECNL G08,Surf Sports Park,Field 08,On Time,795386
2025-06-27,08:00 AM,Group Play,Rebels SC ECNL G08,0,7,SOLAR SC ECNL G08,Surf Sports Park,Field 02,On Time,795357
2025-06-27,08:00 AM,Group Play,Bay Area Surf ECNL G08,2,4,FC Prime ECNL G08,Surf Sports Park,Field 01,On Time,795358
2025-06-27,08:00 AM,Group Play,Charlotte SA ECNL G08,4,7,Ohio Elite SA ECNL G08,Surf Sports Park,Field 05,On Time,795393
2025-06-27,08:00 AM,Group Play,Colorado Rush Academy ECNL G08 ,2,3,SLSG Navy ECNL G08,Surf Sports Park,Field 06,On Time,795394
2025-06-27,08:20 AM,Group Play,PDA Blue ECNL G2008,2,2,Michigan Hawks ECNL G08,Surf Sports Park,Field 12,On Time,795334
2025-06-27,08:20 AM,Group Play,So Cal Blues ECNL G08,0,1,De Anza Force ECNL G08,Surf Sports Park,Field 09,On Time,795363
2025-06-27,08:20 AM,Group Play,Florida Krush ECNL G08,0,1,NC Courage ECNL G08,Surf Sports Park,Field 11,On Time,795364
2025-06-27,08:20 AM,Group Play,Beach FC (CA) ECNL G08,0,3,Sting Black ECNL G08,Surf Sports Park,Field 07,On Time,795370
2025-06-27,08:40 AM,Group Play,Tennessee SC ECNL G08,3,1,Richmond United ECNL G08,Surf Sports Park,Field 13,On Time,795333
2025-06-27,08:40 AM,Group Play,GSA ECNL G08,0,5,Slammers FC HB Koge ECNL G08,Surf Sports Park,Field 14,On Time,795346
2025-06-27,08:40 AM,Group Play,Legends FC ECNL G08,1,2,VDA ECNL G08,Surf Sports Park,Field 16,On Time,795375
2025-06-27,08:40 AM,Group Play,Sting Austin ECNL G08,3,2,MVLA ECNL G08,Surf Sports Park,Field 17,On Time,795376
2025-06-27,08:40 AM,Group Play,Alabama FC ECNL G08,0,5,Eagles SC ECNL G08,Surf Sports Park,Field 15,On Time,795381
2025-06-27,08:40 AM,Group Play,FC Dallas ECNL G08,4,1,Indy Eleven Pro Academy ECNL G08,Surf Sports Park,Field 18,On Time,795382
2025-06-27,10:10 AM,Group Play,Portland Thorns ECNL G08,1,2,Concorde Fire Premier ECNL G08,Surf Sports Park,Field 07,On Time,795369
2025-06-27,10:30 AM,Group Play,FC Stars Blue ECNL G08,0,1,Gretna Elite Academy ECNL G08,Surf Sports Park,Field 14,On Time,795345
2025-06-27,12:00 PM,Group Play,Cleveland Force SC ECNL G08,0,5,World Class FC ECNL G08,Surf Sports Park,Field 07,On Time,795388
2025-06-27,12:20 PM,Group Play,Pipeline SC ECNL G08,1,4,Nationals ECNL G08,Surf Sports Park,Field 15,On Time,795339
2025-06-27,12:20 PM,Group Play,Scorpions SC ECNL G08,0,4,XF Academy ECNL G08,Surf Sports Park,Field 18,On Time,795340
2025-06-27,12:20 PM,Group Play,Oregon Surf ECNL G08,2,7,Bethesda SC ECNL G08,Surf Sports Park,Field 14,On Time,795387
2025-06-27,01:50 PM,Group Play,Tampa Bay United ECNL G08,0,2,San Diego Surf ECNL G08,Surf Sports Park,Field 10,On Time,795351
2025-06-27,01:50 PM,Group Play,Sporting Blue Valley ECNL G08,0,4,Penn Fusion SA ECNL G08,Surf Sports Park,Field 11,On Time,795352
2025-06-27,01:50 PM,Group Play,Minnesota Thunder ECNL G08,1,2,SLAMMERS FC ECNL G08,Surf Sports Park,Field 08,On Time,795399
2025-06-27,01:50 PM,Group Play,SUSA FC ECNL G08,0,3,Real Colorado National ECNL G08,Surf Sports Park,Field 07,On Time,795400
2025-06-29,08:00 AM,Group Play,Cleveland Force SC ECNL G08,2,0,Oregon Surf ECNL G08,Surf Sports Park,Field 02,On Time,795389
2025-06-29,08:00 AM,Group Play,World Class FC ECNL G08,2,3,Bethesda SC ECNL G08,Surf Sports Park,Field 05,On Time,795390
2025-06-29,08:20 AM,Group Play,Florida Krush ECNL G08,2,5,So Cal Blues ECNL G08,Surf Sports Park,Field 09,On Time,795365
2025-06-29,08:20 AM,Group Play,NC Courage ECNL G08,1,0,De Anza Force ECNL G08,Surf Sports Park,Field 08,On Time,795366
2025-06-29,08:20 AM,Group Play,SUSA FC ECNL G08,0,3,Minnesota Thunder ECNL G08,Surf Sports Park,Field 12,On Time,795401
2025-06-29,08:20 AM,Group Play,Real Colorado National ECNL G08,1,1,SLAMMERS FC ECNL G08,Surf Sports Park,Field 11,On Time,795402
2025-06-29,10:00 AM,Group Play,Scorpions SC ECNL G08,1,0,Pipeline SC ECNL G08,Surf Sports Park,Field 02,On Time,795341
2025-06-29,10:00 AM,Group Play,XF Academy ECNL G08,4,0,Nationals ECNL G08,Surf Sports Park,Field 01,On Time,795342
2025-06-29,10:00 AM,Group Play,Colorado Rush Academy ECNL G08 ,2,2,Charlotte SA ECNL G08,Surf Sports Park,Field 04,On Time,795395
