date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2025-06-26,08:40 AM,Bracket,Pateadores ECNL G09,0,1,CESA Liberty ECNL G09,Surf Sports Park,Field 13,On Time,795299
2025-06-26,10:30 AM,Bracket,LV Heat Surf ECNL G09,6,2,Scorpions SC ECNL G09,Surf Sports Park,Field D,On Time,795293
2025-06-26,10:30 AM,Bracket,Kings Hammer SC ECNL G09,1,0,Oregon Surf ECNL G09,Surf Sports Park,Field 13,On Time,795300
2025-06-26,11:40 AM,Bracket,Pipeline SC ECNL G09,2,0,Eastside FC ECNL G09,Surf Sports Park,Field B,On Time,795296
2025-06-26,12:00 PM,Bracket,NC Courage ECNL G09,1,2,Colorado Rapids ECNL G09,Surf Sports Park,Field C,On Time,795294
2025-06-26,12:20 PM,Bracket,Dallas Texans ECNL G09,2,3,Cleveland Force SC ECNL G09,Surf Sports Park,Field D,On Time,795295
2025-06-26,03:20 PM,Bracket,Marin FC ECNL G09,3,0,Sporting Blue Valley ECNL G09,Surf Sports Park,Field A,On Time,795297
2025-06-26,03:20 PM,Bracket,Alabama FC ECNL G09,0,1,Chicago Inter Soccer ECNL G09,Surf Sports Park,Field B,On Time,795298
2025-06-28,01:30 PM,Bracket,LV Heat Surf ECNL G09,1,0,Colorado Rapids ECNL G09,Surf Sports Park,Field 05,On Time,795301
2025-06-28,01:30 PM,Bracket,Cleveland Force SC ECNL G09,3,0,Pipeline SC ECNL G09,Surf Sports Park,Field 06,On Time,795302
2025-06-28,01:30 PM,Bracket,Scorpions SC ECNL G09,0,2,NC Courage ECNL G09,Surf Sports Park,Field 02,On Time,795308
2025-06-28,01:30 PM,Bracket,Dallas Texans ECNL G09,1,3,Eastside FC ECNL G09,Surf Sports Park,Field 04,On Time,795309
2025-06-28,02:10 PM,Bracket,Marin FC ECNL G09,1,1,Chicago Inter Soccer ECNL G09,Surf Sports Park,Field 15,On Time,795303
2025-06-28,02:10 PM,Bracket,CESA Liberty ECNL G09,2,1,Kings Hammer SC ECNL G09,Surf Sports Park,Field 16,On Time,795304
2025-06-28,02:10 PM,Bracket,Sporting Blue Valley ECNL G09,0,0,Alabama FC ECNL G09,Surf Sports Park,Field 17,On Time,795310
2025-06-28,02:10 PM,Bracket,Pateadores ECNL G09,4,0,Oregon Surf ECNL G09,Surf Sports Park,Field 18,On Time,795311
2025-06-29,02:00 PM,Bracket,Colorado Rapids ECNL G09,3,2,Pipeline SC ECNL G09,Surf Sports Park,Field 06,On Time,795315
2025-06-29,02:20 PM,Bracket,Chicago Inter Soccer ECNL G09,6,1,Kings Hammer SC ECNL G09,Surf Sports Park,Field 08,On Time,795316
2025-06-29,02:20 PM,Bracket,Scorpions SC ECNL G09,2,2,Dallas Texans ECNL G09,Surf Sports Park,Field 09,On Time,795317
2025-06-29,02:40 PM,Bracket,NC Courage ECNL G09,0,0,Eastside FC ECNL G09,Surf Sports Park,Field 14,On Time,795312
2025-06-29,02:40 PM,Bracket,Sporting Blue Valley ECNL G09,1,1,Pateadores ECNL G09,Surf Sports Park,Field 15,On Time,795313
2025-06-29,02:40 PM,Bracket,Alabama FC ECNL G09,1,1,Oregon Surf ECNL G09,Surf Sports Park,Field 18,On Time,795318
2025-06-29,04:20 PM,Bracket,LV Heat Surf ECNL G09,3,1,Cleveland Force SC ECNL G09,Surf Sports Park,Field 10,On Time,795305
2025-06-29,04:20 PM,Bracket,Marin FC ECNL G09,3,0,CESA Liberty ECNL G09,Surf Sports Park,Field 11,On Time,795306
2025-07-01,08:00 AM,Bracket,LV Heat Surf ECNL G09,3,3,Marin FC ECNL G09,Surf Sports Park,Field 11,On Time,795307
