date,time,type,homeTeam,homeScore,awayScore,awayTeam,complex,venue,status,matchID
2024-09-07,09:00 AM,Group Play,GSA ECNL G07/06,3,3,FL Premier FC ECNL G07/06,Rabbit Hill Park,Field 1,On Time,700360
2024-09-07,09:45 AM,Group Play,Concorde Fire Premier ECNL G07/06,3,3,Orlando City ECNL G07/06,Georgia Soccer Park,Field 1,On Time,700416
2024-09-07,11:00 AM,Group Play,South Carolina United ECNL G07/06,2,2,Florida West FC ECNL G07/06,Southeastern Freight Lines Complex,Stadium B,On Time,700380
2024-09-07,12:00 PM,Group Play,Concorde Fire Platinum ECNL G07/06,6,0,Tampa Bay United ECNL G07/06,Georgia Soccer Park,Field 3,On Time,700428
2024-09-07,01:00 PM,Group Play,Alabama FC ECNL G07/06,4,1,Florida Krush ECNL G07/06,Dunnavant Valley Fields (DVF),Field #1,On Time,700328
2024-09-07,01:00 PM,Group Play,Atlanta Fire United ECNL G07/06,3,0,Florida Elite ECNL G07/06,Notre Dame Academy,Turf,On Time,700344
2024-09-07,01:00 PM,Group Play,United Futbol Academy ECNL G07/06,1,0,Jacksonville FC ECNL G07/06,Fowler Park,Field 7,On Time,700404
2024-09-07,02:00 PM,Group Play,CESA Liberty ECNL G07/06,2,0,FC Prime ECNL G07/06,Mesa Soccer Complex,Field 19,On Time,700320
2024-09-08,09:00 AM,Group Play,Concorde Fire Premier ECNL G07/06,1,0,Florida Krush ECNL G07/06,Georgia Soccer Park,Field 1,On Time,700336
2024-09-08,09:00 AM,Group Play,Atlanta Fire United ECNL G07/06,2,3,Jacksonville FC ECNL G07/06,Pinecrest Academy,Turf,On Time,700392
2024-09-08,09:00 AM,Group Play,GSA ECNL G07/06,3,1,Tampa Bay United ECNL G07/06,Rabbit Hill Park,Field 1,On Time,700432
2024-09-08,10:00 AM,Group Play,South Carolina United ECNL G07/06,0,1,FC Prime ECNL G07/06,Southeastern Freight Lines Complex,Field 1,On Time,700324
2024-09-08,01:00 PM,Group Play,United Futbol Academy ECNL G07/06,6,0,Florida Elite ECNL G07/06,Fowler Park,Field 7,On Time,700352
2024-09-08,01:00 PM,Group Play,Concorde Fire Platinum ECNL G07/06,4,1,FL Premier FC ECNL G07/06,Georgia Sports Park ,Field 4,On Time,700356
2024-09-08,01:00 PM,Group Play,CESA Liberty ECNL G07/06,6,0,Florida West FC ECNL G07/06,Mesa Soccer Complex,Field 19,On Time,700372
2024-09-08,01:00 PM,Group Play,Alabama FC ECNL G07/06,0,1,Orlando City ECNL G07/06,Dunnavant Valley Fields (DVF),Field # 2,On Time,700408
2024-09-21,09:00 AM,Group Play,Tampa Bay United ECNL G07/06,3,2,Alabama FC ECNL G07/06,Ed Radice Sports Complex,Field 6,On Time,700292
2024-09-21,11:00 AM,Group Play,Florida Krush ECNL G07/06,2,4,Atlanta Fire United ECNL G07/06,Central Winds,Field C,On Time,700280
2024-09-21,11:00 AM,Group Play,Florida West FC ECNL G07/06,3,3,Concorde Fire Platinum ECNL G07/06,JetBlue Park,Field 1,On Time,700304
2024-09-21,11:00 AM,Group Play,FL Premier FC ECNL G07/06,4,1,Concorde Fire Premier ECNL G07/06,Starkey Ranch District Park,Field 3,On Time,700308
2024-09-21,11:00 AM,Group Play,Florida Elite ECNL G07/06,1,1,South Carolina United ECNL G07/06,Veterans Park,Field 1,On Time,700400
2024-09-21,11:30 AM,Group Play,FC Prime ECNL G07/06,4,3,GSA ECNL G07/06,Doral Academy Preparatory School,Stadium Field,On Time,700384
2024-09-21,12:30 PM,Group Play,Jacksonville FC ECNL G07/06,1,2,CESA Liberty ECNL G07/06,Patton Park,Field 2,On Time,702858
2024-09-21,01:00 PM,Group Play,Orlando City ECNL G07/06,0,2,United Futbol Academy ECNL G07/06,Seminole,Field 1,On Time,700440
2024-09-22,09:00 AM,Group Play,Tampa Bay United ECNL G07/06,2,1,Concorde Fire Premier ECNL G07/06,Ed Radice Sports Complex,Field 6,On Time,700312
2024-09-22,09:00 AM,Group Play,Florida West FC ECNL G07/06,0,3,GSA ECNL G07/06,JetBlue Park,Field 3,On Time,700388
2024-09-22,09:00 AM,Group Play,Florida Krush ECNL G07/06,1,2,United Futbol Academy ECNL G07/06,Central Winds,Field C,On Time,700436
2024-09-22,10:00 AM,Group Play,FL Premier FC ECNL G07/06,3,1,Alabama FC ECNL G07/06,Starkey Ranch District Park,Field 3,On Time,700288
2024-09-22,11:00 AM,Group Play,Orlando City ECNL G07/06,1,0,Atlanta Fire United ECNL G07/06,Seminole,Stadium Field,On Time,700284
2024-09-22,11:00 AM,Group Play,FC Prime ECNL G07/06,0,0,Concorde Fire Platinum ECNL G07/06,North Community Park,South,On Time,700300
2024-09-22,12:30 PM,Group Play,Jacksonville FC ECNL G07/06,4,2,South Carolina United ECNL G07/06,Patton Park,Field 3,On Time,700420
2024-09-22,01:00 PM,Group Play,Florida Elite ECNL G07/06,0,1,CESA Liberty ECNL G07/06,Veterans Park,Field 1,On Time,700296
2024-09-28,11:00 AM,Group Play,South Carolina United ECNL G07/06,2,2,Florida Krush ECNL G07/06,Southeastern Freight Lines Complex,Field 1,On Time,700340
2024-09-28,03:00 PM,Group Play,CESA Liberty ECNL G07/06,2,3,Orlando City ECNL G07/06,Mesa Soccer Complex,Field 4,On Time,700412
2024-09-29,09:00 AM,Group Play,South Carolina United ECNL G07/06,1,1,Orlando City ECNL G07/06,Southeastern Freight Lines Complex,Field 1,On Time,647965
2024-09-29,01:00 PM,Group Play,CESA Liberty ECNL G07/06,2,1,Florida Krush ECNL G07/06,Mesa Soccer Complex,Field 4,On Time,700332
2024-10-13,11:00 AM,Group Play,Atlanta Fire United ECNL G07/06,1,2,United Futbol Academy ECNL G07/06,Pinecrest Academy,Turf,On Time,648009
2024-10-19,08:30 AM,Group Play,Jacksonville FC ECNL G07/06,1,1,Concorde Fire Premier ECNL G07/06,Patton Park,Field 1,On Time,647817
2024-10-19,09:00 AM,Group Play,Florida Krush ECNL G07/06,1,2,GSA ECNL G07/06,Central Winds,Field C,On Time,647933
2024-10-19,11:00 AM,Group Play,FC Prime ECNL G07/06,1,3,Atlanta Fire United ECNL G07/06,University School ,Autonation,On Time,647721
2024-10-19,11:00 AM,Group Play,Florida West FC ECNL G07/06,0,4,United Futbol Academy ECNL G07/06,JetBlue Park,Field 2,On Time,648025
2024-10-19,01:00 PM,Group Play,Florida Elite ECNL G07/06,0,5,Alabama FC ECNL G07/06,Veterans Park,Field 1,On Time,647737
2024-10-19,01:00 PM,Group Play,Orlando City ECNL G07/06,0,4,Concorde Fire Platinum ECNL G07/06,Seminole,Field 2,On Time,647785
2024-10-20,09:00 AM,Group Play,Florida Krush ECNL G07/06,0,4,Concorde Fire Platinum ECNL G07/06,Central Winds,Field C,On Time,647781
2024-10-20,09:00 AM,Group Play,Florida Elite ECNL G07/06,1,2,Concorde Fire Premier ECNL G07/06,Veterans Park,Field 1,On Time,647809
2024-10-20,09:00 AM,Group Play,Orlando City ECNL G07/06,1,2,GSA ECNL G07/06,Seminole,Field 1,On Time,647937
2024-10-20,11:00 AM,Group Play,Florida West FC ECNL G07/06,0,4,Atlanta Fire United ECNL G07/06,JetBlue Park,Field 2,On Time,647725
2024-10-20,12:30 PM,Group Play,Jacksonville FC ECNL G07/06,3,1,Alabama FC ECNL G07/06,Patton Park,Stadium,On Time,647745
2024-10-20,01:00 PM,Group Play,FC Prime ECNL G07/06,0,2,United Futbol Academy ECNL G07/06,University School ,Autonation,On Time,648021
2024-10-26,11:00 AM,Group Play,United Futbol Academy ECNL G07/06,1,0,CESA Liberty ECNL G07/06,Fowler Park,Field 7,On Time,647769
2024-10-26,11:00 AM,Group Play,Concorde Fire Premier ECNL G07/06,3,1,Florida West FC ECNL G07/06,Georgia Sports Park ,Field 1,On Time,700376
2024-10-26,12:30 PM,Group Play,Jacksonville FC ECNL G07/06,3,0,FL Premier FC ECNL G07/06,Patton Park,Field 1,On Time,647889
2024-10-26,02:00 PM,Group Play,Florida Elite ECNL G07/06,1,1,Tampa Bay United ECNL G07/06,Veterans Park,Field 1,On Time,647993
2024-10-26,03:00 PM,Group Play,Atlanta Fire United ECNL G07/06,5,0,South Carolina United ECNL G07/06,Duluth High School,Turf,On Time,647973
2024-10-26,03:00 PM,Group Play,Alabama FC ECNL G07/06,2,1,FC Prime ECNL G07/06,Dunnavant Valley Fields (DVF),Field #1,On Time,700316
2024-10-27,09:00 AM,Group Play,Concorde Fire Premier ECNL G07/06,2,4,FC Prime ECNL G07/06,Georgia Sports Park ,Field 6,On Time,647825
2024-10-27,09:00 AM,Group Play,United Futbol Academy ECNL G07/06,3,0,South Carolina United ECNL G07/06,Fowler Park,Field 7,On Time,647985
2024-10-27,11:00 AM,Group Play,Atlanta Fire United ECNL G07/06,0,3,CESA Liberty ECNL G07/06,Pinecrest Academy,Turf,On Time,647753
2024-10-27,11:00 AM,Group Play,Alabama FC ECNL G07/06,3,0,Florida West FC ECNL G07/06,Dunnavant Valley Fields (DVF),Field # 2,On Time,700368
2024-10-27,12:30 PM,Group Play,Jacksonville FC ECNL G07/06,2,2,Tampa Bay United ECNL G07/06,Patton Park,Field 1,On Time,648001
2024-10-27,01:00 PM,Group Play,Florida Elite ECNL G07/06,0,8,FL Premier FC ECNL G07/06,Veterans Park,Field 1,On Time,647881
2024-10-27,03:00 PM,Group Play,Concorde Fire Platinum ECNL G07/06,1,1,GSA ECNL G07/06,Georgia Sports Park ,Field 3,On Time,647929
2024-11-02,09:00 AM,Group Play,GSA ECNL G07/06,3,0,Florida Elite ECNL G07/06,GSA EAST,Family,On Time,700348
2024-11-02,11:00 AM,Group Play,Concorde Fire Premier ECNL G07/06,0,4,United Futbol Academy ECNL G07/06,SILVERBACKS PARK ,Field 3,On Time,648017
2024-11-02,01:00 PM,Group Play,Alabama FC ECNL G07/06,3,2,Atlanta Fire United ECNL G07/06,Dunnavant Valley Fields (DVF),Field #1,On Time,647713
2024-11-02,01:00 PM,Group Play,Concorde Fire Platinum ECNL G07/06,5,2,Jacksonville FC ECNL G07/06,Georgia Sports Park ,Field 6,On Time,700396
2024-11-02,03:00 PM,Group Play,South Carolina United ECNL G07/06,1,0,CESA Liberty ECNL G07/06,Southeastern Freight Lines Complex,Field 1,On Time,647761
2024-11-03,09:00 AM,Group Play,Concorde Fire Platinum ECNL G07/06,4,0,Florida Elite ECNL G07/06,Georgia Sports Park ,Field 5,On Time,647857
2024-11-03,09:00 AM,Group Play,GSA ECNL G07/06,4,0,Jacksonville FC ECNL G07/06,GSA EAST,Family,On Time,647953
2024-11-03,11:00 AM,Group Play,Concorde Fire Premier ECNL G07/06,0,2,Atlanta Fire United ECNL G07/06,Georgia Sports Park ,Field 2,On Time,647717
2024-11-03,01:00 PM,Group Play,Alabama FC ECNL G07/06,1,2,United Futbol Academy ECNL G07/06,Dunnavant Valley Fields (DVF),Field #1,On Time,648013
2024-11-09,09:00 AM,Group Play,Tampa Bay United ECNL G07/06,0,0,CESA Liberty ECNL G07/06,Monroe Middle School - TBU South,Field 2,On Time,647765
2024-11-09,12:00 PM,Group Play,FL Premier FC ECNL G07/06,9,1,South Carolina United ECNL G07/06,Starkey Ranch District Park,Field 2,On Time,647977
2024-11-10,08:30 AM,Group Play,FL Premier FC ECNL G07/06,1,1,CESA Liberty ECNL G07/06,Starkey Ranch District Park,Field 3,On Time,647757
2024-11-10,09:00 AM,Group Play,Tampa Bay United ECNL G07/06,0,1,South Carolina United ECNL G07/06,Monroe Middle School - TBU South,Field 2,On Time,647981
2024-11-16,01:00 PM,Group Play,South Carolina United ECNL G07/06,0,5,Concorde Fire Platinum ECNL G07/06,Southeastern Freight Lines Complex,Field 2,On Time,647789
2024-11-16,01:00 PM,Group Play,CESA Liberty ECNL G07/06,0,0,GSA ECNL G07/06,Wenwood,Field 1,On Time,647925
2024-11-16,03:00 PM,Group Play,Alabama FC ECNL G07/06,3,3,Concorde Fire Premier ECNL G07/06,Dunnavant Valley Fields (DVF),Field #1,On Time,647797
2024-11-16,03:00 PM,Group Play,Atlanta Fire United ECNL G07/06,4,0,Tampa Bay United ECNL G07/06,Pinecrest Academy,Turf,On Time,700424
2024-11-17,11:00 AM,Group Play,CESA Liberty ECNL G07/06,1,3,Concorde Fire Platinum ECNL G07/06,Wenwood,Field 1,On Time,647777
2024-11-17,01:00 PM,Group Play,South Carolina United ECNL G07/06,1,4,GSA ECNL G07/06,Southeastern Freight Lines Complex,Field 1,On Time,647941
2024-11-17,01:00 PM,Group Play,United Futbol Academy ECNL G07/06,3,0,Tampa Bay United ECNL G07/06,Fowler Park,Field 5,On Time,648005
